,Sergipe - Depósito Poupança (R$)
2003-1,1618044.93186782
2003-2,1622415.9077217383
2003-3,1626786.8835756567
2003-4,1631157.859429575
2003-5,1635528.8352834934
2003-6,1639899.8111374117
2003-7,1644270.7869913299
2003-8,1648641.7628452482
2003-9,1653012.7386991666
2003-10,1657383.714553085
2003-11,1661754.6904070033
2003-12,1666125.6662609216
2004-1,1670496.64211484
2004-2,1674171.7176375466
2004-3,1677846.7931602532
2004-4,1681521.86868296
2004-5,1685196.9442056667
2004-6,1688872.0197283733
2004-7,1692547.09525108
2004-8,1696222.1707737867
2004-9,1699897.2462964933
2004-10,1703572.3218192
2004-11,1707247.3973419066
2004-12,1710922.4728646134
2005-1,1714597.54838732
2005-2,1722670.693245965
2005-3,1730743.83810461
2005-4,1738816.9829632551
2005-5,1746890.1278219
2005-6,1754963.272680545
2005-7,1763036.41753919
2005-8,1771109.562397835
2005-9,1779182.7072564801
2005-10,1787255.852115125
2005-11,1795328.99697377
2005-12,1803402.141832415
2006-1,1811475.28669106
2006-2,1838902.4033205926
2006-3,1866329.519950125
2006-4,1893756.6365796574
2006-5,1921183.75320919
2006-6,1948610.8698387225
2006-7,1976037.986468255
2006-8,2003465.1030977874
2006-9,2030892.21972732
2006-10,2058319.3363568524
2006-11,2085746.4529863847
2006-12,2113173.5696159173
2007-1,2140600.68624545
2007-2,2157649.621876593
2007-3,2174698.5575077366
2007-4,2191747.49313888
2007-5,2208796.4287700234
2007-6,2225845.364401167
2007-7,2242894.30003231
2007-8,2259943.235663453
2007-9,2276992.1712945965
2007-10,2294041.10692574
2007-11,2311090.0425568833
2007-12,2328138.9781880267
2008-1,2345187.91381917
2008-2,2359932.633130686
2008-3,2374677.3524422017
2008-4,2389422.0717537175
2008-5,2404166.7910652333
2008-6,2418911.510376749
2008-7,2433656.2296882654
2008-8,2448400.948999781
2008-9,2463145.668311297
2008-10,2477890.3876228128
2008-11,2492635.1069343286
2008-12,2507379.8262458444
2009-1,2522124.54555736
2009-2,2553015.1791775804
2009-3,2583905.8127978
2009-4,2614796.44641802
2009-5,2645687.08003824
2009-6,2676577.7136584604
2009-7,2707468.34727868
2009-8,2738358.9808989
2009-9,2769249.61451912
2009-10,2800140.2481393404
2009-11,2831030.88175956
2009-12,2861921.51537978
2010-1,2892812.149
