UF,Código,Estado,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AC,12,Acre,247158.775150397,259422.782134198,291267.223988826,320070.059633363,359397.120657833,475998.12921904,574349.795458642,599379.011,577513.618101945,618593.348202055,666556.758303225,742280.747621064,652499.363791468,638640.112983306,635996.393142757,692912.464882558,721040.128098108,923024.172455463,798979.812062995,752612.189701027,
AL,27,Alagoas,1594356.02002233,1638128.97741652,1644989.07495617,1739302.41910488,1985816.88216235,2108898.80633485,2341276.31570559,2950452.621,3093400.42679932,3324982.88832368,3547080.5297149,3585042.64113884,3519912.53260609,3313639.20721135,3394589.33619036,3558609.40135426,3627967.68158569,4365660.86153094,3886286.18631617,3770268.81419428,
AM,13,Amazonas,1284537.31620263,1370641.74485346,1398651.02049027,1537541.48539111,1819514.3736726,2087572.51613551,2230064.37464541,2538483.34,2618415.91171198,2847032.62375111,3099566.8846941,3330651.07222867,2993142.01717331,2670575.25662568,2883319.23159646,3017229.67895851,3017230.78733155,3638293.88250614,3304154.70570187,2993358.75312227,
AP,16,Amapá,205197.602881204,208807.697157227,214497.406590268,233930.355554994,294780.372829669,411236.260882907,389457.256905508,419624.175,423914.006445348,472371.694693619,598662.265776241,504111.505026312,510898.144289137,486186.660753292,482900.552683356,509889.75632943,525724.474298541,719198.650878037,615578.420003801,604059.310885026,
BA,29,Bahia,7782608.77337667,8316429.57434152,8416031.97037899,9032092.08064178,10667052.5476024,11704287.6188753,13168876.9398876,15051462.068,15640245.6521739,17204931.7591584,19375171.3890475,20604814.9392731,19858603.7549552,18820007.7474767,19491306.7449131,20543916.5904895,20936797.6049365,24704685.264465,21551470.3270822,20273258.0485365,
CE,23,Ceará,4636226.11396676,4888192.54295277,5100766.9191233,4925765.95216066,5735003.60259107,6172584.55604233,6827419.75854616,7756348.55,8106732.92656982,8768238.85579279,9720229.89256461,10434204.8865565,9958058.55472891,9641553.50366738,10206680.5942059,10585597.1916559,10823812.3064129,12680313.9675586,10559247.3712573,9767377.80240542,
DF,53,Distrito Federal,4896481.64661628,5348839.86483239,5398897.58735225,5611118.52917803,6904642.89235358,7218710.67653371,7908178.62386917,8741041.512,8741835.56491493,9687777.33579557,11730901.7014854,11661961.6363257,10620400.8159405,10019421.0885526,10912167.4330545,12025415.4700465,12692995.533959,15543722.3839909,14523764.6156651,12742914.5826624,
ES,32,Espírito Santo,4069228.56726218,4370580.29706284,4452244.18257627,4863574.89741288,5676563.13497852,5445492.81175044,5850374.75326671,6496175.083,7045605.01449538,7802160.50330868,8628772.66809412,8997592.59256129,8246362.99098257,7676946.17331693,7901748.93437876,8309014.69365707,8421435.29858331,9800551.88453508,9293474.17861482,8151154.80485874,
GO,52,Goiás,3935259.86372313,4260106.64384926,4147821.67809186,4531155.56838039,5752881.38280761,6236122.84606239,6792006.32394299,7783633.288,8235939.81629498,9239086.35422528,10855718.5639469,11423849.9305824,10498243.0687028,10029724.1925162,10679162.5590896,11410932.0565386,11904583.3775467,14345734.7471018,13007211.1084969,11676368.7997791,
MA,21,Maranhão,1609841.56199172,1723194.60525135,1959751.33848475,2237788.56450417,2648196.60556301,3044492.80319491,3544670.68416489,3633746.766,3797294.59250241,4129859.74879952,4534716.25729639,4890588.9640232,4906612.38905577,4817233.06540208,5045223.58787756,5253207.40003543,5364703.34530614,6795434.00725403,5814266.99480206,5728876.57251117,
