,Alagoas - Desemprego
2003-1,8.765720926489202
2003-2,8.760195773904087
2003-3,8.75467062131897
2003-4,8.749145468733856
2003-5,8.74362031614874
2003-6,8.738095163563624
2003-7,8.73257001097851
2003-8,8.727044858393393
2003-9,8.721519705808278
2003-10,8.715994553223162
2003-11,8.710469400638047
2003-12,8.70494424805293
2004-1,8.699419095467816
2004-2,8.696667609845514
2004-3,8.693916124223213
2004-4,8.691164638600911
2004-5,8.68841315297861
2004-6,8.685661667356309
2004-7,8.682910181734007
2004-8,8.680158696111706
2004-9,8.677407210489404
2004-10,8.674655724867103
2004-11,8.671904239244801
2004-12,8.6691527536225
2005-1,8.666401268000198
2005-2,8.659865887634188
2005-3,8.65333050726818
2005-4,8.64679512690217
2005-5,8.640259746536161
2005-6,8.633724366170151
2005-7,8.627188985804143
2005-8,8.620653605438132
2005-9,8.614118225072122
2005-10,8.607582844706114
2005-11,8.601047464340104
2005-12,8.594512083974095
2006-1,8.587976703608085
2006-2,8.58700307410173
2006-3,8.586029444595374
2006-4,8.585055815089019
2006-5,8.584082185582663
2006-6,8.583108556076308
2006-7,8.582134926569953
2006-8,8.581161297063597
2006-9,8.580187667557242
2006-10,8.579214038050885
2006-11,8.57824040854453
2006-12,8.577266779038174
2007-1,8.57629314953182
2007-2,8.573521602389544
2007-3,8.57075005524727
2007-4,8.567978508104995
2007-5,8.565206960962719
2007-6,8.562435413820443
2007-7,8.559663866678168
2007-8,8.556892319535894
2007-9,8.554120772393619
2007-10,8.551349225251343
2007-11,8.54857767810907
2007-12,8.545806130966794
2008-1,8.543034583824518
2008-2,8.545391389519644
2008-3,8.54774819521477
2008-4,8.550105000909895
2008-5,8.55246180660502
2008-6,8.554818612300146
2008-7,8.557175417995271
2008-8,8.559532223690395
2008-9,8.56188902938552
2008-10,8.564245835080646
2008-11,8.566602640775772
2008-12,8.568959446470897
2009-1,8.571316252166023
2009-2,8.568695539893916
2009-3,8.566074827621811
2009-4,8.563454115349705
2009-5,8.560833403077599
2009-6,8.558212690805494
2009-7,8.555591978533387
2009-8,8.552971266261281
2009-9,8.550350553989176
2009-10,8.54772984171707
2009-11,8.545109129444963
2009-12,8.542488417172859
2010-1,8.539867704900752
2010-2,8.53878304353091
2010-3,8.537698382161068
2010-4,8.536613720791227
2010-5,8.535529059421386
2010-6,8.534444398051544
2010-7,8.533359736681703
2010-8,8.53227507531186
2010-9,8.531190413942019
2010-10,8.530105752572178
2010-11,8.529021091202335
2010-12,8.527936429832494
2011-1,8.526851768462652
2011-2,8.895063330831642
2011-3,9.26327489320063
2011-4,9.631486455569618
2011-5,9.999698017938607
2011-6,10.367909580307597
2011-7,10.736121142676584
2011-8,11.104332705045573
2011-9,11.472544267414563
2011-10,11.840755829783552
2011-11,12.208967392152541
2011-12,12.577178954521528
2012-1,12.945390516890518
2012-2,12.998100443953907
2012-3,13.050810371017297
2012-4,13.103520298080687
2012-5,13.156230225144077
2012-6,13.208940152207466
2012-7,13.261650079270856
2012-8,13.314360006334246
2012-9,13.367069933397635
2012-10,13.419779860461025
2012-11,13.472489787524415
2012-12,13.525199714587805
2013-1,13.577909641651194
2013-2,13.627184894683115
2013-3,13.676460147715037
2013-4,13.725735400746958
2013-5,13.775010653778878
2013-6,13.824285906810799
2013-7,13.873561159842719
2013-8,13.922836412874641
2013-9,13.972111665906562
2013-10,14.021386918938482
2013-11,14.070662171970405
2013-12,14.119937425002325
2014-1,14.169212678034246
2014-2,14.21006694165204
2014-3,14.250921205269831
2014-4,14.291775468887625
2014-5,14.332629732505419
2014-6,14.37348399612321
2014-7,14.414338259741005
2014-8,14.455192523358798
2014-9,14.49604678697659
2014-10,14.536901050594384
2014-11,14.577755314212178
2014-12,14.61860957782997
2015-1,14.659463841447764
2015-2,14.669227119749845
2015-3,14.678990398051926
2015-4,14.688753676354006
2015-5,14.698516954656087
2015-6,14.708280232958169
2015-7,14.718043511260248
2015-8,14.72780678956233
2015-9,14.73757006786441
2015-10,14.747333346166492
2015-11,14.757096624468574
2015-12,14.766859902770653
2016-1,14.776623181072734
2016-2,14.740867690687544
2016-3,14.705112200302354
2016-4,14.669356709917164
2016-5,14.633601219531974
2016-6,14.597845729146783
2016-7,14.562090238761595
2016-8,14.526334748376405
2016-9,14.490579257991214
2016-10,14.454823767606024
2016-11,14.419068277220834
2016-12,14.383312786835644
2017-1,14.347557296450454
2017-2,14.32734213298576
2017-3,14.307126969521066
2017-4,14.286911806056374
2017-5,14.266696642591679
2017-6,14.246481479126986
2017-7,14.226266315662293
2017-8,14.206051152197599
2017-9,14.185835988732906
2017-10,14.165620825268212
2017-11,14.145405661803519
2017-12,14.125190498338824
2018-1,14.104975334874132
2018-2,14.088240431027632
2018-3,14.071505527181133
2018-4,14.054770623334633
2018-5,14.038035719488134
2018-6,14.021300815641634
2018-7,14.004565911795133
2018-8,13.987831007948634
2018-9,13.971096104102134
2018-10,13.954361200255635
2018-11,13.937626296409135
2018-12,13.920891392562636
2019-1,13.904156488716136
2019-2,13.889314042291856
