,Amapá - Desemprego
2003-1,8.514392273723654
2003-2,8.508753036857227
2003-3,8.5031137999908
2003-4,8.497474563124374
2003-5,8.491835326257947
2003-6,8.48619608939152
2003-7,8.480556852525092
2003-8,8.474917615658665
2003-9,8.469278378792238
2003-10,8.46363914192581
2003-11,8.457999905059385
2003-12,8.452360668192958
2004-1,8.44672143132653
2004-2,8.444145569901401
2004-3,8.441569708476273
2004-4,8.438993847051144
2004-5,8.436417985626013
2004-6,8.433842124200885
2004-7,8.431266262775756
2004-8,8.428690401350627
2004-9,8.426114539925498
2004-10,8.423538678500368
2004-11,8.420962817075239
2004-12,8.41838695565011
2005-1,8.415811094224981
2005-2,8.40906035317515
2005-3,8.40230961212532
2005-4,8.395558871075488
2005-5,8.388808130025657
2005-6,8.382057388975827
2005-7,8.375306647925996
2005-8,8.368555906876164
2005-9,8.361805165826334
2005-10,8.355054424776503
2005-11,8.348303683726671
2005-12,8.341552942676842
2006-1,8.33480220162701
2006-2,8.333463982895623
2006-3,8.332125764164235
2006-4,8.330787545432848
2006-5,8.32944932670146
2006-6,8.328111107970074
2006-7,8.326772889238686
2006-8,8.325434670507299
2006-9,8.324096451775912
2006-10,8.322758233044524
2006-11,8.321420014313137
2006-12,8.32008179558175
2007-1,8.318743576850363
2007-2,8.31560614712758
2007-3,8.312468717404796
2007-4,8.309331287682014
2007-5,8.30619385795923
2007-6,8.303056428236447
2007-7,8.299918998513665
2007-8,8.29678156879088
2007-9,8.293644139068098
2007-10,8.290506709345314
2007-11,8.287369279622531
2007-12,8.284231849899747
2008-1,8.281094420176965
2008-2,8.282915748569929
2008-3,8.284737076962891
2008-4,8.286558405355855
2008-5,8.288379733748819
2008-6,8.290201062141783
2008-7,8.292022390534747
2008-8,8.29384371892771
2008-9,8.295665047320673
2008-10,8.297486375713637
2008-11,8.2993077041066
2008-12,8.301129032499563
2009-1,8.302950360892527
2009-2,8.300277242542261
2009-3,8.297604124191995
2009-4,8.294931005841729
2009-5,8.292257887491465
2009-6,8.289584769141198
2009-7,8.286911650790932
2009-8,8.284238532440666
2009-9,8.2815654140904
