,Amazonas - Desemprego
2003-1,8.63094167820409
2003-2,8.62487239825774
2003-3,8.61880311831139
2003-4,8.612733838365042
2003-5,8.606664558418691
2003-6,8.60059527847234
2003-7,8.594525998525992
2003-8,8.588456718579643
2003-9,8.582387438633292
2003-10,8.576318158686941
2003-11,8.570248878740593
2003-12,8.564179598794244
2004-1,8.558110318847893
2004-2,8.555495007999722
2004-3,8.55287969715155
2004-4,8.550264386303379
2004-5,8.547649075455206
2004-6,8.545033764607036
2004-7,8.542418453758863
2004-8,8.539803142910692
2004-9,8.537187832062521
2004-10,8.534572521214349
2004-11,8.531957210366178
2004-12,8.529341899518005
2005-1,8.526726588669835
2005-2,8.520022369359578
2005-3,8.513318150049322
2005-4,8.506613930739066
2005-5,8.49990971142881
2005-6,8.493205492118554
2005-7,8.486501272808297
2005-8,8.479797053498041
2005-9,8.473092834187785
2005-10,8.466388614877529
2005-11,8.459684395567272
2005-12,8.452980176257016
2006-1,8.44627595694676
2006-2,8.445286910719794
2006-3,8.444297864492828
2006-4,8.443308818265862
2006-5,8.442319772038896
2006-6,8.44133072581193
2006-7,8.440341679584964
2006-8,8.439352633358
2006-9,8.438363587131034
2006-10,8.437374540904068
2006-11,8.436385494677102
2006-12,8.435396448450136
2007-1,8.43440740222317
2007-2,8.43128061887538
2007-3,8.428153835527592
2007-4,8.425027052179802
2007-5,8.421900268832012
2007-6,8.418773485484223
2007-7,8.415646702136433
2007-8,8.412519918788643
2007-9,8.409393135440855
2007-10,8.406266352093064
2007-11,8.403139568745274
2007-12,8.400012785397486
2008-1,8.396886002049696
2008-2,8.398867115384386
2008-3,8.400848228719076
2008-4,8.402829342053765
2008-5,8.404810455388455
2008-6,8.406791568723145
2008-7,8.408772682057837
2008-8,8.410753795392527
2008-9,8.412734908727217
2008-10,8.414716022061906
2008-11,8.416697135396596
2008-12,8.418678248731286
2009-1,8.420659362065976
2009-2,8.418027531163485
2009-3,8.415395700260994
2009-4,8.412763869358503
2009-5,8.410132038456013
2009-6,8.407500207553522
2009-7,8.40486837665103
2009-8,8.40223654574854
2009-9,8.399604714846049
2009-10,8.396972883943558
2009-11,8.394341053041067
2009-12,8.391709222138577
2010-1,8.389077391236086
2010-2,8.388030924236382
2010-3,8.386984457236679
2010-4,8.385937990236975
2010-5,8.384891523237272
2010-6,8.383845056237568
2010-7,8.382798589237865
2010-8,8.38175212223816
2010-9,8.380705655238456
2010-10,8.379659188238753
2010-11,8.37861272123905
2010-12,8.377566254239346
2011-1,8.376519787239642
2011-2,8.621957249346284
2011-3,8.867394711452924
2011-4,9.112832173559564
2011-5,9.358269635666206
2011-6,9.603707097772848
2011-7,9.849144559879488
2011-8,10.094582021986128
2011-9,10.34001948409277
2011-10,10.585456946199411
2011-11,10.830894408306051
2011-12,11.076331870412691
2012-1,11.321769332519333
2012-2,11.37903193203245
2012-3,11.436294531545569
2012-4,11.493557131058687
2012-5,11.550819730571805
2012-6,11.608082330084923
2012-7,11.665344929598042
2012-8,11.72260752911116
2012-9,11.779870128624278
2012-10,11.837132728137396
2012-11,11.894395327650514
2012-12,11.951657927163632
2013-1,12.00892052667675
2013-2,12.05902855103461
2013-3,12.10913657539247
2013-4,12.159244599750327
2013-5,12.209352624108186
2013-6,12.259460648466046
2013-7,12.309568672823906
2013-8,12.359676697181765
2013-9,12.409784721539625
2013-10,12.459892745897484
2013-11,12.510000770255342
2013-12,12.560108794613202
2014-1,12.610216818971061
2014-2,12.654311722343316
2014-3,12.69840662571557
2014-4,12.742501529087825
2014-5,12.78659643246008
2014-6,12.830691335832334
2014-7,12.874786239204589
2014-8,12.918881142576844
2014-9,12.962976045949098
2014-10,13.007070949321353
2014-11,13.051165852693607
2014-12,13.095260756065862
2015-1,13.139355659438117
2015-2,13.149706086639117
2015-3,13.160056513840118
2015-4,13.170406941041119
2015-5,13.18075736824212
2015-6,13.19110779544312
2015-7,13.20145822264412
2015-8,13.211808649845121
2015-9,13.222159077046122
2015-10,13.232509504247123
2015-11,13.242859931448123
2015-12,13.253210358649124
2016-1,13.263560785850125
2016-2,13.226686745390658
2016-3,13.18981270493119
2016-4,13.152938664471725
2016-5,13.116064624012257
2016-6,13.07919058355279
2016-7,13.042316543093325
2016-8,13.005442502633857
2016-9,12.96856846217439
2016-10,12.931694421714923
2016-11,12.894820381255457
2016-12,12.857946340795989
2017-1,12.821072300336523
2017-2,12.807839096484697
2017-3,12.794605892632871
2017-4,12.781372688781046
2017-5,12.76813948492922
2017-6,12.754906281077394
2017-7,12.74167307722557
2017-8,12.728439873373745
2017-9,12.715206669521919
2017-10,12.701973465670093
2017-11,12.688740261818268
2017-12,12.675507057966442
2018-1,12.662273854114616
2018-2,12.655098005215509
2018-3,12.6479221563164
2018-4,12.640746307417292
2018-5,12.633570458518182
2018-6,12.626394609619075
2018-7,12.619218760719967
2018-8,12.612042911820858
2018-9,12.60486706292175
2018-10,12.59769121402264
2018-11,12.590515365123533
2018-12,12.583339516224424
2019-1,12.576163667325316
2019-2,12.564839753898097
2019-3,12.553515840470876
2019-4,12.542191927043657
2019-5,12.530868013616436
2019-6,12.519544100189217
2019-7,12.508220186761996
2019-8,12.496896273334777
2019-9,12.485572359907557
2019-10,12.474248446480336
2019-11,12.462924533053117
2019-12,12.451600619625896
2020-1,12.440276706198677
2020-2,12.424848920328735
2020-3,12.409421134458793
2020-4,12.393993348588848
2020-5,12.378565562718906
2020-6,12.363137776848964
2020-7,12.34770999097902
2020-8,12.332282205109077
2020-9,12.316854419239135
2020-10,12.301426633369193
2020-11,12.28599884749925
2020-12,12.270571061629306
2021-1,12.255143275759364
2021-2,12.256908284614545
2021-3,12.258673293469725
2021-4,12.260438302324905
2021-5,12.262203311180086
2021-6,12.263968320035266
2021-7,12.265733328890445
2021-8,12.267498337745625
2021-9,12.269263346600805
2021-10,12.271028355455986
2021-11,12.272793364311166
2021-12,12.274558373166347
2022-1,12.276323382021527
