,Distrito Federal - Desemprego
2003-1,8.293882125751406
2003-2,8.28788685591613
2003-3,8.281891586080853
2003-4,8.275896316245577
2003-5,8.2699010464103
2003-6,8.263905776575024
2003-7,8.257910506739748
2003-8,8.251915236904471
2003-9,8.245919967069195
2003-10,8.239924697233919
2003-11,8.233929427398643
2003-12,8.227934157563366
2004-1,8.22193888772809
2004-2,8.219658846134475
2004-3,8.21737880454086
2004-4,8.215098762947244
2004-5,8.21281872135363
2004-6,8.210538679760015
2004-7,8.208258638166399
2004-8,8.205978596572784
2004-9,8.20369855497917
2004-10,8.201418513385555
2004-11,8.19913847179194
2004-12,8.196858430198324
2005-1,8.19457838860471
2005-2,8.187249922764293
2005-3,8.179921456923879
2005-4,8.172592991083462
2005-5,8.165264525243046
2005-6,8.15793605940263
2005-7,8.150607593562214
2005-8,8.143279127721799
2005-9,8.135950661881383
2005-10,8.128622196040967
2005-11,8.121293730200552
2005-12,8.113965264360136
2006-1,8.10663679851972
2006-2,8.10422646783729
2006-3,8.10181613715486
2006-4,8.099405806472431
2006-5,8.096995475790001
2006-6,8.09458514510757
2006-7,8.092174814425142
2006-8,8.089764483742712
2006-9,8.087354153060282
2006-10,8.084943822377852
2006-11,8.082533491695422
2006-12,8.080123161012994
2007-1,8.077712830330563
2007-2,8.074796032375788
2007-3,8.071879234421013
2007-4,8.068962436466238
2007-5,8.066045638511463
2007-6,8.063128840556688
2007-7,8.060212042601915
2007-8,8.05729524464714
2007-9,8.054378446692365
2007-10,8.05146164873759
2007-11,8.048544850782815
2007-12,8.04562805282804
2008-1,8.042711254873264
2008-2,8.045059029448021
2008-3,8.047406804022778
2008-4,8.049754578597533
2008-5,8.05210235317229
2008-6,8.054450127747046
2008-7,8.0567979023218
2008-8,8.059145676896557
2008-9,8.061493451471314
2008-10,8.06384122604607
2008-11,8.066189000620827
2008-12,8.068536775195582
2009-1,8.070884549770339
2009-2,8.067920031713859
2009-3,8.064955513657381
2009-4,8.061990995600901
2009-5,8.059026477544423
2009-6,8.056061959487943
2009-7,8.053097441431465
2009-8,8.050132923374985
2009-9,8.047168405318505
2009-10,8.044203887262027
2009-11,8.041239369205547
2009-12,8.038274851149069
2010-1,8.035310333092589
2010-2,8.034422194278878
2010-3,8.03353405546517
2010-4,8.032645916651461
2010-5,8.03175777783775
2010-6,8.03086963902404
2010-7,8.029981500210331
2010-8,8.029093361396622
2010-9,8.028205222582912
2010-10,8.027317083769201
2010-11,8.026428944955493
2010-12,8.025540806141784
2011-1,8.024652667328073
2011-2,8.252868662321118
2011-3,8.481084657314163
2011-4,8.709300652307206
2011-5,8.937516647300251
2011-6,9.165732642293296
2011-7,9.393948637286341
2011-8,9.622164632279386
2011-9,9.85038062727243
2011-10,10.078596622265476
2011-11,10.306812617258519
2011-12,10.535028612251564
2012-1,10.763244607244609
2012-2,10.811457186442368
2012-3,10.859669765640128
2012-4,10.907882344837887
2012-5,10.956094924035646
2012-6,11.004307503233406
2012-7,11.052520082431165
2012-8,11.100732661628927
2012-9,11.148945240826686
2012-10,11.197157820024445
2012-11,11.245370399222205
2012-12,11.293582978419964
2013-1,11.341795557617724
2013-2,11.379961621301012
2013-3,11.418127684984302
2013-4,11.45629374866759
2013-5,11.49445981235088
2013-6,11.532625876034169
2013-7,11.57079193971746
2013-8,11.608958003400748
2013-9,11.647124067084036
2013-10,11.685290130767326
2013-11,11.723456194450614
2013-12,11.761622258133904
2014-1,11.799788321817193
2014-2,11.824281346677628
2014-3,11.848774371538061
2014-4,11.873267396398496
2014-5,11.89776042125893
2014-6,11.922253446119365
2014-7,11.9467464709798
2014-8,11.971239495840234
2014-9,11.995732520700669
2014-10,12.020225545561102
2014-11,12.044718570421537
2014-12,12.06921159528197
2015-1,12.093704620142406
2015-2,12.105795088174576
2015-3,12.117885556206748
2015-4,12.129976024238918
2015-5,12.14206649227109
2015-6,12.15415696030326
2015-7,12.166247428335431
2015-8,12.178337896367601
2015-9,12.190428364399772
2015-10,12.202518832431943
2015-11,12.214609300464113
2015-12,12.226699768496285
2016-1,12.238790236528455
2016-2,12.226027069609184
2016-3,12.213263902689913
2016-4,12.200500735770643
2016-5,12.18773756885137
2016-6,12.174974401932099
2016-7,12.162211235012828
2016-8,12.149448068093557
2016-9,12.136684901174286
2016-10,12.123921734255013
2016-11,12.111158567335742
2016-12,12.098395400416472
2017-1,12.0856322334972
2017-2,12.080074394936076
2017-3,12.07451655637495
2017-4,12.068958717813826
2017-5,12.0634008792527
2017-6,12.057843040691576
2017-7,12.052285202130452
2017-8,12.046727363569326
2017-9,12.041169525008202
2017-10,12.035611686447076
2017-11,12.030053847885952
2017-12,12.024496009324826
2018-1,12.018938170763702
2018-2,12.019331814461372
2018-3,12.019725458159042
2018-4,12.020119101856714
2018-5,12.020512745554385
2018-6,12.020906389252055
2018-7,12.021300032949725
2018-8,12.021693676647395
2018-9,12.022087320345065
2018-10,12.022480964042735
2018-11,12.022874607740407
2018-12,12.023268251438077
2019-1,12.023661895135747
2019-2,12.01637525554553
2019-3,12.00908861595531
2019-4,12.00180197636509
2019-5,11.994515336774873
2019-6,11.987228697184655
2019-7,11.979942057594435
2019-8,11.972655418004216
2019-9,11.965368778413998
2019-10,11.95808213882378
2019-11,11.95079549923356
2019-12,11.943508859643341
2020-1,11.936222220053123
2020-2,11.930401735702237
2020-3,11.92458125135135
2020-4,11.918760767000464
2020-5,11.912940282649577
2020-6,11.907119798298691
2020-7,11.901299313947806
2020-8,11.89547882959692
2020-9,11.889658345246033
2020-10,11.883837860895147
2020-11,11.87801737654426
2020-12,11.872196892193374
2021-1,11.866376407842488
2021-2,11.86892725342845
2021-3,11.871478099014412
2021-4,11.874028944600374
2021-5,11.876579790186337
2021-6,11.879130635772299
2021-7,11.88168148135826
2021-8,11.884232326944224
2021-9,11.886783172530185
2021-10,11.889334018116148
2021-11,11.89188486370211
2021-12,11.894435709288073
2022-1,11.896986554874035
