,Espírito Santo - Desemprego
2003-1,8.177444435699833
2003-2,8.171621901499169
2003-3,8.165799367298504
2003-4,8.159976833097842
2003-5,8.154154298897177
2003-6,8.148331764696513
2003-7,8.14250923049585
2003-8,8.136686696295186
2003-9,8.130864162094522
2003-10,8.125041627893857
2003-11,8.119219093693193
2003-12,8.11339655949253
2004-1,8.107574025291866
2004-2,8.105683186000107
2004-3,8.103792346708348
2004-4,8.101901507416589
2004-5,8.100010668124831
2004-6,8.098119828833072
2004-7,8.096228989541313
2004-8,8.094338150249554
2004-9,8.092447310957795
2004-10,8.090556471666037
2004-11,8.088665632374278
2004-12,8.086774793082519
2005-1,8.08488395379076
2005-2,8.077646977261674
2005-3,8.070410000732588
2005-4,8.063173024203502
2005-5,8.055936047674416
2005-6,8.04869907114533
2005-7,8.041462094616245
2005-8,8.034225118087159
2005-9,8.026988141558073
2005-10,8.019751165028987
2005-11,8.012514188499901
2005-12,8.005277211970816
2006-1,7.998040235441731
2006-2,7.9956318998312135
2006-3,7.9932235642206955
2006-4,7.990815228610178
2006-5,7.98840689299966
2006-6,7.985998557389143
2006-7,7.983590221778625
2006-8,7.981181886168108
2006-9,7.978773550557591
2006-10,7.976365214947073
2006-11,7.973956879336556
2006-12,7.971548543726038
2007-1,7.969140208115521
2007-2,7.966260040426844
2007-3,7.963379872738168
2007-4,7.960499705049491
2007-5,7.957619537360815
2007-6,7.954739369672138
2007-7,7.951859201983462
2007-8,7.948979034294785
2007-9,7.946098866606109
2007-10,7.943218698917432
2007-11,7.940338531228756
2007-12,7.937458363540079
2008-1,7.934578195851403
2008-2,7.937055046323548
2008-3,7.9395318967956925
2008-4,7.942008747267837
2008-5,7.944485597739982
2008-6,7.946962448212127
2008-7,7.949439298684272
2008-8,7.951916149156416
2008-9,7.954392999628561
2008-10,7.956869850100706
2008-11,7.95934670057285
2008-12,7.961823551044995
2009-1,7.96430040151714
2009-2,7.961240042008704
2009-3,7.958179682500268
2009-4,7.955119322991832
2009-5,7.952058963483396
2009-6,7.94899860397496
2009-7,7.945938244466525
2009-8,7.942877884958089
2009-9,7.939817525449653
2009-10,7.936757165941217
2009-11,7.933696806432781
2009-12,7.930636446924345
2010-1,7.927576087415909
2010-2,7.926720564292667
2010-3,7.925865041169424
2010-4,7.925009518046182
2010-5,7.924153994922939
2010-6,7.923298471799697
2010-7,7.922442948676455
2010-8,7.921587425553212
2010-9,7.92073190242997
2010-10,7.919876379306727
2010-11,7.919020856183485
2010-12,7.918165333060242
2011-1,7.917309809937
2011-2,8.040523011910436
2011-3,8.163736213883872
2011-4,8.286949415857308
2011-5,8.410162617830744
2011-6,8.53337581980418
2011-7,8.656589021777616
2011-8,8.779802223751052
2011-9,8.903015425724488
2011-10,9.026228627697924
2011-11,9.14944182967136
2011-12,9.272655031644796
2012-1,9.395868233618232
2012-2,9.442568003635461
2012-3,9.48926777365269
2012-4,9.53596754366992
2012-5,9.58266731368715
2012-6,9.629367083704379
2012-7,9.676066853721608
2012-8,9.722766623738837
2012-9,9.769466393756066
2012-10,9.816166163773296
2012-11,9.862865933790525
2012-12,9.909565703807754
2013-1,9.956265473824983
2013-2,9.997422928988598
2013-3,10.038580384152212
2013-4,10.079737839315827
2013-5,10.120895294479443
2013-6,10.162052749643058
2013-7,10.203210204806673
2013-8,10.244367659970287
2013-9,10.285525115133902
2013-10,10.326682570297518
2013-11,10.367840025461131
2013-12,10.408997480624747
2014-1,10.450154935788362
2014-2,10.49114636457849
2014-3,10.532137793368618
2014-4,10.573129222158746
2014-5,10.614120650948873
2014-6,10.655112079739002
2014-7,10.69610350852913
2014-8,10.737094937319258
2014-9,10.778086366109386
2014-10,10.819077794899513
2014-11,10.860069223689642
2014-12,10.901060652479769
2015-1,10.942052081269898
2015-2,10.945150161053359
2015-3,10.94824824083682
2015-4,10.951346320620281
2015-5,10.954444400403743
2015-6,10.957542480187204
2015-7,10.960640559970663
2015-8,10.963738639754125
2015-9,10.966836719537586
2015-10,10.969934799321047
2015-11,10.973032879104508
2015-12,10.97613095888797
2016-1,10.97922903867143
2016-2,10.935021232993758
2016-3,10.890813427316084
2016-4,10.84660562163841
2016-5,10.802397815960738
2016-6,10.758190010283066
2016-7,10.713982204605392
2016-8,10.669774398927718
2016-9,10.625566593250046
2016-10,10.581358787572373
2016-11,10.5371509818947
2016-12,10.492943176217025
2017-1,10.448735370539353
2017-2,10.431462239818412
2017-3,10.41418910909747
2017-4,10.396915978376528
2017-5,10.379642847655585
2017-6,10.362369716934644
2017-7,10.345096586213703
2017-8,10.32782345549276
2017-9,10.31055032477182
2017-10,10.293277194050876
2017-11,10.276004063329935
2017-12,10.258730932608993
2018-1,10.241457801888052
2018-2,10.235400395325062
2018-3,10.22934298876207
2018-4,10.22328558219908
2018-5,10.217228175636091
2018-6,10.2111707690731
2018-7,10.20511336251011
2018-8,10.19905595594712
2018-9,10.192998549384129
2018-10,10.186941142821139
2018-11,10.18088373625815
2018-12,10.174826329695158
2019-1,10.168768923132168
2019-2,10.158344641690968
2019-3,10.147920360249767
2019-4,10.137496078808567
2019-5,10.127071797367366
2019-6,10.116647515926166
2019-7,10.106223234484965
2019-8,10.095798953043765
2019-9,10.085374671602565
2019-10,10.074950390161364
2019-11,10.064526108720164
2019-12,10.054101827278963
2020-1,10.043677545837763
2020-2,10.026624832026696
2020-3,10.009572118215628
2020-4,9.992519404404561
2020-5,9.975466690593494
2020-6,9.958413976782426
2020-7,9.941361262971359
2020-8,9.924308549160292
2020-9,9.907255835349224
2020-10,9.890203121538157
2020-11,9.87315040772709
2020-12,9.856097693916022
2021-1,9.839044980104955
2021-2,9.837523798304478
2021-3,9.836002616504
2021-4,9.834481434703523
2021-5,9.832960252903048
2021-6,9.83143907110257
2021-7,9.829917889302093
2021-8,9.828396707501616
2021-9,9.826875525701139
2021-10,9.825354343900663
2021-11,9.823833162100186
2021-12,9.822311980299709
2022-1,9.820790798499232
