,Mato Grosso - Desemprego
2003-1,8.29717805688061
2003-2,8.291317308367613
2003-3,8.285456559854616
2003-4,8.279595811341618
2003-5,8.273735062828623
2003-6,8.267874314315627
2003-7,8.26201356580263
2003-8,8.256152817289632
2003-9,8.250292068776636
2003-10,8.24443132026364
2003-11,8.238570571750643
2003-12,8.232709823237645
2004-1,8.22684907472465
2004-2,8.225166628636108
2004-3,8.223484182547567
2004-4,8.221801736459026
2004-5,8.220119290370485
2004-6,8.218436844281944
2004-7,8.216754398193403
2004-8,8.215071952104863
2004-9,8.213389506016322
2004-10,8.21170705992778
2004-11,8.21002461383924
2004-12,8.208342167750699
2005-1,8.206659721662158
2005-2,8.199474028413295
2005-3,8.192288335164434
2005-4,8.185102641915574
2005-5,8.177916948666711
2005-6,8.170731255417849
2005-7,8.163545562168988
2005-8,8.156359868920127
2005-9,8.149174175671265
2005-10,8.141988482422402
2005-11,8.134802789173541
2005-12,8.12761709592468
2006-1,8.120431402675818
2006-2,8.118169382748764
2006-3,8.115907362821709
2006-4,8.113645342894653
2006-5,8.1113833229676
2006-6,8.109121303040546
2006-7,8.10685928311349
2006-8,8.104597263186434
2006-9,8.10233524325938
2006-10,8.100073223332327
2006-11,8.097811203405271
2006-12,8.095549183478216
2007-1,8.093287163551162
2007-2,8.090763646337692
2007-3,8.088240129124223
2007-4,8.085716611910753
2007-5,8.083193094697283
2007-6,8.080669577483814
2007-7,8.078146060270344
2007-8,8.075622543056873
2007-9,8.073099025843405
2007-10,8.070575508629934
2007-11,8.068051991416464
2007-12,8.065528474202996
2008-1,8.063004956989525
2008-2,8.065672815491002
2008-3,8.068340673992477
2008-4,8.071008532493954
2008-5,8.07367639099543
2008-6,8.076344249496907
2008-7,8.079012107998384
2008-8,8.081679966499859
2008-9,8.084347825001336
2008-10,8.087015683502813
2008-11,8.089683542004288
2008-12,8.092351400505764
2009-1,8.095019259007241
2009-2,8.091921655866415
2009-3,8.08882405272559
2009-4,8.085726449584763
2009-5,8.082628846443937
2009-6,8.079531243303112
2009-7,8.076433640162286
2009-8,8.073336037021459
2009-9,8.070238433880634
2009-10,8.067140830739808
2009-11,8.064043227598981
2009-12,8.060945624458157
2010-1,8.05784802131733
2010-2,8.056949780265565
2010-3,8.056051539213799
2010-4,8.055153298162034
2010-5,8.05425505711027
2010-6,8.053356816058503
2010-7,8.052458575006739
2010-8,8.051560333954974
2010-9,8.050662092903208
2010-10,8.049763851851443
2010-11,8.048865610799679
2010-12,8.047967369747912
2011-1,8.047069128696148
2011-2,7.934429151108085
2011-3,7.821789173520023
2011-4,7.7091491959319605
2011-5,7.596509218343898
2011-6,7.483869240755836
2011-7,7.371229263167773
2011-8,7.258589285579711
2011-9,7.145949307991649
2011-10,7.033309330403586
2011-11,6.920669352815524
2011-12,6.808029375227461
2012-1,6.695389397639399
2012-2,6.7265137312118375
2012-3,6.757638064784276
2012-4,6.788762398356715
2012-5,6.819886731929153
2012-6,6.8510110655015914
2012-7,6.88213539907403
2012-8,6.913259732646468
2012-9,6.944384066218906
2012-10,6.9755083997913445
2012-11,7.006632733363784
2012-12,7.037757066936222
2013-1,7.06888140050866
2013-2,7.104424661311222
2013-3,7.139967922113783
2013-4,7.175511182916344
2013-5,7.211054443718905
2013-6,7.2465977045214665
2013-7,7.282140965324027
2013-8,7.317684226126588
2013-9,7.35322748692915
2013-10,7.388770747731711
2013-11,7.424314008534273
2013-12,7.459857269336833
2014-1,7.495400530139395
2014-2,7.523971857525516
2014-3,7.552543184911638
2014-4,7.581114512297759
2014-5,7.6096858396838805
2014-6,7.638257167070002
2014-7,7.666828494456123
2014-8,7.695399821842245
2014-9,7.723971149228366
2014-10,7.7525424766144875
2014-11,7.78111380400061
2014-12,7.809685131386731
2015-1,7.838256458772852
2015-2,7.829307331923965
2015-3,7.820358205075078
2015-4,7.811409078226191
2015-5,7.802459951377304
2015-6,7.7935108245284175
2015-7,7.78456169767953
2015-8,7.775612570830643
2015-9,7.766663443981757
2015-10,7.757714317132869
2015-11,7.748765190283982
2015-12,7.739816063435096
2016-1,7.730866936586208
2016-2,7.690889907446324
2016-3,7.650912878306439
2016-4,7.610935849166555
2016-5,7.570958820026671
2016-6,7.530981790886786
2016-7,7.491004761746901
2016-8,7.451027732607017
2016-9,7.411050703467132
2016-10,7.371073674327247
2016-11,7.331096645187364
2016-12,7.291119616047479
2017-1,7.251142586907594
2017-2,7.239336091124278
2017-3,7.22752959534096
2017-4,7.215723099557644
2017-5,7.203916603774326
2017-6,7.1921101079910095
2017-7,7.180303612207693
2017-8,7.168497116424375
2017-9,7.156690620641059
2017-10,7.144884124857741
2017-11,7.133077629074425
2017-12,7.121271133291107
2018-1,7.109464637507791
2018-2,7.103508491573336
2018-3,7.097552345638882
2018-4,7.091596199704428
2018-5,7.085640053769974
2018-6,7.07968390783552
2018-7,7.073727761901067
2018-8,7.067771615966612
2018-9,7.061815470032158
2018-10,7.055859324097704
2018-11,7.04990317816325
2018-12,7.043947032228796
2019-1,7.037990886294342
2019-2,7.024086831183724
2019-3,7.010182776073107
2019-4,6.996278720962489
2019-5,6.9823746658518715
2019-6,6.968470610741254
2019-7,6.954566555630636
2019-8,6.940662500520018
2019-9,6.9267584454094004
2019-10,6.912854390298783
2019-11,6.898950335188165
2019-12,6.885046280077548
2020-1,6.87114222496693
2020-2,6.850518437076097
2020-3,6.829894649185263
2020-4,6.80927086129443
2020-5,6.788647073403596
2020-6,6.768023285512763
2020-7,6.747399497621929
2020-8,6.726775709731096
2020-9,6.706151921840263
2020-10,6.685528133949429
2020-11,6.664904346058596
2020-12,6.644280558167762
2021-1,6.623656770276929
2021-2,6.624262435269152
2021-3,6.624868100261375
2021-4,6.625473765253599
2021-5,6.626079430245822
2021-6,6.626685095238045
2021-7,6.627290760230268
2021-8,6.627896425222492
2021-9,6.628502090214715
2021-10,6.629107755206938
2021-11,6.629713420199161
2021-12,6.630319085191385
2022-1,6.630924750183608
