,Mato Grosso do Sul - Desemprego
2003-1,8.248824124668724
2003-2,8.24293505639178
2003-3,8.237045988114833
2003-4,8.231156919837888
2003-5,8.225267851560943
2003-6,8.219378783283998
2003-7,8.213489715007054
2003-8,8.207600646730107
2003-9,8.201711578453162
2003-10,8.195822510176217
2003-11,8.18993344189927
2003-12,8.184044373622326
2004-1,8.178155305345381
2004-2,8.176434088868962
2004-3,8.174712872392542
2004-4,8.172991655916123
2004-5,8.171270439439702
2004-6,8.169549222963283
2004-7,8.167828006486864
2004-8,8.166106790010444
2004-9,8.164385573534025
2004-10,8.162664357057604
2004-11,8.160943140581185
2004-12,8.159221924104765
2005-1,8.157500707628346
2005-2,8.150218748259833
2005-3,8.142936788891319
2005-4,8.135654829522807
2005-5,8.128372870154294
2005-6,8.12109091078578
2005-7,8.113808951417267
2005-8,8.106526992048755
2005-9,8.09924503268024
2005-10,8.091963073311728
2005-11,8.084681113943216
2005-12,8.077399154574701
2006-1,8.070117195206189
2006-2,8.067675008786935
2006-3,8.06523282236768
2006-4,8.062790635948426
2006-5,8.060348449529172
2006-6,8.057906263109917
2006-7,8.055464076690663
2006-8,8.05302189027141
2006-9,8.050579703852154
2006-10,8.0481375174329
2006-11,8.045695331013647
2006-12,8.043253144594392
2007-1,8.040810958175138
2007-2,8.03839844413062
2007-3,8.035985930086103
2007-4,8.033573416041584
2007-5,8.031160901997065
2007-6,8.028748387952549
2007-7,8.02633587390803
2007-8,8.023923359863511
2007-9,8.021510845818995
2007-10,8.019098331774476
2007-11,8.016685817729957
2007-12,8.01427330368544
2008-1,8.011860789640922
2008-2,8.01424940702796
2008-3,8.016638024414998
2008-4,8.019026641802036
2008-5,8.021415259189073
2008-6,8.023803876576112
2008-7,8.02619249396315
2008-8,8.028581111350187
2008-9,8.030969728737226
2008-10,8.033358346124263
2008-11,8.0357469635113
2008-12,8.03813558089834
2009-1,8.040524198285377
2009-2,8.037469029059434
2009-3,8.03441385983349
2009-4,8.031358690607547
2009-5,8.028303521381604
2009-6,8.02524835215566
2009-7,8.022193182929719
2009-8,8.019138013703776
2009-9,8.016082844477832
2009-10,8.01302767525189
2009-11,8.009972506025946
2009-12,8.006917336800003
2010-1,8.00386216757406
2010-2,8.00296896956652
2010-3,8.002075771558983
2010-4,8.001182573551445
2010-5,8.000289375543908
2010-6,7.999396177536369
2010-7,7.99850297952883
2010-8,7.997609781521292
2010-9,7.996716583513754
2010-10,7.995823385506216
2010-11,7.994930187498678
2010-12,7.994036989491139
2011-1,7.993143791483601
2011-2,7.857085597355423
2011-3,7.721027403227245
2011-4,7.584969209099066
2011-5,7.448911014970888
2011-6,7.31285282084271
2011-7,7.176794626714532
2011-8,7.040736432586353
2011-9,6.904678238458175
2011-10,6.768620044329997
2011-11,6.632561850201818
2011-12,6.49650365607364
2012-1,6.360445461945462
2012-2,6.390855980414341
2012-3,6.42126649888322
2012-4,6.4516770173520985
2012-5,6.482087535820978
2012-6,6.512498054289857
2012-7,6.542908572758736
2012-8,6.573319091227615
2012-9,6.603729609696495
2012-10,6.634140128165374
2012-11,6.664550646634252
2012-12,6.694961165103131
2013-1,6.7253716835720105
2013-2,6.754701799053959
2013-3,6.784031914535907
2013-4,6.813362030017855
2013-5,6.842692145499803
2013-6,6.872022260981751
2013-7,6.9013523764636995
2013-8,6.930682491945648
2013-9,6.960012607427596
2013-10,6.989342722909544
2013-11,7.018672838391492
2013-12,7.04800295387344
2014-1,7.077333069355388
2014-2,7.100685331270185
2014-3,7.1240375931849815
2014-4,7.147389855099778
2014-5,7.170742117014575
2014-6,7.194094378929371
2014-7,7.217446640844168
2014-8,7.240798902758964
2014-9,7.264151164673761
2014-10,7.287503426588557
2014-11,7.310855688503354
2014-12,7.3342079504181505
2015-1,7.357560212332947
2015-2,7.355506323504575
2015-3,7.353452434676203
2015-4,7.351398545847832
2015-5,7.3493446570194605
2015-6,7.347290768191089
2015-7,7.345236879362717
2015-8,7.343182990534345
2015-9,7.341129101705973
2015-10,7.339075212877601
2015-11,7.33702132404923
2015-12,7.334967435220858
2016-1,7.332913546392486
2016-2,7.306238579469928
2016-3,7.27956361254737
2016-4,7.252888645624811
2016-5,7.226213678702252
2016-6,7.199538711779694
2016-7,7.1728637448571355
2016-8,7.146188777934577
2016-9,7.119513811012019
2016-10,7.09283884408946
2016-11,7.066163877166901
