,Minas Gerais - Desemprego
2003-1,8.242461537567124
2003-2,8.236470415606963
2003-3,8.230479293646802
2003-4,8.224488171686641
2003-5,8.218497049726482
2003-6,8.21250592776632
2003-7,8.20651480580616
2003-8,8.200523683845999
2003-9,8.194532561885838
2003-10,8.188541439925679
2003-11,8.182550317965518
2003-12,8.176559196005357
2004-1,8.170568074045196
2004-2,8.16863015239404
2004-3,8.166692230742887
2004-4,8.164754309091732
2004-5,8.162816387440577
2004-6,8.160878465789423
2004-7,8.158940544138268
2004-8,8.157002622487113
2004-9,8.15506470083596
2004-10,8.153126779184804
2004-11,8.151188857533649
2004-12,8.149250935882495
2005-1,8.14731301423134
2005-2,8.14006459293782
2005-3,8.1328161716443
2005-4,8.12556775035078
2005-5,8.118319329057261
2005-6,8.111070907763741
2005-7,8.103822486470222
2005-8,8.096574065176702
2005-9,8.089325643883182
2005-10,8.082077222589662
2005-11,8.074828801296142
2005-12,8.067580380002623
2006-1,8.060331958709103
2006-2,8.057836787661978
2006-3,8.055341616614854
2006-4,8.052846445567727
2006-5,8.050351274520603
2006-6,8.047856103473478
2006-7,8.045360932426354
2006-8,8.042865761379229
2006-9,8.040370590332104
2006-10,8.03787541928498
2006-11,8.035380248237853
2006-12,8.032885077190729
2007-1,8.030389906143604
2007-2,8.027993537483784
2007-3,8.025597168823966
2007-4,8.023200800164147
2007-5,8.020804431504327
2007-6,8.018408062844507
2007-7,8.016011694184689
2007-8,8.01361532552487
2007-9,8.01121895686505
2007-10,8.00882258820523
2007-11,8.006426219545412
2007-12,8.004029850885594
2008-1,8.001633482225774
2008-2,8.00408715591237
2008-3,8.006540829598965
2008-4,8.00899450328556
2008-5,8.011448176972156
2008-6,8.013901850658751
2008-7,8.016355524345347
2008-8,8.018809198031944
2008-9,8.02126287171854
2008-10,8.023716545405135
2008-11,8.02617021909173
2008-12,8.028623892778326
2009-1,8.031077566464921
2009-2,8.028063289336776
2009-3,8.025049012208632
2009-4,8.022034735080485
2009-5,8.01902045795234
2009-6,8.016006180824196
2009-7,8.01299190369605
2009-8,8.009977626567906
2009-9,8.006963349439761
2009-10,8.003949072311617
2009-11,8.00093479518347
2009-12,7.9979205180553254
2010-1,7.994906240927181
2010-2,7.994065056378176
2010-3,7.993223871829171
2010-4,7.992382687280166
2010-5,7.991541502731161
2010-6,7.9907003181821565
2010-7,7.989859133633152
2010-8,7.989017949084148
2010-9,7.988176764535143
2010-10,7.987335579986138
2010-11,7.986494395437133
2010-12,7.985653210888128
2011-1,7.984812026339124
2011-2,8.075269277773284
2011-3,8.165726529207443
2011-4,8.256183780641603
2011-5,8.346641032075764
2011-6,8.437098283509924
2011-7,8.527555534944083
2011-8,8.618012786378245
2011-9,8.708470037812404
2011-10,8.798927289246564
2011-11,8.889384540680723
2011-12,8.979841792114884
2012-1,9.070299043549044
2012-2,9.10856314115745
2012-3,9.146827238765857
2012-4,9.185091336374263
2012-5,9.22335543398267
2012-6,9.261619531591077
2012-7,9.299883629199483
2012-8,9.33814772680789
2012-9,9.376411824416296
2012-10,9.414675922024703
2012-11,9.45294001963311
2012-12,9.491204117241516
2013-1,9.529468214849922
2013-2,9.567320168264825
2013-3,9.605172121679725
2013-4,9.643024075094628
2013-5,9.68087602850953
2013-6,9.718727981924431
2013-7,9.756579935339333
2013-8,9.794431888754236
2013-9,9.832283842169137
2013-10,9.870135795584039
2013-11,9.907987748998941
2013-12,9.945839702413842
2014-1,9.983691655828745
2014-2,10.012389940425798
2014-3,10.041088225022854
2014-4,10.069786509619908
2014-5,10.098484794216962
2014-6,10.127183078814017
2014-7,10.155881363411071
2014-8,10.184579648008125
2014-9,10.21327793260518
2014-10,10.241976217202234
2014-11,10.270674501799288
2014-12,10.299372786396344
2015-1,10.328071070993397
2015-2,10.32140209327166
2015-3,10.314733115549922
2015-4,10.308064137828184
2015-5,10.301395160106447
2015-6,10.294726182384709
2015-7,10.288057204662973
2015-8,10.281388226941235
2015-9,10.274719249219498
2015-10,10.26805027149776
2015-11,10.261381293776022
2015-12,10.254712316054285
2016-1,10.248043338332547
2016-2,10.209792728278416
2016-3,10.171542118224284
2016-4,10.133291508170153
2016-5,10.095040898116022
2016-6,10.05679028806189
2016-7,10.018539678007759
2016-8,9.980289067953626
2016-9,9.942038457899494
2016-10,9.903787847845363
2016-11,9.865537237791232
2016-12,9.8272866277371
2017-1,9.78903601768297
2017-2,9.772787307276202
2017-3,9.756538596869435
2017-4,9.740289886462667
2017-5,9.7240411760559
2017-6,9.707792465649133
2017-7,9.691543755242366
2017-8,9.675295044835599
2017-9,9.659046334428831
2017-10,9.642797624022064
2017-11,9.626548913615297
2017-12,9.61030020320853
2018-1,9.594051492801762
2018-2,9.589570962322329
2018-3,9.585090431842895
2018-4,9.580609901363461
2018-5,9.576129370884027
2018-6,9.571648840404594
2018-7,9.567168309925158
2018-8,9.562687779445724
2018-9,9.55820724896629
2018-10,9.553726718486857
2018-11,9.549246188007423
2018-12,9.54476565752799
2019-1,9.540285127048556
2019-2,9.529189560778816
2019-3,9.518093994509075
2019-4,9.506998428239335
2019-5,9.495902861969594
2019-6,9.484807295699854
2019-7,9.473711729430114
2019-8,9.462616163160373
2019-9,9.451520596890633
2019-10,9.440425030620892
2019-11,9.429329464351152
2019-12,9.41823389808141
2020-1,9.407138331811671
2020-2,9.385581494459066
2020-3,9.36402465710646
2020-4,9.342467819753857
2020-5,9.320910982401251
2020-6,9.299354145048646
2020-7,9.27779730769604
2020-8,9.256240470343435
2020-9,9.23468363299083
2020-10,9.213126795638225
2020-11,9.191569958285621
2020-12,9.170013120933016
2021-1,9.14845628358041
2021-2,9.146745827624928
2021-3,9.145035371669447
2021-4,9.143324915713965
2021-5,9.141614459758483
2021-6,9.139904003803
2021-7,9.138193547847518
2021-8,9.136483091892037
2021-9,9.134772635936555
2021-10,9.133062179981073
2021-11,9.131351724025592
2021-12,9.12964126807011
2022-1,9.127930812114627
