,Paraná - Desemprego
2003-1,8.284196000563572
2003-2,8.277973017196762
2003-3,8.271750033829953
2003-4,8.265527050463144
2003-5,8.259304067096334
2003-6,8.253081083729525
2003-7,8.246858100362715
2003-8,8.240635116995904
2003-9,8.234412133629094
2003-10,8.228189150262285
2003-11,8.221966166895475
2003-12,8.215743183528666
2004-1,8.209520200161856
2004-2,8.207621545953984
2004-3,8.205722891746111
2004-4,8.203824237538239
2004-5,8.201925583330366
2004-6,8.200026929122494
2004-7,8.19812827491462
2004-8,8.196229620706747
2004-9,8.194330966498875
2004-10,8.192432312291002
2004-11,8.19053365808313
2004-12,8.188635003875257
2005-1,8.186736349667385
2005-2,8.17896210740317
2005-3,8.171187865138954
2005-4,8.163413622874739
2005-5,8.155639380610522
2005-6,8.147865138346306
2005-7,8.140090896082091
2005-8,8.132316653817876
2005-9,8.12454241155366
2005-10,8.116768169289443
2005-11,8.108993927025228
2005-12,8.101219684761013
2006-1,8.093445442496797
2006-2,8.091149961282541
2006-3,8.088854480068285
2006-4,8.086558998854027
2006-5,8.084263517639771
2006-6,8.081968036425515
2006-7,8.079672555211257
2006-8,8.077377073997
2006-9,8.075081592782745
2006-10,8.072786111568488
2006-11,8.070490630354232
2006-12,8.068195149139974
2007-1,8.065899667925718
2007-2,8.06323700110896
2007-3,8.060574334292202
2007-4,8.057911667475443
2007-5,8.055249000658684
2007-6,8.052586333841925
2007-7,8.049923667025165
2007-8,8.047261000208408
2007-9,8.044598333391649
2007-10,8.04193566657489
2007-11,8.039272999758133
2007-12,8.036610332941374
2008-1,8.033947666124615
2008-2,8.036399564396735
2008-3,8.038851462668855
2008-4,8.041303360940978
2008-5,8.043755259213098
2008-6,8.046207157485219
2008-7,8.04865905575734
2008-8,8.051110954029461
2008-9,8.053562852301582
2008-10,8.056014750573702
2008-11,8.058466648845823
2008-12,8.060918547117945
2009-1,8.063370445390065
2009-2,8.060326485750602
2009-3,8.05728252611114
2009-4,8.054238566471676
2009-5,8.051194606832214
2009-6,8.04815064719275
2009-7,8.04510668755329
2009-8,8.042062727913827
2009-9,8.039018768274364
2009-10,8.0359748086349
2009-11,8.032930848995438
2009-12,8.029886889355975
2010-1,8.026842929716512
2010-2,8.025756532011533
2010-3,8.024670134306556
2010-4,8.023583736601577
2010-5,8.022497338896597
2010-6,8.02141094119162
2010-7,8.020324543486641
2010-8,8.019238145781662
2010-9,8.018151748076685
2010-10,8.017065350371706
2010-11,8.015978952666726
2010-12,8.01489255496175
2011-1,8.01380615725677
2011-2,7.885363638318367
2011-3,7.756921119379963
2011-4,7.62847860044156
2011-5,7.500036081503157
2011-6,7.371593562564753
2011-7,7.24315104362635
2011-8,7.114708524687947
2011-9,6.986266005749543
2011-10,6.85782348681114
2011-11,6.729380967872736
2011-12,6.600938448934333
2012-1,6.4724959299959295
2012-2,6.51743783864472
2012-3,6.562379747293511
2012-4,6.607321655942302
2012-5,6.652263564591093
2012-6,6.697205473239883
2012-7,6.742147381888674
2012-8,6.787089290537464
2012-9,6.832031199186255
2012-10,6.876973107835045
2012-11,6.921915016483837
2012-12,6.966856925132627
2013-1,7.011798833781418
2013-2,7.0493525288376
2013-3,7.0869062238937826
2013-4,7.124459918949966
2013-5,7.162013614006148
2013-6,7.1995673090623304
2013-7,7.237121004118514
2013-8,7.274674699174696
2013-9,7.312228394230878
2013-10,7.349782089287061
2013-11,7.387335784343243
2013-12,7.424889479399426
2014-1,7.462443174455609
2014-2,7.491677997719957
2014-3,7.520912820984304
2014-4,7.550147644248652
2014-5,7.579382467512999
2014-6,7.608617290777347
2014-7,7.637852114041694
2014-8,7.667086937306042
2014-9,7.69632176057039
2014-10,7.725556583834737
2014-11,7.754791407099085
2014-12,7.784026230363432
2015-1,7.81326105362778
2015-2,7.8155450903365224
2015-3,7.817829127045264
2015-4,7.820113163754006
2015-5,7.822397200462748
2015-6,7.82468123717149
2015-7,7.826965273880232
2015-8,7.829249310588974
2015-9,7.831533347297715
2015-10,7.8338173840064576
2015-11,7.8361014207152
2015-12,7.838385457423941
2016-1,7.840669494132683
2016-2,7.816705404514238
2016-3,7.7927413148957925
2016-4,7.768777225277347
2016-5,7.7448131356589025
2016-6,7.720849046040457
2016-7,7.696884956422012
2016-8,7.672920866803566
2016-9,7.648956777185121
2016-10,7.624992687566676
2016-11,7.601028597948231
2016-12,7.577064508329785
2017-1,7.55310041871134
2017-2,7.543681836266954
2017-3,7.534263253822568
2017-4,7.524844671378181
2017-5,7.515426088933795
2017-6,7.506007506489409
2017-7,7.496588924045023
2017-8,7.487170341600637
2017-9,7.477751759156251
2017-10,7.468333176711865
2017-11,7.458914594267479
2017-12,7.449496011823093
2018-1,7.440077429378706
2018-2,7.434110177307812
2018-3,7.428142925236918
2018-4,7.4221756731660244
2018-5,7.4162084210951305
2018-6,7.4102411690242365
2018-7,7.404273916953342
2018-8,7.398306664882448
2018-9,7.392339412811554
2018-10,7.38637216074066
2018-11,7.380404908669766
2018-12,7.374437656598872
2019-1,7.368470404527978
2019-2,7.356874914176391
2019-3,7.345279423824803
2019-4,7.333683933473217
2019-5,7.32208844312163
2019-6,7.310492952770042
2019-7,7.298897462418456
2019-8,7.287301972066869
2019-9,7.2757064817152814
2019-10,7.264110991363695
2019-11,7.252515501012108
2019-12,7.2409200106605205
2020-1,7.229324520308934
2020-2,7.2181217661198485
2020-3,7.206919011930763
2020-4,7.195716257741678
2020-5,7.184513503552592
2020-6,7.173310749363507
2020-7,7.162107995174422
2020-8,7.150905240985337
2020-9,7.139702486796252
2020-10,7.128499732607167
2020-11,7.117296978418081
2020-12,7.106094224228996
2021-1,7.094891470039911
2021-2,7.096720171205964
2021-3,7.098548872372019
