,Rondônia - Desemprego
2003-1,8.22606242703537
2003-2,8.219942711712722
2003-3,8.213822996390075
2003-4,8.207703281067428
2003-5,8.201583565744782
2003-6,8.195463850422135
2003-7,8.189344135099487
2003-8,8.18322441977684
2003-9,8.177104704454193
2003-10,8.170984989131547
2003-11,8.1648652738089
2003-12,8.158745558486252
2004-1,8.152625843163605
2004-2,8.150792080850303
2004-3,8.148958318537002
2004-4,8.1471245562237
2004-5,8.145290793910398
2004-6,8.143457031597096
2004-7,8.141623269283794
2004-8,8.13978950697049
2004-9,8.137955744657189
2004-10,8.136121982343887
2004-11,8.134288220030585
2004-12,8.132454457717284
2005-1,8.130620695403982
2005-2,8.122935395763994
2005-3,8.115250096124006
2005-4,8.107564796484018
2005-5,8.09987949684403
2005-6,8.092194197204043
2005-7,8.084508897564055
2005-8,8.076823597924067
2005-9,8.069138298284079
2005-10,8.061452998644091
2005-11,8.053767699004103
2005-12,8.046082399364115
2006-1,8.038397099724127
2006-2,8.03635062695624
2006-3,8.034304154188353
2006-4,8.032257681420466
2006-5,8.03021120865258
2006-6,8.028164735884692
2006-7,8.026118263116807
2006-8,8.02407179034892
2006-9,8.022025317581033
2006-10,8.019978844813146
2006-11,8.017932372045259
2006-12,8.015885899277372
2007-1,8.013839426509485
2007-2,8.011010150182036
2007-3,8.008180873854586
2007-4,8.005351597527138
2007-5,8.00252232119969
2007-6,7.999693044872241
2007-7,7.996863768544792
2007-8,7.9940344922173425
2007-9,7.991205215889894
2007-10,7.988375939562445
2007-11,7.985546663234996
2007-12,7.982717386907548
2008-1,7.979888110580099
2008-2,7.982245452926466
2008-3,7.984602795272833
2008-4,7.986960137619201
2008-5,7.989317479965568
2008-6,7.991674822311936
2008-7,7.994032164658303
2008-8,7.99638950700467
2008-9,7.998746849351037
2008-10,8.001104191697404
2008-11,8.003461534043772
2008-12,8.005818876390139
2009-1,8.008176218736507
2009-2,8.005098888568321
2009-3,8.002021558400136
2009-4,7.99894422823195
2009-5,7.995866898063764
2009-6,7.992789567895579
