,Roraima - Desemprego
2003-1,8.263084148815043
2003-2,8.257122593341329
2003-3,8.251161037867615
2003-4,8.245199482393899
2003-5,8.239237926920184
2003-6,8.23327637144647
2003-7,8.227314815972754
2003-8,8.22135326049904
2003-9,8.215391705025326
2003-10,8.209430149551611
2003-11,8.203468594077897
2003-12,8.197507038604181
2004-1,8.191545483130467
2004-2,8.189496766412635
2004-3,8.187448049694805
2004-4,8.185399332976973
2004-5,8.18335061625914
2004-6,8.18130189954131
2004-7,8.179253182823478
2004-8,8.177204466105646
2004-9,8.175155749387816
2004-10,8.173107032669984
2004-11,8.171058315952152
2004-12,8.169009599234322
2005-1,8.16696088251649
2005-2,8.159072979695505
2005-3,8.151185076874519
2005-4,8.143297174053533
2005-5,8.135409271232549
2005-6,8.127521368411564
2005-7,8.119633465590578
2005-8,8.111745562769592
2005-9,8.103857659948607
2005-10,8.095969757127623
2005-11,8.088081854306637
2005-12,8.08019395148565
2006-1,8.072306048664666
2006-2,8.070275474322964
2006-3,8.068244899981263
2006-4,8.06621432563956
2006-5,8.064183751297858
2006-6,8.062153176956157
2006-7,8.060122602614454
2006-8,8.058092028272752
2006-9,8.05606145393105
2006-10,8.054030879589348
2006-11,8.052000305247645
2006-12,8.049969730905945
2007-1,8.047939156564242
2007-2,8.04520168885824
2007-3,8.04246422115224
2007-4,8.039726753446239
2007-5,8.036989285740237
2007-6,8.034251818034235
2007-7,8.031514350328234
2007-8,8.028776882622234
2007-9,8.026039414916232
2007-10,8.02330194721023
2007-11,8.02056447950423
2007-12,8.017827011798229
2008-1,8.015089544092227
2008-2,8.017692148310797
2008-3,8.020294752529368
2008-4,8.022897356747938
2008-5,8.025499960966508
2008-6,8.02810256518508
2008-7,8.03070516940365
2008-8,8.03330777362222
2008-9,8.035910377840791
2008-10,8.03851298205936
2008-11,8.04111558627793
2008-12,8.043718190496502
2009-1,8.046320794715072
2009-2,8.04322978112268
2009-3,8.040138767530287
2009-4,8.037047753937895
2009-5,8.033956740345504
2009-6,8.030865726753111
2009-7,8.027774713160719
2009-8,8.024683699568326
2009-9,8.021592685975934
2009-10,8.018501672383543
2009-11,8.01541065879115
2009-12,8.012319645198758
2010-1,8.009228631606366
2010-2,8.008194472708407
2010-3,8.007160313810449
2010-4,8.00612615491249
2010-5,8.005091996014531
2010-6,8.004057837116573
2010-7,8.003023678218614
2010-8,8.001989519320654
2010-9,8.000955360422696
2010-10,7.999921201524737
2010-11,7.998887042626778
2010-12,7.99785288372882
2011-1,7.996818724830861
2011-2,8.051403589268881
2011-3,8.105988453706901
2011-4,8.16057331814492
2011-5,8.21515818258294
2011-6,8.26974304702096
2011-7,8.32432791145898
2011-8,8.378912775897
2011-9,8.43349764033502
2011-10,8.48808250477304
2011-11,8.542667369211058
2011-12,8.597252233649078
2012-1,8.651837098087098
2012-2,8.726775484394338
2012-3,8.801713870701576
2012-4,8.876652257008816
2012-5,8.951590643316056
2012-6,9.026529029623296
2012-7,9.101467415930536
2012-8,9.176405802237774
2012-9,9.251344188545014
2012-10,9.326282574852254
2012-11,9.401220961159492
2012-12,9.476159347466732
2013-1,9.551097733773972
2013-2,9.615864594804304
2013-3,9.680631455834634
2013-4,9.745398316864966
2013-5,9.810165177895298
2013-6,9.874932038925628
2013-7,9.93969889995596
2013-8,10.004465760986292
2013-9,10.069232622016623
2013-10,10.133999483046955
2013-11,10.198766344077287
2013-12,10.263533205107617
2014-1,10.328300066137949
2014-2,10.361255614993237
2014-3,10.394211163848524
2014-4,10.427166712703812
2014-5,10.4601222615591
2014-6,10.493077810414388
2014-7,10.526033359269675
2014-8,10.558988908124963
2014-9,10.59194445698025
2014-10,10.624900005835539
2014-11,10.657855554690826
2014-12,10.690811103546114
2015-1,10.723766652401402
2015-2,10.727127809717071
2015-3,10.730488967032741
2015-4,10.733850124348411
2015-5,10.73721128166408
2015-6,10.74057243897975
2015-7,10.74393359629542
2015-8,10.74729475361109
2015-9,10.75065591092676
2015-10,10.75401706824243
2015-11,10.7573782255581
2015-12,10.76073938287377
2016-1,10.764100540189439
2016-2,10.74488732651944
2016-3,10.725674112849438
2016-4,10.706460899179437
2016-5,10.687247685509437
2016-6,10.668034471839437
2016-7,10.648821258169436
2016-8,10.629608044499435
2016-9,10.610394830829435
2016-10,10.591181617159435
2016-11,10.571968403489434
2016-12,10.552755189819433
2017-1,10.533541976149433
2017-2,10.54259695091575
2017-3,10.551651925682066
2017-4,10.560706900448382
2017-5,10.569761875214699
2017-6,10.578816849981015
2017-7,10.587871824747332
2017-8,10.596926799513648
2017-9,10.605981774279964
2017-10,10.615036749046281
2017-11,10.624091723812597
2017-12,10.633146698578914
2018-1,10.64220167334523
2018-2,10.624540825632518
2018-3,10.606879977919805
2018-4,10.589219130207091
2018-5,10.57155828249438
2018-6,10.553897434781668
2018-7,10.536236587068954
2018-8,10.51857573935624
2018-9,10.500914891643529
2018-10,10.483254043930817
2018-11,10.465593196218103
2018-12,10.44793234850539
2019-1,10.430271500792678
2019-2,10.38596774237236
2019-3,10.341663983952042
2019-4,10.297360225531726
2019-5,10.253056467111408
2019-6,10.20875270869109
2019-7,10.164448950270772
2019-8,10.120145191850455
2019-9,10.075841433430137
2019-10,10.031537675009819
2019-11,9.987233916589503
2019-12,9.942930158169185
2020-1,9.898626399748867
2020-2,9.865688238504127
