,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
1992,6.975029423112,6.959425875765847,6.852734251528811,6.678549205574321,6.706534740491889,6.650797680869367,6.685610268331195,6.621487129461979,6.596498633564274,6.594011547262952,6.713862451813431,6.6943439478028175,6.719095487791811,6.742668409680396,6.660183221857448,6.700446060022539,6.642517406501152,6.722391901738231,6.74712286793224,6.73162100425936,6.677372069139336,6.649444653214868,6.647623999956158,6.7029195181360155,6.793371073004017,6.7615934961846325,6.67171905128077
1993,7.132093947767999,7.046355415825691,6.832041157940506,6.491279324864228,6.424126227122163,6.377567014052614,6.416166705743451,6.302860335482097,6.311190986218473,6.329278892208044,6.430067798789823,6.442936952589447,6.474753729666834,6.518134949869308,6.465959990027432,6.497740925328447,6.410932649718389,6.53274883290796,6.575626533204551,6.522466902889905,6.479550919822866,6.450995419227415,6.470904329235838,6.530879775926055,6.6487551953455375,6.5042579394271955,6.429652834712342
1995,7.129371180896,7.060923463196,7.034530399973778,6.876116601298732,6.646806793391279,6.616698513287251,6.649320517327521,6.59063790916928,6.648992678301475,6.631046739864492,6.7537634975261405,6.801779881464147,6.796843721951707,6.8085644589758445,6.74748078070458,6.892941549467712,6.918948514966517,7.074840522861572,7.101163304260149,7.0859560461623765,7.077291098075798,7.055726639341568,6.808611457939405,6.841030315089012,6.959485465681197,6.926931610376059,6.877806410558303
1996,7.592697299483999,7.616436026876307,7.542710444261492,7.4214703842378436,7.417519012228134,7.376503012721769,7.427693823022576,7.224638685086375,7.241678071400685,7.210073274385895,7.344886356344633,7.369668363035174,7.298115462906848,7.303259081799694,7.234503851458942,7.386987312168532,7.3378159728006995,7.4420646343192445,7.491589671034772,7.450771599339763,7.486105521311607,7.55500627934537,7.349858239024828,7.368342107429451,7.4764380970083195,7.401887236009575,7.3272113234552885
1997,7.933796079848,7.9980135704441535,8.024012112981191,7.7607715463212354,7.643308846162763,7.616530560435457,7.635378259284919,7.53835045084362,7.560788220285976,7.571994501944716,7.684204021809335,7.704093545876348,7.624045602882879,7.698866749552615,7.608868910243452,7.65618401545247,7.588734230158117,7.6880836661047125,7.696862772164146,7.633471334144302,7.542552022268164,7.579274939663281,7.722753376580441,7.712655103961197,7.813381671974575,7.828250820578465,7.712299968718976
1998,9.053578210692,9.216113308872771,9.003620066183881,8.652578722075877,8.582716021589798,8.57710785088942,8.62597673068162,8.491367108858716,8.533146819331263,8.530635844647234,8.68168570857491,8.66545834992213,8.587016252737763,8.594195462739163,8.572644842210984,8.653206701022501,8.638702573152964,8.746401216225296,8.758135138500307,8.676971475429948,8.697999866016243,8.777831575576103,8.824776291219663,8.831842652253725,8.877812356166826,8.773444610403043,8.596218753064374
1999,10.233812750316,10.261377063439076,9.94024648102426,9.592618807214048,9.382028448918273,9.362018753352285,9.436312426991257,9.221804014413156,9.237365908302532,9.228096627287812,9.38420926631699,9.364483595139841,9.333724510382057,9.36829055644806,9.331899449594285,9.354960546371851,9.289904294741179,9.47029655912789,9.452949126891884,9.377782955469362,9.344825017801561,9.341845013797913,9.410147225494134,9.44592958679762,9.494894765034568,9.439483776236612,9.267383026625978
2001,9.85519632236,9.966485097729231,9.777214839010712,9.743625107211109,9.398654217441148,9.354018794346375,9.404792034059206,9.208752951242879,9.175989073762986,9.200715360857911,9.24899684798228,9.2030317819594,9.197392246187526,9.297128686031508,9.253529487914157,9.265288414714682,9.187000245141151,9.292425017064899,9.322635105915449,9.206431063127132,9.211702176698507,9.218661901994748,9.231927347631592,9.291335696717947,9.469015900318611,9.328222386729275,9.217755524006446
2002,9.2616828611,9.463089139542307,9.446574325097863,9.316220314305191,8.900544619094273,8.832585819205171,8.831673476534993,8.632276765647399,8.55695024175286,8.618180332417781,8.717758592044365,8.666288572146007,8.672629178162527,8.721458979631509,8.645568783999343,8.658688929417837,8.571773711877757,8.670550863158415,8.70633153415317,8.59500323689588,8.644606732414246,8.710007398755515,8.814119172020535,8.855074913454628,8.998215214119613,8.91154372161343,8.773169612548813
2003,9.89371676704,10.091757546916922,10.087568865328032,9.867809121666108,9.740757311653741,9.701826889174251,9.732746886217742,9.57485264385914,9.547598683135405,9.575987362962643,9.680330808005703,9.662200511135543,9.703757699999823,9.785725898270186,9.771214023402415,9.739578801695098,9.658580164780103,9.777712008597883,9.83974781232373,9.721161570543128,9.694794104470652,9.693857462506601,9.611473431173511,9.66652879610216,9.800359092187424,9.784212620007999,9.65941823609196
