Ano,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
1992,9.2163144702,8.9808491103,11.5557304923,5.9229397628,8.2114353503,5.7108578194,8.4169350178,7.2961765187,6.6636499637,3.3580371244,7.2408620601,6.0260523681,6.0826265968,8.9697684809,5.5730865914,8.2645197051,4.4859060351,6.0546558145,7.1656731871,8.1963422525,7.4314122991,6.6986022912,5.1546450091,4.2607275367,7.4379297202,8.8106222392,6.1001752559
1993,10.0564899114,11.0865823431,16.032610651,8.3044129639,7.68122498,5.3353753384,9.4754387028,6.0779327656,5.8228175245,3.6079784145,6.0826006462,5.5838839715,5.3034607842,7.9268588656,5.6078747369,8.8415643668,3.1218957036,5.3750509249,8.0109365517,7.6811984457,7.2505494359,5.913454849,4.8515672686,3.3482434516,9.9223450968,7.8272880809,5.3000973802
1995,9.8007104132,8.3122639535,11.3117029642,13.0674814148,7.4597303562,5.7359044042,8.2337509376,5.0150591426,7.1335330161,3.317694283,5.4573211312,6.9350561883,6.4803838223,8.4578237723,2.8200400241,6.190753481,2.7098643018,6.3641254251,7.5117592729,7.3199096445,7.6595314839,13.7278365372,5.9333023149,3.6427412491,7.6359999884,8.021069753,7.5996512465
1996,8.4370293468,8.0112873243,10.8161920649,7.5281574285,8.5249509989,5.9943511346,12.9101825473,6.7645752546,8.0950075908,3.5701200615,6.6757721757,9.3015966665,7.1592377528,9.159650301,3.1174504123,8.7146134751,4.5231021118,6.104888643,8.5936776068,6.4967557061,5.6257850544,13.094003368,6.8507937921,4.4497503888,9.2985012805,9.054236259,6.0206965937
1997,8.8876046117,7.9721212878,15.1315074128,10.9322644506,8.3663225608,7.1076426915,10.2551290872,6.9325306759,7.2582186155,4.5423374656,7.147186872,9.8653880067,5.6038746428,10.1288084109,6.3313610696,9.4773282184,4.9062994596,7.4510478025,9.4084315987,10.0882927548,6.5510332526,3.7053571429,7.9954067373,4.9930377676,7.3063694004,10.5572593672,8.6740819363
1998,8.5355097927,12.2875121428,18.4817363571,10.5388716352,8.7341366305,7.2576480965,12.2604365199,7.3633149261,8.6009431358,4.4522895186,9.1198243922,10.7833949739,8.3931775827,9.176062217,6.3974746543,9.0448181535,5.7308392102,8.4295853148,10.9495540414,8.1092049296,6.5425437079,7.5103242532,8.6339845433,7.5906606466,11.4156078915,12.7614223454,6.5501945902
1999,12.2034370881,14.7489836777,19.3261936739,15.2785584812,9.9222902292,7.3560895651,15.2280395666,8.8016328794,9.4876364957,5.0130553735,9.9168023881,10.1949788836,8.4004412666,10.3508504415,8.7092498366,11.1114793404,4.4193131563,9.9386772295,11.4824357553,10.2676472725,9.4252851259,7.497685298,8.4440234703,8.1238697744,10.1966624885,12.9201092293,6.0784579525
2001,8.5581230842,12.0656984015,10.6841375976,19.057839131,10.603810641,7.9831413221,14.6978472701,10.0933776432,8.5083793222,7.8971152085,10.4900536306,9.3552992478,6.5045083704,10.4743070352,8.9360384643,11.3790689932,6.3405314032,8.4767526181,12.4601442612,9.0641109967,9.0237895937,8.8604948698,7.6279019223,4.4939701995,12.7434668316,11.4516312438,6.9554014161
2002,6.5827877908,9.0805148758,12.9661326165,20.539464085,10.7354322161,8.8572190713,14.2153846705,10.6660929108,6.9037377938,5.9295673225,10.1074491293,8.4950922097,7.3542245385,10.7704942617,8.2913248577,11.005399803,5.9047906273,7.7044727463,11.7121955601,7.2557088579,6.8787887412,5.8989895206,7.7083141533,4.9902867955,10.9882063723,11.8193510303,8.6346148858
2003,7.4474670142,8.178167736,16.0210819442,13.298207992,10.7918787186,8.866986969,13.9958914299,10.3107095834,8.7811043278,6.7587143468,10.1698488235,8.5401564118,7.4906163467,10.1775465197,10.6253650095,11.9265419984,6.4420203817,8.102745308,13.0415763404,10.4330831545,9.7200834375,11.9182263085,8.1249785781,6.0531108018,10.126809694,12.596527291,8.0650733331
