Índice de Desenvolvimento Humano (IDH) - longevidade
Sigla,Código,Estado,1980,1991,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,0.523,0.623,0.791,0.797,0.804,0.809,0.815,0.82,0.825,0.83,0.825,0.788,
AL,27,Alagoas,0.452,0.543,0.749,0.756,0.763,0.769,0.776,0.782,0.788,0.793,0.786,0.748,
AM,13,Amazonas,0.522,0.627,0.764,0.769,0.773,0.777,0.781,0.785,0.789,0.792,0.783,0.744,
AP,16,Amapá,0.531,0.613,0.796,0.801,0.806,0.811,0.815,0.82,0.824,0.828,0.815,0.778,
BA,29,Bahia,0.518,0.601,0.79,0.794,0.799,0.803,0.807,0.811,0.815,0.818,0.811,0.772,
CE,23,Ceará,0.46,0.595,0.796,0.801,0.804,0.808,0.812,0.816,0.819,0.823,0.822,0.784,
DF,53,Distrito Federal,0.561,0.674,0.865,0.87,0.875,0.879,0.884,0.888,0.892,0.896,0.836,0.803,
ES,32,Espírito Santo,0.565,0.647,0.863,0.87,0.876,0.882,0.887,0.892,0.897,0.902,0.895,0.864,
GO,52,Goiás,0.529,0.636,0.807,0.81,0.813,0.815,0.818,0.821,0.824,0.827,0.763,0.721,
MA,21,Maranhão,0.516,0.596,0.739,0.744,0.749,0.754,0.759,0.764,0.769,0.773,0.758,0.715,
MG,31,Minas Gerais,0.538,0.645,0.852,0.857,0.862,0.866,0.871,0.875,0.879,0.883,0.878,0.846,
MS,50,Mato Grosso do Sul,0.546,0.651,0.823,0.828,0.832,0.837,0.842,0.846,0.85,0.854,0.789,0.751,
MT,51,Mato Grosso,0.53,0.615,0.803,0.807,0.812,0.816,0.82,0.824,0.828,0.832,0.769,0.73,
PA,15,Pará,0.536,0.601,0.771,0.774,0.777,0.781,0.784,0.787,0.79,0.793,0.784,0.744,
PB,25,Paraíba,0.431,0.576,0.78,0.786,0.791,0.797,0.802,0.807,0.812,0.816,0.816,0.779,
PE,26,Pernambuco,0.47,0.6,0.784,0.792,0.799,0.806,0.813,0.819,0.826,0.831,0.831,0.797,
PI,22,Piauí,0.494,0.599,0.753,0.756,0.76,0.763,0.766,0.769,0.772,0.775,0.768,0.726,
PR,41,Paraná,0.56,0.663,0.846,0.852,0.857,0.862,0.867,0.872,0.877,0.882,0.82,0.785,
RJ,33,Rio de Janeiro,0.54,0.642,0.832,0.837,0.843,0.848,0.853,0.858,0.863,0.867,0.804,0.769,
RN,24,Rio Grande do Norte,0.434,0.593,0.827,0.831,0.836,0.84,0.844,0.848,0.851,0.855,0.855,0.819,
RO,11,Rondônia,0.527,0.62,0.758,0.762,0.765,0.769,0.772,0.775,0.778,0.781,0.77,0.731,
RR,14,Roraima,0.531,0.613,0.752,0.757,0.763,0.768,0.774,0.779,0.784,0.788,0.783,0.745,
RS,43,Rio Grande do Sul,0.603,0.685,0.86,0.865,0.87,0.875,0.88,0.884,0.888,0.893,0.831,0.797,
SC,42,Santa Catarina,0.592,0.691,0.878,0.885,0.89,0.896,0.902,0.907,0.912,0.916,0.858,0.827,
SE,28,Sergipe,0.481,0.58,0.775,0.779,0.784,0.788,0.793,0.797,0.801,0.805,0.803,0.764,
SP,35,São Paulo,0.547,0.673,0.863,0.869,0.875,0.88,0.885,0.889,0.894,0.898,0.844,0.81,
TO,17,Tocantins,0.522,0.631,0.785,0.79,0.795,0.8,0.805,0.809,0.814,0.818,0.817,0.779,
