Índice de Desenvolvimento Humano (IDH) - renda
Sigla,Código,Estado,1980,1991,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,0.578,0.611,0.67,0.67,0.669,0.674,0.66,0.655,0.676,0.668,0.668,0.655,
AL,27,Alagoas,0.43,0.435,0.627,0.629,0.645,0.636,0.637,0.631,0.637,0.636,0.645,0.63,
AM,13,Amazonas,0.762,0.743,0.683,0.683,0.683,0.673,0.654,0.672,0.655,0.658,0.657,0.641,
AP,16,Amapá,0.635,0.802,0.673,0.691,0.687,0.69,0.682,0.683,0.666,0.665,0.663,0.648,
BA,29,Bahia,0.599,0.478,0.666,0.667,0.676,0.671,0.662,0.675,0.664,0.673,0.679,0.648,
CE,23,Ceará,0.449,0.454,0.648,0.656,0.656,0.657,0.656,0.666,0.666,0.677,0.684,0.658,
DF,53,Distrito Federal,0.965,0.969,0.846,0.848,0.845,0.847,0.836,0.842,0.836,0.841,0.827,0.821,
ES,32,Espírito Santo,0.873,0.804,0.73,0.734,0.742,0.731,0.727,0.727,0.735,0.747,0.733,0.715,
GO,52,Goiás,0.887,0.875,0.73,0.74,0.739,0.731,0.724,0.735,0.735,0.729,0.722,0.714,
MA,21,Maranhão,0.334,0.313,0.602,0.607,0.61,0.613,0.615,0.616,0.613,0.614,0.621,0.603,
MG,31,Minas Gerais,0.91,0.798,0.726,0.733,0.739,0.736,0.725,0.731,0.733,0.734,0.729,0.718,
MS,50,Mato Grosso do Sul,0.944,0.923,0.729,0.735,0.742,0.726,0.741,0.738,0.75,0.752,0.744,0.733,
MT,51,Mato Grosso,0.797,0.855,0.732,0.738,0.739,0.729,0.725,0.733,0.744,0.738,0.735,0.72,
PA,15,Pará,0.651,0.587,0.658,0.66,0.66,0.656,0.646,0.647,0.667,0.651,0.664,0.645,
PB,25,Paraíba,0.392,0.409,0.649,0.655,0.671,0.678,0.663,0.682,0.672,0.672,0.664,0.653,
PE,26,Pernambuco,0.59,0.579,0.673,0.685,0.698,0.688,0.677,0.671,0.669,0.68,0.667,0.647,
PI,22,Piauí,0.287,0.342,0.635,0.666,0.665,0.668,0.655,0.653,0.658,0.657,0.659,0.649,
PR,41,Paraná,0.934,0.94,0.757,0.761,0.765,0.754,0.756,0.759,0.766,0.764,0.751,0.744,
RJ,33,Rio de Janeiro,0.961,0.954,0.756,0.757,0.764,0.758,0.761,0.757,0.774,0.783,0.77,0.759,
RN,24,Rio Grande do Norte,0.477,0.507,0.658,0.67,0.676,0.687,0.687,0.672,0.686,0.693,0.695,0.692,
RO,11,Rondônia,0.747,0.662,0.692,0.694,0.691,0.689,0.686,0.693,0.71,0.705,0.704,0.677,
RR,14,Roraima,0.939,0.954,0.717,0.723,0.712,0.719,0.714,0.697,0.723,0.696,0.68,0.68,
RS,43,Rio Grande do Sul,0.953,0.949,0.767,0.773,0.777,0.776,0.772,0.776,0.775,0.783,0.774,0.767,
SC,42,Santa Catarina,0.943,0.943,0.764,0.768,0.769,0.769,0.763,0.772,0.772,0.776,0.763,0.759,
SE,28,Sergipe,0.544,0.521,0.679,0.685,0.688,0.68,0.683,0.67,0.676,0.682,0.687,0.662,
SP,35,São Paulo,0.962,0.96,0.782,0.787,0.79,0.782,0.787,0.781,0.791,0.791,0.781,0.771,
TO,17,Tocantins,0.45,0.515,0.674,0.68,0.692,0.688,0.679,0.687,0.698,0.693,0.691,0.684,
