Ano,Paraíba
1980,0.402
1981,0.40954545454545455
1982,0.4170909090909091
1983,0.42463636363636365
1984,0.4318249207382192
1985,0.4387191095981845
1986,0.44551709968629016
1987,0.452417060472567
1988,0.45961716142704573
1989,0.46731557201975704
1990,0.47571046172073156
1991,0.485
1992,0.49546772696778907
1993,0.5070268986717628
1994,0.5194863373668887
1995,0.5326548653081343
1996,0.546341304750467
1997,0.5603544779488546
1998,0.5745032071582644
1999,0.588596314633664
2000,0.602442622630021
2001,0.6158509534023028
2002,0.6286301292054769
2003,0.640588972294511
2004,0.6515363049243723
2005,0.6612809493500287
2006,0.6696317278264475
2007,0.6763974626085963
2008,0.6813869759514426
2009,0.684409090109954
2010,0.6852726273390979
2011,0.6837864098938418
2012,0.6797592600291533
2012,0.673
2013,0.67
2014,0.69
2015,0.703
2016,0.704
2017,0.717
2018,0.711
2019,0.713
2020,0.714
2021,0.698
