Ano,Santa Catarina
1980,0.734
1981,0.7386363636363636
1982,0.7432727272727273
1983,0.7479090909090909
1984,0.7529174912167327
1985,0.7582327465686095
1986,0.7636482813467068
1987,0.7689575199330103
1988,0.7739538867095057
1989,0.7784308060581788
1990,0.782181702361015
1991,0.785
1992,0.7867255543884477
1993,0.7874319158869134
1994,0.7872518581064624
1995,0.7863181546581592
1996,0.784763579153069
1997,0.7827209052022567
1998,0.780322906416787
1999,0.7777023564077249
2000,0.7749920287861355
2001,0.7723246971630834
2002,0.7698331351496336
2003,0.7676501163568509
2004,0.7659084143958005
2005,0.764740802877547
2006,0.7642800554131556
2007,0.7646589456136907
2008,0.7660102470902178
2009,0.7684667334538013
2010,0.7721611783155066
2011,0.777226355286398
2012,0.7837950379775409
2012,0.792
2013,0.801
2014,0.807
2015,0.809
2016,0.814
2017,0.817
2018,0.819
2019,0.826
2020,0.803
2021,0.792
