Índice de Desenvolvimento Humano (IDH)
Sigla,Código,Estado,1980,1991,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,0.506,0.584,0.701,0.706,0.715,0.718,0.723,0.712,0.733,0.739,0.746,0.71,
AL,27,Alagoas,0.41,0.474,0.651,0.648,0.666,0.666,0.68,0.679,0.689,0.687,0.694,0.684,
AM,13,Amazonas,0.608,0.658,0.691,0.702,0.706,0.711,0.711,0.728,0.718,0.726,0.727,0.7,
AP,16,Amapá,0.582,0.687,0.707,0.734,0.725,0.728,0.733,0.732,0.741,0.737,0.724,0.688,
BA,29,Bahia,0.515,0.53,0.678,0.68,0.694,0.701,0.705,0.71,0.71,0.718,0.724,0.691,
CE,23,Ceará,0.44,0.517,0.701,0.705,0.71,0.715,0.722,0.73,0.739,0.744,0.755,0.734,
DF,53,Distrito Federal,0.751,0.806,0.825,0.837,0.836,0.837,0.847,0.842,0.845,0.859,0.829,0.814,
ES,32,Espírito Santo,0.673,0.704,0.758,0.765,0.772,0.776,0.779,0.78,0.788,0.793,0.792,0.771,
GO,52,Goiás,0.66,0.722,0.744,0.752,0.757,0.755,0.764,0.765,0.771,0.774,0.758,0.737,
MA,21,Maranhão,0.405,0.456,0.648,0.661,0.663,0.669,0.68,0.685,0.686,0.694,0.699,0.676,
MG,31,Minas Gerais,0.675,0.699,0.75,0.758,0.77,0.774,0.776,0.784,0.784,0.793,0.789,0.774,
MS,50,Mato Grosso do Sul,0.69,0.746,0.733,0.743,0.745,0.74,0.758,0.762,0.77,0.777,0.76,0.742,
MT,51,Mato Grosso,0.618,0.702,0.742,0.758,0.762,0.77,0.769,0.77,0.778,0.779,0.756,0.736,
PA,15,Pará,0.579,0.595,0.666,0.671,0.684,0.689,0.687,0.694,0.707,0.704,0.719,0.69,
PB,25,Paraíba,0.402,0.485,0.673,0.67,0.69,0.703,0.704,0.717,0.711,0.713,0.714,0.698,
PE,26,Pernambuco,0.502,0.572,0.688,0.703,0.715,0.722,0.724,0.722,0.735,0.74,0.739,0.719,
PI,22,Piauí,0.385,0.468,0.66,0.679,0.686,0.689,0.685,0.694,0.699,0.706,0.708,0.69,
PR,41,Paraná,0.7,0.76,0.772,0.782,0.788,0.786,0.797,0.797,0.805,0.807,0.787,0.769,
RJ,33,Rio de Janeiro,0.733,0.782,0.762,0.768,0.78,0.785,0.789,0.791,0.805,0.809,0.785,0.762,
RN,24,Rio Grande do Norte,0.444,0.539,0.695,0.71,0.723,0.733,0.732,0.728,0.739,0.742,0.75,0.728,
RO,11,Rondônia,0.595,0.635,0.694,0.687,0.692,0.706,0.715,0.721,0.73,0.73,0.739,0.7,
RR,14,Roraima,0.679,0.728,0.738,0.738,0.744,0.748,0.752,0.746,0.76,0.749,0.739,0.699,
RS,43,Rio Grande do Sul,0.744,0.786,0.763,0.773,0.779,0.787,0.789,0.793,0.797,0.801,0.78,0.771,
SC,42,Santa Catarina,0.734,0.785,0.792,0.801,0.807,0.809,0.814,0.817,0.819,0.826,0.803,0.792,
SE,28,Sergipe,0.477,0.539,0.684,0.683,0.696,0.697,0.697,0.699,0.71,0.705,0.722,0.702,
SP,35,São Paulo,0.728,0.787,0.812,0.818,0.825,0.823,0.835,0.831,0.837,0.845,0.823,0.806,
TO,17,Tocantins,0.465,0.56,0.71,0.719,0.737,0.73,0.734,0.74,0.749,0.751,0.755,0.731,
