Ano,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
1980,0.506,0.41,0.608,0.582,0.515,0.44,0.751,0.673,0.66,0.405,0.675,0.69,0.618,0.579,0.402,0.502,0.385,0.7,0.733,0.444,0.595,0.679,0.744,0.734,0.477,0.728,0.465
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,0.584,0.474,0.658,0.687,0.53,0.517,0.806,0.704,0.722,0.456,0.699,0.746,0.702,0.595,0.485,0.572,0.468,0.76,0.782,0.539,0.635,0.728,0.786,0.785,0.539,0.787,0.56
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.701,0.651,0.691,0.707,0.678,0.701,0.825,0.758,0.744,0.648,0.75,0.733,0.742,0.666,0.673,0.688,0.66,0.772,0.762,0.695,0.694,0.738,0.763,0.792,0.684,0.812,0.71
2013,0.706,0.648,0.702,0.734,0.68,0.705,0.837,0.765,0.752,0.661,0.758,0.743,0.758,0.671,0.67,0.703,0.679,0.782,0.768,0.71,0.687,0.738,0.773,0.801,0.683,0.818,0.719
2014,0.715,0.666,0.706,0.725,0.694,0.71,0.836,0.772,0.757,0.663,0.77,0.745,0.762,0.684,0.69,0.715,0.686,0.788,0.78,0.723,0.692,0.744,0.779,0.807,0.696,0.825,0.737
2015,0.718,0.666,0.711,0.728,0.701,0.715,0.837,0.776,0.755,0.669,0.774,0.74,0.77,0.689,0.703,0.722,0.689,0.786,0.785,0.733,0.706,0.748,0.787,0.809,0.697,0.823,0.73
2016,0.723,0.68,0.711,0.733,0.705,0.722,0.847,0.779,0.764,0.68,0.776,0.758,0.769,0.687,0.704,0.724,0.685,0.797,0.789,0.732,0.715,0.752,0.789,0.814,0.697,0.835,0.734
2017,0.712,0.679,0.728,0.732,0.71,0.73,0.842,0.78,0.765,0.685,0.784,0.762,0.77,0.694,0.717,0.722,0.694,0.797,0.791,0.728,0.721,0.746,0.793,0.817,0.699,0.831,0.74
2018,0.733,0.689,0.718,0.741,0.71,0.739,0.845,0.788,0.771,0.686,0.784,0.77,0.778,0.707,0.711,0.735,0.699,0.805,0.805,0.739,0.73,0.76,0.797,0.819,0.71,0.837,0.749
2019,0.739,0.687,0.726,0.737,0.718,0.744,0.859,0.793,0.774,0.694,0.793,0.777,0.779,0.704,0.713,0.74,0.706,0.807,0.809,0.742,0.73,0.749,0.801,0.826,0.705,0.845,0.751
2020,0.746,0.694,0.727,0.724,0.724,0.755,0.829,0.792,0.758,0.699,0.789,0.76,0.756,0.719,0.714,0.739,0.708,0.787,0.785,0.75,0.739,0.739,0.78,0.803,0.722,0.823,0.755
2021,0.71,0.684,0.7,0.688,0.691,0.734,0.814,0.771,0.737,0.676,0.774,0.742,0.736,0.69,0.698,0.719,0.69,0.769,0.762,0.728,0.7,0.699,0.771,0.792,0.702,0.806,0.731
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
