Ano,Pernambuco
1980,0.502
1981,0.5083636363636364
1982,0.5147272727272727
1983,0.521090909090909
1984,0.5277100832362471
1985,0.5345400243929078
1986,0.541438843657844
1987,0.5482646521280081
1988,0.5548755609003532
1989,0.5611296810718316
1990,0.5668851237393964
1991,0.572
1992,0.5763678252531255
1993,0.5800584460043219
1994,0.5831863701005873
1995,0.5858661053889194
1996,0.5882121597163165
1997,0.5903390409297762
1998,0.5923612568762967
1999,0.594393315402876
2000,0.5965497243565118
2001,0.5989449915842022
2002,0.601693624932945
2003,0.6049101322497386
2004,0.6087090213815803
2005,0.6132048001754686
2006,0.6185119764784014
2007,0.6247450581373762
2008,0.6320185529993915
2009,0.6404469689114449
2010,0.6501448137205346
2011,0.6612265952736582
2012,0.6738068214178141
2012,0.688
2013,0.703
2014,0.715
2015,0.722
2016,0.724
2017,0.722
2018,0.735
2019,0.74
2020,0.739
2021,0.719
