Ano,Piauí
1980,0.385
1981,0.39254545454545453
1982,0.4000909090909091
1983,0.40763636363636363
1984,0.4153820612007136
1985,0.42329291877525754
1986,0.4312577502093421
1987,0.43916536935231365
1988,0.4469045900535187
1989,0.4543642261623039
1990,0.4614330915280155
1991,0.468
1992,0.4739337902997195
1993,0.4793040388517808
1994,0.4842351838101547
1995,0.4888516633288121
1996,0.493277915561724
1997,0.4976383786628614
1998,0.5020574907861951
1999,0.5066596900856962
2000,0.5115694147153356
2001,0.5169111028290839
2002,0.5228091925809125
2003,0.5293881221247921
2004,0.5367723296146937
2005,0.545086253204588
2006,0.5544543310484463
2007,0.5650010013002393
2008,0.5768507021139382
2009,0.5901278716435137
2010,0.6049569480429365
2011,0.6214623694661779
2012,0.6397685740672088
2012,0.66
2013,0.679
2014,0.686
2015,0.689
2016,0.685
2017,0.694
2018,0.699
2019,0.706
2020,0.708
2021,0.69
