Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2009,27.667957080387666,984.9719351278503,1299.7606551142153,25.376338614831173,21.2199897974984,79.67379346810317,1.4364134999802831
2010,30.587557836957586,985.0375873387519,1305.345780908122,25.288854659523167,17.738218788239784,70.04971897518338,1.2464212593121056
2011,34.15612542328193,985.2822066989023,1317.710215716108,25.2428932863089,16.188303099421354,66.21170106658847,1.234467789231418
2012,31.678792684210862,985.4988541553221,1297.6034353339148,25.45400231309587,17.919229338651153,70.36442853793902,1.472205059744935
2013,25.63535333716034,985.4920971990931,1244.6794222142403,26.08511927665461,20.000566422165857,73.87119843749447,1.6658161448229667
2014,23.987188360274263,985.6949589433779,1230.9344732469397,26.457083128328467,21.16598393511536,76.0685711236518,1.6607112679849598
2015,28.288852899369537,986.021420876474,1278.252041100602,26.043362934000893,21.489384194528114,78.70449408596609,1.60321916201419
2016,31.329110494140423,985.9524891977954,1333.7995665025826,25.936105861331754,21.37618813293879,78.08799575708731,1.5510426759692921
2017,32.17395538404119,987.4150548827332,1385.2503878154782,26.527832322117774,21.280819481902352,74.80374599378776,1.421880849722352
2018,33.9814183805139,990.3004738164797,1358.1416015809546,27.126298413024855,21.73262759535395,74.09293517364996,1.1926351607228434
2019,36.963599992571744,991.7489793436052,1319.2035651385638,27.958920997720938,22.407137936004144,73.29748633959763,0.9586364782116054
2020,34.795058449797345,990.9434303626875,1329.2829519153127,29.233325319010806,22.62474566152646,69.06465196535642,0.7901336515957889
2021,31.75786191244248,990.2168091291131,1380.7547152032437,29.63369421110993,22.179791924818346,66.10095383020614,0.5805500848076596
2022,42.54279085228456,990.1751839073746,1380.8355090051975,29.449893309929806,22.06799251187861,66.49156730771108,0.5418322605768865
