Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003,19.93395982118921,1004.0190296298201,1866.636415872322,26.021905399739296,21.58575481175178,77.93602123514749,2.683255095425921
2004,18.614601485711983,1004.1043698434731,6702.130909542951,25.96192617336339,21.385495916434298,77.2492845273991,2.7936074785247995
2005,18.839020291823577,1004.0501887468914,9440.001843269993,25.80266661295781,21.374872852971517,77.86623141385527,2.888840187904679
2006,18.820745771900484,1004.8114616671049,8100.398112493099,26.200729693309032,20.82417691295664,74.04737381296813,3.2019982087312684
2007,16.895711640423773,1005.41372324211,6385.873077101452,26.503097738987353,20.149205772532717,69.96939811174491,3.4445835416530888
2008,19.576626081544127,1004.9034161192197,3110.120149171042,26.070863995397488,20.790009901606798,74.4153304789095,3.0775865638285964
2009,20.738648022441616,1004.5278963007983,1605.5298295199918,25.643878922391078,21.16366007793652,77.67346320144343,2.8153735385737373
2010,19.77015899822524,1004.6129859273478,1475.8220927060122,25.439453242219543,21.03834541245346,77.91606942062413,2.7821397318249006
2011,18.127139633756272,1004.8763307246722,1379.2588831539654,25.362626844070917,20.9225041901948,77.67107886013913,2.776803097818817
2012,17.18481084864371,1005.02217633696,1423.0987133458123,25.34261081924753,20.944144521903834,77.82240643072835,2.740164073652584
2013,17.252371007146543,1005.2294584602181,1468.6836579911442,25.3236831989439,21.009924523468158,78.182214897246,2.678536833915604
2014,16.87429012945779,1005.47810785626,1489.568218559463,25.397458654374798,21.064732368519937,78.09570347450693,2.657238034868611
2015,16.443686824142645,1005.5227328192274,1494.9632054269985,25.491006041931342,21.08074888466434,77.73416277231586,2.6869937828441075
2016,16.926352247062802,1005.4531899120146,1487.7722045928685,25.451019916129095,21.102982859580955,78.00141885486727,2.7054285490301857
2017,17.22883588174418,1005.4125369978018,1488.2722522195215,25.43823997838312,21.210022520019834,78.55547730483478,2.6469767889303992
2018,16.27916505421535,1005.1943759857,1515.3011577687164,25.89061415536698,21.30288855996365,77.06985134481732,2.720041659412551
2019,14.391746280977891,1004.9256595491912,1512.8419851890928,26.41390852509791,21.285963638919238,74.18219438789991,2.888726495450772
2020,14.238471705434012,1004.7841559502375,1488.7457850371454,26.343332971992936,21.178202440424347,74.3842937978784,2.8409337775203833
2021,16.693408107643872,1004.790285974662,1463.1913327776372,25.912167205147853,21.228201855402403,78.25099311383049,2.6872083781905016
2022,19.006080706909838,1004.8409617826296,1460.7971441625953,25.7977018440573,21.25695808488403,78.63855262000864,2.6776401906018212
