Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2008,9.032690792423931,1006.9068109359931,1629.5977706593792,27.482299024508052,18.65720241746037,59.78850576836212,4.111946282925601,2008.0000000004102
2009,22.62569369086125,1004.4225473647716,1570.1667862902116,25.57861263948583,21.30133339459692,78.60808800750401,2.748479077569403,2009.0000000000036
2010,20.73166182911413,1004.4085509964348,1519.2175679101745,25.490238702210803,21.36834795658302,79.0718944746021,2.6970486231057187,2010.0
2011,19.567985893758674,1004.4196449138616,1438.1704883493958,25.147803577453825,21.110914001138052,79.42539164719835,2.6940209758027316,2011.0
2012,15.120728165287389,1005.3665498970123,1068.6823723442474,25.209267867043888,20.569058284755258,76.65287949275195,2.793419223476638,2012.0
2013,17.40594119910913,1005.0342134968452,1514.7892001747953,25.378545817098313,21.064804385421663,78.19360066822979,2.699071225994018,2013.0
2014,16.88379081100066,1005.5140616863919,1502.1732751988332,25.200235544538415,21.047640533696484,78.84956712378846,2.6013385144434014,2014.0
2015,16.550744216122705,1005.6485815278214,1536.0049108213807,25.54995886209483,21.12640942738526,77.73570665774858,2.654390057382711,2015.0
2016,14.84204808815018,1005.6980413746933,1513.1327395116793,25.61537071632813,21.07020206804645,77.09035268136923,2.6905536032163053,2016.0
2017,18.372719312993265,1005.3918999324786,1445.2851271317575,25.412427670543163,21.178134503614903,78.48446247562883,2.750153315634721,2017.0
2018,16.978913998867963,1005.3562133732108,1519.9693582552188,25.349786691641047,21.200092475729225,78.92221646135387,2.6127291215611685,2018.0
2019,15.71987241767404,1005.2715624811663,1500.0936136809653,25.747504529555346,21.441186702237715,78.29719514131828,2.512389824034092,2019.0
2020,6.283683401156733,1004.208303036656,1635.777796502319,28.177960472401093,21.331244089645775,67.14890754710235,3.5191403674877244,2020.0
2021,8.12577097645394,1004.8372554701891,1432.509773363838,25.713566527765945,20.941115761525527,76.0122099567252,2.5848677683792745,2021.0
2022,20.650585626251882,1004.7419709780979,1429.3445962108099,25.364750911819225,21.16089792413381,82.52322655316607,2.4724563148001315,2021.9208440184723
