,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003-1,1.9117129813958393,1009.3968727676016,1038.18506225906,25.66374141455392,22.34261903525318,83.376790627916,0.9910738224241114,2002.738650864159
2003-2,1.9111071114164493,1009.3992851719556,1039.017225980758,25.664347370910995,22.345444676777444,83.38675439451073,0.9911605829429775,2002.7697191446312
2003-3,1.910753687261805,1009.4006924078287,1039.502654818415,25.66470084545262,22.347092967666597,83.39256659169101,0.9912111932456493,2002.78784230824
2003-4,1.9107158203880932,1009.400843183101,1039.5546650510212,25.66473871772494,22.347269570261865,83.39318932710319,0.9912166157780784,2002.7897840757696
2003-5,1.916050493125741,1009.3874993498373,1037.1818457007862,25.65594662518197,22.352710985682045,83.45858059284852,0.9914719951362201,2002.8303443510106
2003-6,1.9215132953586536,1009.3705744381782,1034.3607192184213,25.646569281449622,22.357863996726742,83.52512787972883,0.9921611035061927,2002.8657293904394
2003-7,1.9285764227386422,1009.3480728364043,1030.5875494236982,25.63440451061999,22.36409232061137,83.60935202341872,0.9931124705476858,2002.9067245244455
2003-8,1.9371596052697624,1009.3202790420137,1025.909862282635,25.619577911869616,22.371349697595047,83.7104666313647,0.9943153737289683,2002.9531497712608
2003-9,1.9471825729560701,1009.2874775525044,1020.3751837612498,25.60221508437504,22.379589867936886,83.8276853110132,0.9957590905183087,2003.004825149117
2003-10,1.9585650558016205,1009.2499528653746,1014.0310398255607,25.582441627312807,22.388766571896006,83.96022166981072,0.997432898383976,2003.0615706762464
2003-11,1.9712267838104696,1009.2079894781224,1006.9249564415859,25.56038313985946,22.398833549731524,84.10728931520373,0.999326074794239,2003.1232063708806
2003-12,1.9850874869866726,1009.161871888246,999.1044595753433,25.536165221191542,22.409744541702555,84.26810185463869,1.0014278972173662,2003.1895522512516
2004-1,2.0000668953342853,1009.1118845932434,990.6170751928512,25.50991347048559,22.421453288068218,84.44187289556207,1.0037276431216267,2003.2604283355915
2004-2,2.016084738857363,1009.0583120906128,981.5103292601274,25.48175348691815,22.433913529087626,84.62781604542036,1.0062145899752892,2003.3356546421319
2004-3,2.033060747559962,1009.0014388778525,971.8317477431902,25.451810869665763,22.4470790050199,84.82514491166003,1.0088780152466224,2003.4150511891046
2004-4,2.0509146514461367,1008.9415494524603,961.6288566080578,25.420211217904974,22.460903456124157,85.03307310172754,1.011707196403895,2003.498437994742
2004-5,2.069566180519944,1008.8789283119346,950.949181820748,25.387080130812322,22.475340622659512,85.25081422306936,1.014691410915376,2003.5856350772756
2004-6,2.0889350647854386,1008.8138599537733,939.8402493472792,25.352543207564352,22.490344244885083,85.47758188313198,1.017819936249334,2003.6764624549373
2004-7,2.1089410342466763,1008.7466288754748,928.3495851536691,25.316726047337603,22.505868063059985,85.71258968936185,1.021082049874038,2003.770740145959
2004-8,2.129503818907713,1008.6775195745371,916.5247152059361,25.27975424930862,22.521865817443334,85.95505124920547,1.0244670292577567,2003.868288168573
2004-9,2.150543148772604,1008.6068165484583,904.4131654700981,25.241753412653946,22.53829124829425,86.20418017010928,1.0279641518687586,2003.9689265410107
2004-10,2.171978753845405,1008.5348042947364,892.0624619121734,25.20284913655012,22.55509809587185,86.45919005951977,1.031562695175313,2004.072475281504
2004-11,2.1937303641301713,1008.4617673108697,879.5201304981798,25.163167020173685,22.572240100435245,86.71929452488342,1.035251936645688,2004.1787544082852
2004-12,2.215717709630959,1008.3879900943564,866.8336971941357,25.12283266270119,22.589671002243556,86.98370717364669,1.039021153748153,2004.287583939586
2005-1,2.2378605203518234,1008.3137571426945,854.050687966059,25.081971663309165,22.6073445415559,87.25164161325606,1.0428596239509766,2004.3987838936382
2005-2,2.26007852629682,1008.2393529533822,841.2186287799677,25.040709621174162,22.625214458631394,87.52231145115799,1.0467566247224274,2004.5121742886738
2005-3,2.2822914574700044,1008.1650620239175,828.3850456018802,24.99917213547272,22.643234493729153,87.79493029479896,1.0507014335307745,2004.6275751429246
2005-4,2.3044190438754324,1008.0911688517987,815.5974643978143,24.957484805381384,22.661358387108294,88.06871175162544,1.0546833278442864,2004.7448064746227
2005-5,2.326381015517159,1008.0179579345237,802.9034111337882,24.915773230076688,22.67953987902794,88.3428694290839,1.058691585131232,2004.8636883019997
2005-6,2.3480971023992407,1007.9457137695908,790.3504117758199,24.874163008735184,22.697732709747196,88.61661693462082,1.06271548285988,2004.984040643288
2005-7,2.369487034525733,1007.8747208544983,777.9859922899277,24.83277974053341,22.715890619525187,88.88916787568267,1.0667442984984992,2005.1056835167187
2005-8,2.39047054190069,1007.805263686744,765.8576786421294,24.791749024647913,22.73396734862103,89.15973585971594,1.0707673095153585,2005.2284369405245
2005-9,2.4109673545281693,1007.7376267638261,754.0129967984433,24.751196460255226,22.751916637293835,89.42753449416706,1.0747737933787265,2005.3521209329367
2005-10,2.4308972024122255,1007.6720945832428,742.4994727248875,24.7112476465319,22.76969222580273,89.69177738648253,1.0787530275568722,2005.4765555121876
2005-11,2.4501798155569143,1007.6089516424922,731.36463238748,24.67202818265447,22.787247854406818,89.95167814410881,1.082694289518064,2005.601560696509
2005-12,2.468734923966291,1007.5484824390726,720.6560017522388,24.633663667799482,22.804537263365226,90.20645037449239,1.0865868567305712,2005.7269565041327
2006-1,2.4864822576444117,1007.4909714704819,710.4211067851822,24.59627970114348,22.82151419293707,90.45530768507973,1.0904200066626624,2005.8525629532908
2006-2,2.5033415465953315,1007.4367032342183,700.707473452328,24.560001881863005,22.838132383381463,90.69746368331731,1.094183016782606,2005.978200062215
2006-3,2.5192325208231066,1007.3859622277798,691.5626277196945,24.5249558091346,22.854345574957524,90.93213197665159,1.0978651645586714,2006.103687849137
2006-4,2.534074910331792,1007.3390329486648,683.0340955533,24.491267082134804,22.870107507924367,91.15852617252904,1.101455727459127,2006.228846332289
2006-5,2.547788445125444,1007.2961998943713,675.1694029191622,24.45906130004016,22.885371922541115,91.37585987839616,1.1049439829522416,2006.353495529903
2006-6,2.5602928552081172,1007.2577475623973,668.0160757832992,24.428464062027214,22.900092559066877,91.58334670169938,1.108319208506284,2006.4774554602106
2006-7,2.5715078705838676,1007.2239604502412,661.6216401117294,24.399600967272505,22.914223157760773,91.78020024988521,1.111570681589523,2006.600546141444
2006-8,2.5813532212567507,1007.1951230554009,656.0336218704706,24.37259761495258,22.927717458881922,91.9656341304001,1.1146876796702274,2006.7225875918348
2006-9,2.589748637230823,1007.1715198753745,651.2995470255411,24.347579604243975,22.94052920268944,92.13886195069054,1.117659480216666,2006.8433998296152
2006-10,2.596613848510139,1007.1534354076604,647.4669415429587,24.324672534323234,22.952612129442443,92.29909731820298,1.1204753606971076,2006.9628028730167
2006-11,2.601868585098755,1007.1411541497565,644.5833313887418,24.3040020043669,22.963919979400046,92.44555384038391,1.1231245985798208,2007.0806167402716
2006-12,2.605432577000726,1007.134960599161,642.6962425289083,24.28569361355152,22.974406492821366,92.5774451246798,1.1255964713330746,2007.1966614496116
