Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2008,26.976722122548274,1008.5384387088756,857.5708798090018,24.55653553275862,22.95297179100577,91.24279760166992,1.123815066806505,2008.771085071202
2009,22.074277012804117,1010.17880471535,1249.22640666125,25.467032495959106,22.558189010127894,85.53986084767416,1.0807216036112595,2009.0784742468416
2010,28.533526837553254,1009.8096504915698,1250.7780560056456,25.85148244519959,23.17171633837295,86.52379040966103,0.9722833651450246,2010.0006759621283
2011,11.62800651755419,1009.4827812324585,1128.1339348526494,26.263709416516544,23.60315987661923,85.81836023005614,0.8840678237964038,2011.000005723684
2012,21.63154944060045,1010.1538676803306,1263.0339201719228,25.481009634354418,22.539938599893162,85.45275094694524,1.005990829457717,2012.0000000484597
2013,18.35400297672001,1010.2904703493331,1374.1618706183817,26.2937437681761,23.67088107577888,86.32483617179548,1.1198317424977695,2013.0000000004102
2014,9.301164346769273,1010.6797346782397,1266.1323018142405,25.526742436374775,23.128492281903732,87.17264232486734,1.031883032163439,2014.0000000000036
2015,19.709351967499213,1010.8534695010991,1339.5161349789994,25.92321360051254,23.320717418430075,86.29915058733889,1.0595133534969343,2015.0
2016,26.4923838246117,1010.7060591079215,1245.4348984877352,25.878015199542507,23.26593885795384,86.48199735808144,0.9534972864783745,2016.0
2017,34.33429479917455,1010.2733330367208,1304.2980226476777,26.705859298393932,23.307669804454168,83.64412861942725,0.9893700301844767,2017.0
2018,23.591163565791373,1010.5008510541252,1395.5800320874378,25.153428721336038,23.203938562993798,90.50468639243644,0.8736540249183821,2018.0
2019,29.01239638517285,1010.7323059190772,1082.4851244199174,24.71056071776225,23.48270642840663,93.76145862677181,0.882153353965455,2019.0
2020,31.48693671934734,1010.1777321898077,1050.6977969936006,24.589591761682488,23.024428104507724,92.16480723596426,0.8589979650888324,2020.0
2021,24.21664492035134,1009.5023471729561,1039.2646047926783,25.508981934812482,22.43464396368559,84.61301651738249,0.9723085963808018,2020.9208440184723
