Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003,24.496533458695644,1009.0013116620703,1468.5727973763412,25.9258086631732,21.46422720592179,77.1266192256365,1.1315951803645534,2003.000005723684
2004,25.071290081069144,1008.6790357721861,1428.4712509558185,27.36820833002861,21.20365757022048,69.74442690522628,1.7322127339295783,2004.0000000484597
2005,20.170243038368447,1009.0558612406059,1411.1858977330364,27.51757779340603,21.473105172638828,69.4778089142864,1.7884363854181986,2005.0000000004102
2006,15.100748954618044,1010.7828240270501,1514.1202432630298,27.59295698143998,21.324205359319727,68.74234151946018,1.8389661742975216,2006.0000000000036
2007,16.207328091273162,1008.4168211570378,1557.59733573063,28.15635593855305,31.533859464579635,83.28138271716354,2.1917432033022872,2007.0
2008,13.028343905403926,1007.0259106811862,1119.4419249836285,26.201758479298338,23.280828094435023,79.25899449403194,1.729137416404326,2008.0
2009,20.24798245509045,1008.1772795004222,1357.612919262844,25.874276414238093,21.519349343741098,77.48524673595227,1.2764799685856378,2009.0
2010,22.796377046994838,1007.7980627034844,1467.8401659670517,25.52239068166571,21.29265003140311,78.06217158763046,1.2813655957032108,2010.0
2011,20.793896466991548,1007.7977629429901,1444.2892010678943,25.103015882069844,21.090021424630176,79.04217787818266,1.3371610699052578,2011.0
2012,18.178848644411087,1009.1592056572472,1487.9400693070547,25.481566838856896,20.98359709884043,76.90674375071872,1.6273233471910373,2012.0
2013,22.91275554064197,1008.5867286462849,1422.7777272555459,25.65281488971367,21.70830869424056,79.49038457879071,1.6082300501080067,2013.0
2014,19.598577049162095,1009.4288188559677,1439.6486595787946,25.536781458589015,21.682910089182,79.89028561975844,1.596769805011311,2014.0
2015,14.500039661072716,1009.3845568762705,1412.59225706277,25.901569686421947,21.31432879953296,76.63729099322735,1.563344415144118,2015.0
2016,16.26933608073047,1009.5057534700836,1494.130501030426,26.210663799362276,21.088150383158624,74.17592992666611,1.4878621197235828,2016.0
2017,21.081327973776784,1009.4292851710082,1450.247848174592,25.659142915690705,20.849472655596223,75.48315282865003,1.5487798622415847,2017.0
2018,21.183460439249526,1009.12017613977,1458.5385288609048,25.877409192595902,21.15165170120971,75.93264128110228,1.4199121582556247,2018.0
2019,26.26755561626598,1009.0444587227767,1442.6400426341395,26.194004478711307,21.688234594867094,76.95250501202426,1.3709105839464888,2019.0
2020,25.55216038593422,1008.8562668645545,1363.2541422795687,25.867295597372372,21.841821451463446,79.16907221861949,1.4485551445146463,2020.0
2021,25.548332203897097,1008.7215498447931,1342.0114833655425,25.631871982707064,21.545206149477746,78.79310493593908,1.3368658780902534,2021.0
2022,23.189272598748907,1008.6358219279642,1330.536985236345,25.468138117965353,21.533858208537396,79.45150828240735,1.3135181968656724,2021.9208440184723
