Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003,25.6361715738917,1008.7753251186841,3575.677758827065,26.91884958737675,22.07111193782441,75.7652803622101,2.7322728553613143,2003.167591818271
2004,20.503379821938044,1009.0364731567364,3793.1242243517227,27.183881229165454,21.821309433376015,73.6397386171351,3.0556940994915176,2004.0784742468416
2005,15.597460710810866,1009.464842290934,6719.890782743405,27.207082169829164,21.53709437689365,72.11051786744274,3.059225085115504,2005.0006759621283
2006,7.996816757130867,1011.8969702843984,290.0539275641992,27.289579002893305,20.615895088475085,67.32361835027109,3.2255843821416117,2006.000005723684
2007,16.592405272049245,1008.9083864684854,0.0,26.96136021561161,21.47747113087657,73.03287366665461,2.9386509923141584,2007.0000000484597
2008,22.273895038892473,1007.8238301708694,924.0845997137794,27.01191933598785,21.9122813678257,74.40437486525312,2.5984827825141683,2008.0000000004102
2009,23.65106584364844,1008.938130448368,1407.9012622717362,26.78225551164068,21.816556568768732,75.37907584434313,2.3069486041970637,2009.0000000000036
2010,21.69063285168479,1008.9709476524517,1497.229980391987,27.671674274319567,21.23509368741347,69.47382042095182,2.7712282289823675,2010.0
2011,18.290935963458857,1008.73622965401,1262.814663372713,27.004747320034884,21.62934988261905,73.63356743789299,2.456516725860754,2011.0
2012,17.71417967938535,1009.3763048834977,1377.0373337991944,27.287148236508965,21.292711300090502,70.94852907928144,2.8844549855979333,2012.0
2013,17.1604597026177,1009.2354029026004,1308.9842295136375,27.4330842651641,21.741727300048485,72.26489001417438,2.7987018944822317,2013.0
2014,20.386281802542243,1009.6683662222971,1247.4053807913767,27.24779957529482,21.20796801511318,70.53578804326844,2.6818107431724627,2014.0
2015,19.6394350754729,1009.9664798116343,1291.75892933267,27.33687603702552,21.271562136543633,70.64964556078651,2.7002304251097016,2015.0
2016,14.8935837978918,1009.7624762724882,1395.342712302595,28.04615230538978,21.2949816343022,67.98524940105888,2.2967188139036865,2016.0
2017,21.948987490778247,1009.4186173770851,1205.4855483754814,27.302428763571356,21.38604762764059,71.46450129071954,2.419511166940087,2017.0
2018,25.281311164337396,1009.5842335835405,1244.2241679723513,27.193438852280966,21.400914614293125,71.90145887816934,2.3130089324915137,2018.0
2019,20.773211981601804,1009.8213663820928,1281.0110189398767,27.370303292303543,21.703506607027673,72.26905948558148,2.3216118508485026,2019.0
2020,21.207320890329214,1009.3118995399371,1127.7285297683077,27.27144090716085,21.687171785306855,72.85850198206633,2.3424989703429557,2020.0
2021,19.789643659661472,1009.0734940088854,1240.0918588195057,27.650553844159603,21.563941859670436,70.73058103235154,2.5656829284036333,2021.0
2022,21.51390973529284,1009.0899208368468,1147.566824448133,27.053540102831462,21.41944127657931,72.62841654259684,2.3087791352962497,2021.9208440184723
