Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003,31.72569064305027,952.9359020261892,1393.662097742702,23.52442345675853,15.690980088812893,64.29520783549147,3.6566257537353817,2003.0006759621283
2004,32.36704069745747,952.7492035089689,1418.4624812611316,23.344261938811727,15.459343409692663,65.063049995959,3.6522220060722206,2004.000005723684
2005,28.092159382475216,952.6264610455555,1408.453058911223,23.510795587228586,15.901025119163066,65.64391611395558,3.615590275287618,2005.0000000484597
2006,29.25663723039065,952.7673508046319,1406.1818154553912,23.47302538972671,16.00134191727537,66.3357542341116,3.46198260302255,2006.0000000004102
2007,32.24426683283313,952.7034205431404,1399.4464045899156,23.374766091153116,15.252105633984291,64.52496894018181,3.387765335079951,2007.0000000000036
2008,27.719747352781305,952.5521493056513,1391.2729393481632,23.451176071370124,15.590230800613542,65.3354114854264,3.458877002089876,2008.0
2009,32.35966462353806,952.4122765232931,1366.9607418210546,23.532744446246138,16.985601910117172,69.60453851839483,3.3732628185327242,2009.0
2010,28.61140091169539,952.3995067029847,1414.9429855228238,23.500400465581972,15.656431571085013,65.75426721861693,3.5744821815331935,2010.0
2011,31.784133635663665,952.0905919575389,1464.802344264093,23.286371283212357,14.854536079137254,62.893320100416304,3.0733341243724666,2011.0
2012,37.46169607711797,952.8080394295151,1437.594896390741,23.97778547369565,15.939953201296445,64.6911441892404,3.1540606416678028,2012.0
2013,36.71729600547982,952.9817828108049,1422.4861582676847,23.514231788266187,16.03703505637764,66.44006202690544,3.0997548243002293,2013.0
2014,30.89478507936596,953.1909477674367,1380.9970374980273,23.882114320611265,16.614059429321618,67.31451574933921,3.095444558392243,2014.0
2015,33.685000227147576,953.0660246443223,1351.6443368813893,24.25256299134682,17.208957940717696,68.14158553123343,3.0408143667387306,2015.0
2016,28.43846247998345,953.6178897039626,1370.870077079163,23.58197471406957,16.898331382208507,68.25391355152267,3.0332257939225644,2016.0
2017,28.55178503834965,952.3107178235682,1394.1476463571053,23.932639936159006,16.57256800209374,67.05402166461272,3.1006391882784894,2017.0
2018,22.534560034761807,953.3427597423707,1084.0506176353713,23.78037432885971,16.367607544320744,66.52893693765914,2.8456981657721894,2018.0
2019,24.861000883225884,953.2874990683972,1229.8221437893474,24.509575053743305,16.545767868748708,64.9946060390373,2.829301297526465,2019.0
2020,34.907183177935586,953.021992040497,1440.291737982316,24.49916522544378,15.273847113288598,61.04330911625761,2.7229664489821346,2020.0
2021,28.309238905873663,952.9863157354466,1418.7189612694972,24.49847110119714,15.427297667892816,61.15757017132365,1.0559325625311564,2021.0
2022,42.37642071927026,953.3609024108567,1441.8280344953073,23.823583417334973,15.656136050241054,62.73585838284765,2.321830526316328,2021.9208440184723
