Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2008,20.97726928016656,888.8027204900442,1135.826957096284,18.369019795283986,13.731996652436267,76.93283095317699,2.4637356992176573,2008.0000000000036
2009,19.967799681871153,888.6165239738134,1124.5528201270604,18.791715573908675,15.031590752637252,80.71751599700683,2.27853246936152,2009.0
2010,21.554915660557686,888.7770631711261,1208.4071347892316,18.60471719708713,14.515451717297617,79.43860140865823,2.375410326426836,2010.0
2011,18.208684243089916,888.697153397422,1216.4449319410035,18.210501811172545,14.386097766369284,80.76784975651334,2.7807227095601394,2011.0
2012,20.960561098983703,889.1727912874957,1210.9103018679327,19.18924832305416,15.107756557723,79.94193306662137,2.483677613352719,2012.0
2013,16.933325517160803,889.0458797754305,1177.7437265828728,18.445993818235205,14.590706589056909,80.56095560361639,2.292817438904786,2013.0
2014,19.920954380234818,889.1645433560388,1356.924267455304,18.565124721771863,13.159419831139834,73.45982380822352,2.084319645370481,2014.0
2015,17.825547786842826,889.1035898545769,1276.1944998091346,18.986795421022567,14.13292137373103,75.88289357358913,2.012877849009781,2015.0
2016,21.71825698216751,889.0766838667956,1306.2147976808023,18.8826594895788,14.023926521589596,75.78502271954842,2.0235284220187224,2016.0
2017,18.910826499749334,889.2857447435553,1295.1903221416972,18.217864812931655,13.48235323347545,76.29791821748385,2.025637436257129,2017.0
2018,22.813491571395865,888.9279712989934,1235.425685734057,18.534120651683377,14.21259751353246,78.1247930664043,1.7735470818120804,2018.0
2019,19.428391134283796,889.0922509354956,1228.8744783909729,18.947983445998144,14.269056427330339,76.99927156187015,0.28411132013424384,2019.0
2020,18.446351125656754,888.9323633966345,1177.1717908437179,18.589257696913762,12.653079504108943,72.45209148441812,0.35668218505644705,2020.0
2021,18.864263475232587,888.5537514698872,1128.909780067633,18.29979883055864,1.6727738660494555,34.05216568711318,1.083465311966241,2021.0
2022,22.66048679449346,888.4824895178664,958.7454608062125,17.930485099631092,12.027575673417367,73.90788149416944,1.8271339836456442,2021.9208440184723
