Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003,15.062680275324116,947.7281432409742,1304.3317929420562,22.988616234551873,19.495312727631084,82.3869952837703,4.834560103970183,2003.042099328862
2004,16.954662734666577,946.3624989693121,1045.5988098958246,24.767736348778588,20.099020008049767,77.25243500483153,4.3118951900443685,2004.4060249813203
2005,12.308515866784305,948.2997639214823,1016.537814065306,22.645449328197852,19.301366240077364,83.03210670924192,4.534740724038816,2005.0784742468416
2006,13.185082530927321,948.3852038357649,1370.3756355894386,22.59033713255715,19.178845883949872,82.63651129915765,4.44134098486509,2006.0006759621283
2007,14.115801426184433,948.4912548100295,1217.6735227203349,22.19531267294776,19.07374806351617,83.97965492745645,4.799446772602245,2007.000005723684
2008,15.506654748923527,948.043794855259,1271.2421695246874,22.189210404140805,19.21648426440493,84.72754756393964,5.177698353570629,2008.0000000484597
2009,15.996881707432141,948.212675654663,1310.142397596035,22.483024536706946,19.936220306822896,86.82099174849405,4.0350738038326215,2009.0000000004102
2010,15.213056902834285,948.0822269281952,1360.7109858438623,22.693488101064744,19.87345077847723,85.5706799588388,4.343338105323519,2010.0000000000036
2011,16.077607994106756,948.00151039523,1274.5585368519717,22.116113453376965,19.802423848458524,87.95187806888636,4.3578888728890215,2011.0
2012,12.710623094855578,948.6450425951025,1201.3345253978432,22.240199386559862,19.33815499060881,85.21177370483444,4.408207894920161,2012.0
2013,14.335042346027723,948.4714216810067,1101.5596334950753,22.44304312069205,19.352816764973067,84.23407535962492,4.094948150648979,2013.0
2014,13.977727641058408,948.937019803402,1069.4469805288759,22.213563606751844,18.880719960107708,82.87162317390093,3.9903108334087745,2014.0
2015,12.709761112445388,949.1935265673746,1043.134029062544,22.633072542072657,19.04060930538359,82.30804696892714,4.02385659403215,2015.0
2016,13.490429166369358,949.1829669880914,1087.1660327458815,22.475216405357674,18.87382647348549,82.08184630055631,4.193990904512193,2016.0
2017,13.359404425822092,948.925929850022,1284.5321948949902,22.418319455676023,18.835547320186585,81.73658417983833,4.2006146728828515,2017.0
2018,13.14129843216384,948.9610504218335,999.8740199522907,22.71482260787914,18.878560410952122,80.68354897953834,4.044092510674951,2018.0
2019,15.799273721090465,948.9667702422026,978.2873394874682,22.62736907072326,19.328640361679458,83.36396849980798,3.7495328927079643,2019.0
2020,15.195914805618958,948.7236906494032,828.6152674046836,22.767591922680747,19.274597692749744,82.4609361767602,3.5417296066445663,2020.0
2021,14.385302325528507,948.5598023367565,399.26905527669163,22.753721294806343,19.148905858695187,81.91693539694843,2.852092586216338,2021.0
2022,17.108798943748976,948.4621636497394,264.25116596950653,22.368491454941974,19.28594490905849,84.23463435527468,2.6523240442964986,2021.9208440184723
