Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2004,21.053856725953757,913.2048654431511,1076.2109565171434,19.26799641675037,13.02257746332443,69.53039939973534,2.592037834310586
2005,18.820083086439706,913.0504000865798,1112.9946880515558,18.21114148440182,12.899687647528738,73.57677931740159,2.457739775128623
2006,20.603351936423522,912.9296157736475,1158.1984743493113,18.150521325551544,13.128487062615962,75.01030462331607,2.4121494499951943
2007,21.109322915260854,912.7901451304452,1192.4887121931972,17.94615675264149,13.227676586627462,76.36766242353147,2.331749037137535
2008,17.495623976136844,912.6218879634562,1227.2354397429463,17.993011905156212,13.6511322212082,78.10090155329763,2.2345627366327063
2009,16.616853817836578,912.464593764542,1218.1844348196262,17.94409966746072,13.66708331436704,78.27990545098345,2.1540530994891793
2010,17.909653203891175,912.4811881133159,1194.341209698102,17.697740962550867,13.001176162664906,76.33332086687909,2.0922059248924865
2011,18.651220063500045,912.6290136037193,1182.5666639384726,17.70698763128075,12.629770045321282,74.62758274740392,2.043673370243963
2012,19.304558629357324,912.778524777434,1176.5730473537358,17.87265404642579,12.611871094095116,73.87152208002426,1.9412527848361487
2013,19.23053199854138,912.9144888810033,1170.9243737029385,18.10438758401717,12.719985634016103,73.49122403313613,1.8446374373041052
2014,20.723382058126315,912.9731968864327,1150.5878968286383,18.27498539668353,13.157634863242352,74.60681637821463,1.8514108697227887
2015,22.053915598743142,913.0574977894775,1145.725320525783,18.177472071602566,13.346314226083896,75.17111493170346,1.9059394961482665
2016,22.3150896705111,913.132247868627,1158.5798264426612,18.11491322732414,13.261103144961574,74.04429490543599,1.9333609201094024
2017,21.977709618542242,913.1656594383115,1160.9613598989988,18.280977291607638,13.470406419451907,73.54678414146856,1.889847961490646
2018,21.56983254685756,913.1973706129291,1181.998455625788,18.35013069950728,13.529494850682012,73.35625222580126,1.8297863759382904
2019,21.47915968207974,913.1322654938832,1192.3804069258067,18.270624230327872,13.605488223048829,72.5315978510037,1.8241354730855635
2020,21.933530872539,912.9722119498589,1166.1923983849927,18.118740364142692,13.563806816220557,69.4815769679297,1.7943132107557356
2021,21.975706029648578,912.8726458729421,1140.5444508759897,17.846877853994894,13.396375077071482,68.47371290877632,1.7783039463335026
2022,21.80302829379178,912.8609015336316,1136.860316331219,17.676131051984374,13.33945493288919,70.0380686957951,1.7980730364203954
