,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2004-1,1.5376186295962007,913.0454479041632,1151.7408490203688,18.610064465584166,13.217334675020451,74.89401227406196,2.5149780819340446
2004-2,1.5378521736510724,913.0441495298124,1151.8959139463159,18.607012055742764,13.216297684177922,74.89457797004167,2.5149780819340446
2004-3,1.5379884076830812,913.0433921447745,1151.9863684864517,18.60523148333528,13.215692772853112,74.89490795936315,2.5149780819340446
2004-4,1.5380030041865107,913.0433109963776,1151.9960600443233,18.605040707720192,13.215627960925454,74.89494331536189,2.5149780819340446
2004-5,1.5809193500051162,913.0925464426991,1141.7381120352647,19.57958139106218,13.383378138603852,71.38140810984676,2.639484013228795
2004-6,1.6167657130435955,913.1303227780417,1129.788126109452,20.485088628269352,13.549436079822879,68.15678971094455,2.74789898650683
2004-7,1.6589033090675391,913.180222103432,1115.287962817337,21.497803561965846,13.733151242158241,64.53454405073714,2.865849213282947
2004-8,1.7054762068451585,913.2435578935086,1099.0156909966443,22.530627789264653,13.916385524526556,60.8113187556351,2.981835867330503
2004-9,1.7546284751446655,913.3216436229093,1081.7493794850975,23.496462907278787,14.081000825844438,57.283761452049006,3.084360122422855
2004-10,1.8045041827342712,913.415792766272,1064.2670971204207,24.308210513121253,14.208859045028502,54.248519766389435,3.1619231523333595
2004-11,1.8532473983821873,913.527318798235,1047.3469127403375,24.878772203905044,14.281822080995363,52.00224132506697,3.203026130835373
2004-12,1.8990021908566255,913.6575351934363,1031.7668951825722,25.121049576743175,14.281751832661637,50.84157375449216,3.196170231702254
2005-1,1.9399126289257973,914.0,1018.3051132848484,25.1,14.1,50.0,3.2
2005-2,1.9741227813579143,913.8053897849462,1007.7396358848903,24.254314516129035,14.038306451612902,53.26733870967742,2.9513363607892265
2005-3,1.999776716921188,914.0627740442054,1000.8485318204215,22.78764784946237,13.785285618279568,58.322894265232975,2.703110858190423
2005-4,2.01501850438383,914.4965298045743,998.4098699291661,21.17938172043011,13.103171562980032,62.122433435739886,2.507076226155791
2005-5,2.148914393736958,914.6512855984687,1014.7721256704616,19.371203917050696,12.385066655694535,66.73535403408677,2.23781871733822
2005-6,1.8465081658530234,915.0051232492484,1006.7527459520368,17.70055473264575,11.709662711474758,70.89558254177248,2.1607994125709626
2005-7,1.9611974313897385,914.6343741547892,999.2432414582804,17.184894039197783,11.692367297503711,73.01135016352373,2.307176056382709
2005-8,1.9872051533974608,913.7925933331741,1065.363159763291,17.111747962293173,11.943066075453148,74.49795828422104,2.4851241863661735
2005-9,1.8388503055737881,913.0003857591764,1048.9255737151566,16.365629446482956,11.655623980272734,75.86861449814191,2.4478647944957075
2005-10,1.9030505780721885,912.277149451071,1097.8156682119952,17.22347742147557,12.431197812323239,75.15186509508355,2.6415792327669085
2005-11,1.8642765092608595,911.8823012520687,1180.722403239512,17.746493867132276,12.774397884582102,73.94750745544174,2.6782661241490997
2005-12,1.5015793737967869,911.7196650722705,1130.1353056949956,18.344767179958403,13.469579203619828,73.98555830018553,2.6084040817806207
2006-1,1.236927376644303,911.8897412105654,1118.1861868098258,19.239522862852557,14.362292836194895,74.31275954508901,2.704702927332601
2006-2,0.9969624954109833,912.3089267460999,1100.647235093582,18.44453204264988,13.649953108422336,74.85292956636475,2.519250551901894
2006-3,0.7906788457312226,913.0402105468345,1068.298901466307,17.61379543280319,12.96400068008205,75.75925970919502,2.3571094384062614
2006-4,0.7726975912250944,913.7666292228434,1069.1847518920656,16.765887693517616,11.888122900868593,75.16748332385423,2.223880690339118
2006-5,0.8739155399430437,914.2926549451623,1050.2141210466307,16.15662431241312,10.933581360130601,74.04226377636279,2.198330593907112
2006-6,1.197848749590539,914.4123682925963,1063.113942265441,16.01589274214376,10.571456952668543,73.41780102397642,2.2860223920225526
2006-7,1.310623484467467,913.9806034493129,1099.606864586895,16.186923284543155,10.658976307533692,73.24516688512543,2.3142932389549364
2006-8,1.3379234938656286,913.3557471688135,1115.1669977256715,16.535902831340966,11.215270137774123,74.12260478251133,2.410023897461753
2006-9,1.316380674096327,912.7501386078299,1139.519019122268,17.320413817915913,12.40120071583994,75.66480403530981,2.4950565045747815
2006-10,1.1078183906110552,911.8937883354029,1156.5231606280863,18.3744922255659,13.767549159221826,76.91995705126578,2.4738982953592528
2006-11,1.0775649591238976,911.5106262190642,1195.6017495341553,19.22500130623428,14.67802404433242,77.19889761482897,2.4926485870465926
2006-12,1.3862296386057058,911.4216051642869,1250.0630249905778,20.14240803920675,15.4510704293451,76.73362531591275,2.4200630332289634
2007-1,1.6516091610081445,911.6558683717889,1235.9408052930485,20.31099169908394,15.702447426307689,77.08706291821086,2.3139979776706006
2007-2,1.899369471202898,912.3969017815313,1201.5788530968518,19.854556590619698,15.221459446224973,76.8993049006947,2.292574412223998
2007-3,1.8340320205475176,913.0924538699317,1155.4779989800277,19.527820371956345,14.595987858991899,75.49507435541076,2.3599754271415994
2007-4,1.6541462463791408,913.6071738079116,1074.9800733564448,18.13097835497587,13.208712238342361,75.27819994784288,2.415369978038489
2007-5,1.4069372585749973,914.158949840517,1060.1815675277492,17.24110701703109,12.017504996948443,73.99396529923426,2.4925325039486994
