,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003-1,2.0968261934985444,1012.2394577920581,1768.569550059296,25.820814057377632,20.73042291907621,73.5477648613584,2.4080086198423487
2003-2,2.0967878403449784,1012.2404190791187,1767.6618137226362,25.82077740374079,20.733369477241496,73.56453564458111,2.4080086198423487
2003-3,2.096739898903021,1012.240979829904,1767.1323008595846,25.820756022452635,20.735088302837916,73.57431860146103,2.4080086198423487
2003-4,2.096679972100574,1012.2410399103452,1767.0755673385434,25.820753731600327,20.735272462723245,73.57536677541245,2.4080086198423487
2003-5,2.0767404558095484,1012.1206483204963,1783.0691926536738,25.939426733311013,20.766985885898354,73.23315725627003,2.418925026409711
2003-6,2.0598783444624074,1011.988947228657,1798.7292164266212,26.06591724266301,20.80837625644604,72.90168811097676,2.427449412233568
2003-7,2.040013712851267,1011.8261990930285,1817.7452183446833,26.221830563143147,20.8609382969873,72.50045320315535,2.4369978592046784
2003-8,2.0180018291353528,1011.6385844026715,1839.3110864820426,26.401382414460404,20.923120704381112,72.04668155968484,2.4469419650015336
2003-9,1.9946979614738907,1011.4322836466466,1862.6207089128823,26.598788516323737,20.993372175486442,71.55760220744436,2.456653327302626
2003-10,1.9709573780261067,1011.2134773140144,1886.8679737113853,26.808264588442118,21.07014140716227,71.05044417331295,2.465503543786447
2003-11,1.947635346951226,1010.9883458938357,1911.2467689517348,27.02402635052451,21.15187709626757,70.54243648416971,2.4728642121314874
2003-12,1.9255871364084747,1010.7630698751709,1934.950982708113,27.240289522279884,21.237027939661303,70.0508081668937,2.4781069300162395
2004-1,1.9056680145570781,1010.5438297470807,1957.1745030547038,27.451269823417206,21.324042634202456,69.59278824836403,2.4806032951191948
2004-2,1.8887332495562625,1010.3368059986259,1977.1112180656896,27.651182973645447,21.411369876749994,69.18560575545976,2.4797249051188444
2004-3,1.875638109565253,1010.1481791188671,1993.9550158152535,27.834244692673565,21.497458364162892,68.84648971505997,2.47484335769368
2004-4,1.867237862743276,1009.9841295968648,2006.8997843775783,27.994670700210534,21.580756793300125,68.59266915404376,2.465330250522194
