,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2001-1,2.8820982999584426,1007.7384049379161,1264.155491181699,24.57230022721454,19.703538066436252,75.91068068356375,1.7292733934971836
2001-2,2.4582849931064072,1008.7100157327717,1123.4377018539099,22.642308660695463,18.413179907043464,78.34720819779525,1.6444320483569768
2001-3,2.2777839037817884,1009.9364262784715,1012.2039397009395,21.05090754932499,17.033860345885667,79.13627312932341,1.58855634159279
2001-4,2.143524591378644,1010.7260480142625,940.5346540247428,19.667593417220534,15.755058502567694,79.3923215164202,1.5740114107172138
2001-5,1.807771070927325,1011.8005650615233,904.6177277082028,18.640450521681196,14.63176092278309,78.90599102096037,1.5430123230594508
2001-6,1.8114625003730287,1012.3515148587063,922.336537525689,18.1935581455978,14.004141867864657,78.04853494073,1.650963589374135
2001-7,1.9114651383547836,1011.8674053731302,986.4598187758136,18.509800361789747,13.966892959962676,76.56827403809157,1.741789407659536
2001-8,1.8981331543070543,1011.2076040818472,1086.6605292724742,19.242728606815252,14.354125711428727,75.2389490271066,1.8537882868950242
2001-9,2.117001207034771,1009.8983754011867,1186.9882300525278,19.892420406995686,14.799899406273651,74.39058511707832,2.0033211818822876
2001-10,2.1454698459122907,1008.6460029441217,1284.3828187822248,21.133070404911717,15.632549228708935,72.89605145051466,1.9935760555688078
2001-11,2.0610526720026594,1008.0655970753959,1373.030400662145,21.863209555794406,16.117101849611682,71.95577590640393,1.9737917227377646
2001-12,2.014588531935103,1007.5689643540442,1382.3574746978472,22.832883517527733,17.01348739367366,71.75679885792671,1.9279644805975311
2002-1,1.899555901922343,1007.7015073675346,1339.2615579053274,22.982719981474705,17.24294693590848,72.06457065577447,1.8693613759337073
2002-2,1.875310689703139,1008.3379623965321,1253.9370590188441,22.46618206576097,17.042186978949275,73.31380323809269,1.7521576563391388
2002-3,1.8516466932389963,1009.4202826549937,1106.1604513730306,21.310952125291344,16.25605348410408,74.64869787391218,1.677071433418247
2002-4,1.8182672468946552,1010.7469446780173,994.0246163345677,19.443847775094746,14.741075406392909,75.87214216498231,1.6037751724540787
2002-5,1.7553389775569441,1011.5648862152036,930.4048486726766,18.341483206825412,13.801768906528677,76.53869759947743,1.516321917451101
2002-6,1.8088781836636525,1012.1059996601135,922.1217357900908,17.22299520099181,12.712484351508019,76.52021572637264,1.5528959945633571
2002-7,1.6844891559201005,1011.5123494492474,939.4031275984418,17.454784244768273,13.054271862455638,77.11708050790695,1.58587081186212
2002-8,1.5602685649882149,1010.5743629188701,1021.4995878178695,18.329988430656098,13.598884605026813,75.93381133108973,1.6988570808814967
2002-9,1.5132568059021811,1009.7264175785338,1087.5500878274834,19.289617441126527,14.355740227085688,75.06696505926166,1.7628655604498942
2002-10,1.770908931476427,1008.549236497755,1189.62439247028,20.91644065157076,15.675872530867647,73.99231673047316,1.8021722086231375
2002-11,2.030846617333474,1007.9382172622007,1305.166246642997,22.103215642426246,16.46732616761029,72.45626588142568,1.7732101769776307
2002-12,2.3134467945836255,1007.8288091653186,1359.219688031766,22.811184993211636,17.24290134475355,72.71517643930775,1.6863659700195262
2003-1,2.335963627795696,1008.0417782527293,1362.0961010126232,22.905298906182317,17.235206747635953,72.39110627803427,1.6624587704649574
2003-2,2.0259768121248674,1008.7724312991388,1279.4831095458833,22.138294401848793,16.659272542043713,72.9917206066413,1.632484346887829
2003-3,1.829198176357737,1009.7189006513544,1152.8495144605197,20.909948935507796,15.838092970817646,74.54019543133198,1.6155403790972225
2003-4,1.6867953125295467,1010.8898353797742,1019.807364055436,19.370371434176832,14.523609977306068,75.36523654693606,1.5763709782434987
2003-5,1.6855694167107251,1012.0108493651533,969.3297345544179,17.963807486563148,13.249923981954282,75.73212970875049,1.5583590125344422
2003-6,1.5420024454360275,1012.7537746162634,966.6361231610792,17.144517625137293,12.49085165821391,75.99116024612299,1.5567676949284024
2003-7,1.6358645937658964,1013.0286538846759,1055.2116847313357,17.00746676205825,12.028475339106667,74.66471397542492,1.6073398511582535
2003-8,1.650527552309865,1012.0852701739068,1176.8940726805401,17.71833925129477,12.260164694427898,72.76187434539338,1.6977259574271817
2003-9,1.806193294324722,1010.7526989530373,1269.3881981089962,18.905718597101277,13.176883029696787,71.80961436260962,1.7945844457144704
2003-10,2.1655221457532656,1009.4193345213732,1370.2481049197374,20.370810159404375,14.34136280575604,70.7263699686003,1.8545852129798637
2003-11,2.274046318181696,1008.5430412551607,1439.222295521012,21.40055946512197,15.15654045009914,69.89157528739865,1.8636231382318835
2003-12,2.150739475211005,1008.4675045842287,1456.1630336825904,22.08201047109114,15.8639972912831,70.04697035284642,1.899891859913661
2004-1,1.9964040201665951,1008.6289991546855,1430.679200950067,22.37731119195298,16.28825382174013,70.5520765081337,1.8639465929200993
2004-2,1.6704869183254156,1009.6041797397822,1340.754089709068,21.503287913960694,15.720682185006677,71.66120201992571,1.8142758683954325
2004-3,1.4791525918058215,1010.5796252895833,1197.094645782143,20.414688912946414,15.072999367716509,73.4083989696737,1.7320408451730385
2004-4,1.5094297701455035,1011.6981578941884,1082.6388406051844,18.86301125563849,13.879344902445093,74.66817295026499,1.6200052931440407
2004-5,1.4111715439520147,1012.9156033183162,1019.6828657143875,17.4619351894676,12.696809718889886,75.42458150497806,1.5053565488339946
2004-6,1.4562013204020734,1013.092340544845,981.7067446241915,17.173946564207192,12.466353155629989,75.79749580417398,1.4913650664184086
2004-7,1.4222727823467831,1012.8122864901692,1071.500505391203,17.107968138555254,12.127259815552089,74.59745190597918,1.5458742613633434
2004-8,1.3840004478033696,1011.8421168809929,1156.7847931829892,17.84473169223358,12.729413942923747,74.1516666159865,1.5650079362907299
2004-9,1.451346932814717,1010.627375346936,1264.7780315514342,18.979447628880642,13.53164273376115,72.91644221556218,1.7170107458659618
2004-10,1.3977010679212845,1009.3807485342292,1413.135343337823,20.269380640679874,14.235402740058431,70.70605680787008,1.7563179755463847
2004-11,1.268785878416826,1008.5393452076289,1430.9607761024033,21.543245335409544,15.354451959688367,70.31353882260147,1.8147213484744427
2004-12,1.5221679240600174,1008.246649907133,1454.1322411523338,22.480645005888853,16.014284579594836,69.45149317265042,1.8684723300408816
2005-1,1.4917503270160644,1008.3800693783542,1380.8645683625655,22.56332054003391,16.370635168426173,70.68682239283865,1.7596130274217334
2005-2,1.559412280541664,1008.9363183622307,1248.6927961890217,21.867168713059904,16.257360000742917,72.91247323677426,1.6492926584884116
2005-3,1.5682316335062765,1009.7296345385118,1131.3174939210992,21.028648980161883,15.903678212957061,74.83838393539759,1.4903233955198856
2005-4,1.2275966670591318,1010.9794503153447,1017.9303881878062,19.58468103793054,14.860870775019558,76.19674544221093,1.3700386782995282
2005-5,1.3018961789834957,1011.5761824742901,953.9565194262478,18.70350954735868,14.052335244676268,76.38921204783041,1.3560089837756697
2005-6,1.2313731411540476,1012.5214587606517,944.80355716499,17.81497893689752,13.204689298981133,76.37732847296336,1.4379691628617652
2005-7,1.3991624891853593,1012.5556060125601,975.6245355585154,17.452707973215617,12.763193634874998,75.94491194760793,1.5501402043816748
2005-8,1.6271085868709696,1011.7086016933196,1084.8170127784413,18.15538181599316,13.064613541633662,74.54637172999696,1.657527019935652
2005-9,1.700853925537628,1010.9610728720747,1213.9874202444369,18.93706249338641,13.414034634747392,72.7779244956521,1.7587807486036682
2005-10,1.8880809937165726,1009.6862712013565,1308.2943544521117,20.513768554451644,14.65812153883279,71.69077525874998,1.7513368455939353
2005-11,1.8867020045679728,1008.7013627995366,1404.0659576758512,21.7186989090456,15.531928923729984,70.45076212303645,1.7649195098311934
2005-12,1.8604227232251485,1008.1357949416945,1405.9594607233364,22.458857239287088,16.401546046927567,70.84258235839643,1.7350856028577457
2006-1,1.7422505238164532,1008.134348747339,1356.366245396767,22.582726982813092,16.787221640372657,71.8094068815432,1.6229585825489323
2006-2,1.5592289320481214,1009.0728317915424,1275.9977064175607,21.46156820222571,15.985724035830739,72.81080126083624,1.593520520393502
2006-3,1.474407848859011,1010.2912318402871,1159.462593945649,20.210781247509946,15.12683663121021,74.17693922156501,1.5004968268910652
2006-4,1.2948864495731456,1011.3726152989185,1034.33939093565,18.92976770336974,14.236709172436454,75.60882507144932,1.420987600831309
2006-5,1.27744788434511,1012.1484688539061,972.624751934157,17.669130215420587,13.151077206970914,76.21878099822034,1.4190889685224424
