Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003,17.41447143804955,1009.988935455032,1118.8185864686886,26.8698691483939,18.03674530887554,66.7775121004663,0.9596330762694748
2004,18.346431307150212,1010.6714571580889,1103.2757799044743,25.953790861030658,17.373588823907895,70.09895956913783,0.962531162447723
2005,18.93901330624503,1011.8252608719048,1150.0012131427607,24.74142173491873,16.298207016437615,73.38682182188079,0.9498195422852508
2006,22.899961077814368,1012.2555147218719,1154.3738267294577,24.04784668268015,18.160849831780975,75.52391997773073,0.9454895306018432
2007,31.018587172059068,1012.2855294781448,1110.6947903713794,23.335064817113647,18.679513829581257,78.85820334442901,0.8695224647237795
2008,36.69798356950655,1012.2032956845696,1103.6195451038952,23.145597651367677,19.041312546096076,80.7335960403553,0.8191934253581036
2009,32.933439623670616,1012.1499267052853,1113.1350704037989,23.101387185195435,19.16054112422526,81.19578996799997,0.8735946159665978
2010,29.177236182478552,1012.4273229353345,1141.349974131353,22.850127972801413,18.95242124001522,81.28106660588536,0.9134592325207699
2011,25.15361048028796,1012.7334622870002,1164.7246342213443,22.787473181365126,18.939670431496733,81.492721441235,0.8749156806797626
2012,23.69597857249301,1012.9121527145811,1180.0759946806259,22.961435823360148,18.924341346211985,80.81175975607513,0.8267345524445155
2013,22.343427350549483,1012.8536346861337,1205.657981928591,23.167186846316003,18.78669522747236,79.47307441456137,0.8075959906767661
2014,22.04910779533466,1012.7879536187342,1202.4706022123805,23.235370962253402,18.867735190204296,79.53962481137339,0.7908968402019125
2015,23.113331172546854,1013.0014246613831,1202.5529636433946,22.94740793870061,18.81249715535559,80.52641082706172,0.7791734263076857
2016,23.95698237481952,1013.1675002730796,1208.4488320982946,22.622476218349743,18.570007076338282,80.75066734186684,0.7631910175979884
2017,24.00203242267481,1013.1864008364864,1206.3814672660983,22.689505071036525,18.282287038707732,78.79640139693862,0.7386099393494568
2018,24.17477784122739,1013.1857722750123,1191.2858556160024,22.749476725694354,17.99215568420487,76.11374836817258,0.7202018830874429
2019,23.938437604084992,1013.1381316520525,1179.559167889792,22.757693121782527,18.09858497367665,74.72627403115833,0.6957270520778202
2020,23.604412168787004,1012.9967574035414,1165.0384492327298,22.784244829410373,18.51771268229121,76.32315289148747,0.6722471352758607
2021,22.835402345197323,1012.9725467197874,1133.0440490816975,22.590680975708096,18.71075083953068,79.32872584204377,0.6598912209101938
2022,22.76927901922954,1013.0043231940293,1119.6469583852045,22.508433179387012,18.718367608534404,80.04706056336434,0.6616780287174825
