,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003-1,3.1131333145472313,1012.8948251371514,1234.0431452831642,25.91531483721802,21.946910015367234,80.53538273802384,1.309704366550683
2003-2,3.111749406307772,1012.8274280002618,1234.3144751415075,25.916209507737044,21.946940739822036,80.53281918879617,1.3101423860552663
2003-3,3.1109421265014214,1012.7881130037426,1234.4727508922076,25.916731398873146,21.946958662420673,80.53132378508002,1.3103978974329398
2003-4,3.110855632236455,1012.7839006826871,1234.489709008354,25.916787315780585,21.9469605826991,80.5311635632533,1.3104252736519761
2003-5,3.115569097777523,1012.6546203922921,1232.9411049282025,25.920755813575983,21.97524010616854,80.62905704216867,1.3049688288967274
2003-6,3.1197420203852806,1012.532417878885,1230.8067483942443,25.92356049879014,22.009405299260123,80.75339967944107,1.298715322299947
2003-7,3.125088058470054,1012.3849935610245,1227.9583283656186,25.9267857553626,22.0539028038468,80.91670641954329,1.2905930543329762
2003-8,3.131524575149336,1012.2135513737617,1224.4379755079806,25.9303792149419,22.108115187904833,81.11676951153709,1.2807273541773576
2003-9,3.138968933540619,1012.0192952521476,1220.2878204869855,25.93428850917657,22.17142501941051,81.35138120448418,1.2692435510146347
2003-10,3.1473384967613947,1011.8034291312333,1215.5499939682888,25.938461269715134,22.243214866340107,81.61833374744634,1.2562669740263506
2003-11,3.156550627929157,1011.5671569460701,1210.266626617546,25.942845128206116,22.322867296669898,81.91541938948531,1.2419229523940483
2003-12,3.166522690161397,1011.3116826317091,1204.4798491004121,25.947387716298046,22.409764878376166,82.24043037966284,1.2263368152992713
2004-1,3.177172046575608,1011.0382101232012,1198.2317920825428,25.952036665639454,22.503290179435187,82.59115896704067,1.2096338919235625
2004-2,3.188416060289282,1010.7479433555978,1191.564586229593,25.956739607878866,22.602825767823234,82.96539740068053,1.1919395114484652
2004-3,3.2001720944199117,1010.4420862639498,1184.5203622072183,25.96144417466481,22.70775421151659,83.36093792964421,1.1733790030555225
2004-4,3.21235751208499,1010.1218427833086,1177.1412506810739,25.966097997645807,22.817458078491534,83.77557280299342,1.1540776959262775
2004-5,3.2248896764020083,1009.788416848725,1169.4693823168152,25.970648708470396,22.931319936724343,84.20709426978992,1.1341609192422735
2004-6,3.2376859504884594,1009.4430123952502,1161.5468877800974,25.975043938787095,23.04872235419129,84.65329457909546,1.1137540021850536
2004-7,3.2506636974618366,1009.0868333579353,1153.4158977365762,25.979231320244438,23.16904789886866,85.11196597997179,1.092982273936161
2004-8,3.2637402804396314,1008.7210836718317,1145.1185428519066,25.983158484490946,23.291679138732725,85.58090072148065,1.071971063677139
2004-9,3.2768330625393367,1008.3469672719903,1136.696953791744,25.986773063175153,23.415998641759767,86.05789105268377,1.0508457005895304
2004-10,3.289859406878445,1007.9656880934621,1128.1932612217436,25.990022687945583,23.54138897592606,86.54072922264294,1.0297315138548786
2004-11,3.3027366765744484,1007.5784500712983,1119.649595807561,25.992854990450766,23.667232709207884,87.02720748041988,1.008753832654727
