Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2008,36.64562057196417,1000.6628490275951,1257.613003367859,26.13296146042687,22.070496396087986,80.67083775960707,1.3214467507564005
2009,33.687787199433934,1000.5393251069804,1336.3326452999515,26.38950797346834,21.933676249625282,79.0311782327626,1.2505816737336255
2010,31.961435522496394,1000.5521760902334,1343.3779442354935,26.284965896524756,21.81289535187072,78.85853641455714,1.335343575896049
2011,31.660272586182998,998.6791315252794,1315.7815288964678,26.12646859341989,21.89203453355771,79.74979502649468,1.4139191395359745
2012,31.70792694203891,990.5330262757983,1324.0176972212644,26.09128218890179,21.92498539836751,80.00478106204358,1.485511649666105
2013,32.529574142954914,985.8213962202291,1303.040621993125,26.29315588651637,22.172971869053992,80.05689350951104,1.4964239392471281
2014,32.95842318386119,988.9721512970506,1308.9253538251514,26.593333759104983,22.311497364820088,79.43597970201718,1.3996117024963528
2015,32.784964443684785,991.7490823900199,1330.3027215504203,26.651522908922534,22.114977201997302,78.57241241651843,1.3767238996174924
2016,33.48276329541208,993.8305830938003,1336.5627159033331,26.64476832153484,21.87554439965047,77.7214834100178,1.4146327617880308
2017,34.44266158386443,996.2537100590544,1335.1780101438114,26.64279247094636,21.750098372759386,77.15960400911378,1.3675768037185774
2018,32.80744764778183,998.0488445786162,1333.0446879877925,26.52128269710254,21.691744389693877,77.22015085265136,1.2080700535927449
2019,30.097925125358245,998.3477464313302,1337.7633652791908,26.458190982714502,21.640036867262385,77.14769178011181,1.1128224771433628
2020,35.181366141034914,998.6859663717545,1368.8986038196551,26.358284526812685,21.795966535533125,78.63118202598207,1.3476471106056447
2021,38.44290699965808,1000.1029980394842,1414.7859805964545,26.26926197802797,21.889114350677062,81.413139726859,1.7377764586086073
2022,35.27878660806901,1000.754751154524,1389.0744876384824,26.56643006976462,21.345942387425215,81.66189507542273,1.679473397281372
