Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003,37.273096177655134,978.022163365374,1338.6332407991097,26.574085091555464,20.873482888806773,73.56697471788459,1.7035152137906733
2004,37.86979449635695,978.2534586638595,1356.9472519288504,26.77629396394289,20.212571661076826,70.53691362007378,1.7279047829659973
2005,42.03422909307241,978.6715279907661,1354.2596244294941,27.05116212895719,18.466763649380052,63.5451568919573,1.798403273924993
2006,41.80834386074234,978.6653856198927,1351.9417926452468,27.070897564400443,18.0882078654778,62.421523332634536,1.7958790739498596
2007,38.62369010507877,978.583424163637,1343.6156723684994,27.07999886416246,17.974502556890872,62.162530460803204,1.7434395651051648
2008,36.931770164043805,978.5902524860171,1332.7480875892015,27.104354282245108,18.239152479811544,62.9055663941926,1.6895086516554094
2009,36.784008985404675,978.4777997660461,1329.7195781973542,27.15493130762954,18.216833335433474,62.74773838179076,1.6985416052798887
2010,34.37569306043372,978.4291686194803,1327.7236441590833,27.09268049296499,17.939090060196918,62.25580044172347,1.6896392320916782
2011,31.444497314025952,978.5657742767235,1339.2762437557967,27.20030006400236,17.907415579591493,61.76320005524582,1.630486687635133
2012,31.91890325844613,978.6718870790183,1341.122646370877,27.263714106178014,18.111212766495427,62.12583332531991,1.5424507112903967
2013,34.865056317440505,978.8300383655702,1337.750912470707,27.2116110060571,18.470944382062914,63.51520236397692,1.4740613499155062
2014,45.72565769807504,978.9882838500203,1363.50987100632,27.573990708338883,18.56828328721269,62.92823499235369,1.5109661273264796
2015,48.16219476038482,978.9838167714312,1381.824522150497,27.799695689359325,18.47201427289909,62.07097519296707,1.5314155240400582
2016,40.54252665521888,978.9577802679783,1390.6988437366924,27.680478986470956,18.34546089712195,62.0957443225275,1.5113357063801443
2017,37.98429292703079,979.0360088775955,1384.228910413698,27.536423651426574,18.412474192181108,62.734719594438026,1.476662239113976
2018,36.01221964922058,979.1172881154188,1377.6913824915694,27.54647768871324,18.670132640378906,63.33570980232139,1.4300614888501733
2019,33.81314978237496,978.9972503866026,1382.2787474493819,27.624885032085526,18.623403598607343,62.76541963923089,1.3779120361098922
2020,31.98790037816552,978.8640721646233,1376.8953120476333,27.617261893079114,18.45790698393133,62.02355017215728,1.2513043323451098
2021,30.25969036660007,978.9244090908925,1372.5115301369485,27.712743422747582,18.22343960981073,60.92706883034064,1.2227373345465038
2022,29.769218978289146,979.0061975033655,1375.9160344951745,27.794395129907574,18.022129616234228,60.17660541474162,1.2678414639812574
