,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2003-1,3.576409691876861,978.5318013959225,1343.3713966461248,26.858970926151144,18.47016825775394,64.2747347824824,1.9222794986995964
2003-2,3.573972437650795,978.5321525597848,1343.394931051338,26.860533503077654,18.468827498877737,64.26660938249347,1.9221835013081017
2003-3,3.5725507060189234,978.532357405371,1343.4086594543792,26.861445006284782,18.468045389533287,64.26186956583325,1.922063504568733
2003-4,3.5723983776297943,978.5323793531124,1343.410130354705,26.86154266734269,18.467961592103524,64.26136172833395,1.9219135086445225
2003-5,3.5762383804446074,978.4398505320174,1339.4932786954007,26.83833846199726,18.686478891973724,65.14566791877937,1.8975541580371533
2003-6,3.5746317711468256,978.3445439418934,1334.8336418140138,26.81309755402149,18.927367142136063,66.11107610092179,1.8713294756961119
2003-7,3.571187034218188,978.2283022724106,1329.0798980025154,26.78171896454663,19.225825158214676,67.30537285587839,1.8390491491979801
2003-8,3.5655351266861683,978.0958796025595,1322.487622796507,26.74536417269059,19.570844029022876,68.68409533754212,1.8019398371800543
2003-9,3.557307005578241,977.9520300113312,1315.3123917315888,26.705194657571276,19.95141484337398,70.20278069980594,1.7612281982796305
2003-10,3.54613362792188,977.8015075777164,1307.8097803433625,26.662371898306606,20.356528690081294,71.81696609656285,1.7181408911340055
2003-11,3.5316459507445592,977.649066380706,1300.2353641674288,26.618057374014487,20.77517665795814,73.4821886817058,1.6739045743804752
2003-12,3.5134749310737523,977.499460499291,1292.8447187393888,26.573412563812827,21.196349835817834,75.15398560912777,1.6297459066563362
2004-1,3.491251525936933,977.357444012462,1285.8934195948436,26.52959894681954,21.609039312473687,76.78789403272174,1.5868915465988844
2004-2,3.464606692361577,977.22777099921,1279.637042269394,26.48777800215253,22.00223617673901,78.33945110638065,1.546568152845417
