Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2008,35.540552236221245,978.46030224403,1333.3406915529943,27.03531602283717,17.56437026148383,61.27836769293665,1.6530105316389927,2008.0000000484597
2009,32.87382218421043,978.6934164527325,1289.0811544155465,26.785552853823017,19.126134321910385,66.50836441356357,1.5265585613748491,2009.0000000004102
2010,36.73464518006405,978.3142084859523,1348.5284136127345,27.61346727743775,17.858545823018336,60.37369153922853,1.818284080739013,2010.0000000000036
2011,29.58721255943923,978.3323395739612,1317.6958586263866,26.805028179815427,17.749250877852567,62.75351039767232,1.6820621784049354,2011.0
2012,28.080919444456313,978.7752068079109,1355.3568648929581,27.396940130784262,17.598797465944596,60.25228247942312,1.5855300930742893,2012.0
2013,31.715855942727813,978.648545252332,1335.2089281018805,27.352707369775896,18.41954766954022,62.50091410564401,1.422520655080885,2013.0
2014,36.760747931228906,979.0561929281331,1348.4544829358445,27.045839372953935,18.91915372162695,65.4858066731168,1.3720002023407467,2014.0
2015,56.10168012956778,979.1332183580872,1360.2318332723173,27.905141934283083,18.712208486257556,62.77051869029819,1.5573296690976755,2015.0
2016,48.376084408390696,979.0203557319231,1417.8311393458464,28.186288110014164,18.472264540978248,60.86537734286977,1.5329107852821062,2016.0
2017,35.71004528594122,978.9016540923577,1410.7266057375948,27.65351397192922,17.943348338245354,61.1993537137366,1.5887580698748407,2017.0
2018,33.606601015422164,979.1033919400119,1367.3854535609028,27.202246994634738,18.62560989529316,64.21228412670233,1.3347924726603562,2018.0
2019,34.03513148611218,979.2473467489673,1366.2653264212804,27.598003825366472,18.909435917141685,63.90893088949258,1.4431900735210421,2019.0
2020,34.60539068780695,978.8994460461512,1411.0366286684223,27.809023698003838,18.59528611761409,61.917462596209454,1.3759039761561083,2020.0
2021,29.362160934400883,978.7342457589258,1356.3781846251852,27.37265510476516,18.57999158641473,62.659165746111945,1.0081047755741153,2021.0
2022,28.013061879393995,979.0832368771453,1358.8859485575124,27.960697822393325,17.626770048249305,58.52369169411258,1.2579364276429137,2021.9208440184723
