,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2003-1,7285706.872941417,413409.25503188214,9.31841697787915,6587220.475573105
2003-2,7294880.829876093,413607.84356044675,9.319989882660902,6590337.579387951
2003-3,7304054.78681077,413806.43208901136,9.321562787442655,6593454.683202797
2003-4,7313228.743745446,414005.02061757597,9.323135692224406,6596571.787017643
2003-5,7322402.700680124,414203.60914614063,9.32470859700616,6599688.890832489
2003-6,7331576.6576148,414402.19767470524,9.326281501787912,6602805.994647335
2003-7,7340750.614549477,414600.78620326985,9.327854406569664,6605923.098462181
2003-8,7349924.571484153,414799.37473183445,9.329427311351417,6609040.202277027
2003-9,7359098.52841883,414997.96326039906,9.33100021613317,6612157.306091873
2003-10,7368272.485353507,415196.5517889637,9.332573120914923,6615274.409906719
2003-11,7377446.442288184,415395.14031752833,9.334146025696676,6618391.513721566
2003-12,7386620.39922286,415593.72884609294,9.335718930478427,6621508.617536412
2004-1,7395794.356157537,415792.31737465755,9.33729183526018,6624625.7213512575
2004-2,7404431.424724923,415741.3220956732,9.339180768565356,6627437.1347664045
2004-3,7413068.493292311,415690.3268166888,9.34106970187053,6630248.548181551
2004-4,7421705.561859698,415639.33153770445,9.342958635175707,6633059.961596698
2004-5,7430342.630427085,415588.3362587201,9.344847568480883,6635871.375011845
2004-6,7438979.698994473,415537.3409797357,9.346736501786058,6638682.788426991
2004-7,7447616.767561859,415486.34570075135,9.348625435091234,6641494.201842138
2004-8,7456253.836129246,415435.350421767,9.35051436839641,6644305.615257285
2004-9,7464890.904696634,415384.3551427826,9.352403301701585,6647117.028672431
2004-10,7473527.973264021,415333.35986379825,9.354292235006762,6649928.442087578
2004-11,7482165.041831408,415282.3645848139,9.356181168311938,6652739.855502725
2004-12,7490802.110398795,415231.3693058295,9.358070101617113,6655551.268917871
2005-1,7499439.178966182,415180.37402684515,9.359959034922289,6658362.682333018
2005-2,7507308.5293528065,415415.870426488,9.362064441276505,6660627.26884661
2005-3,7515177.87973943,415651.36682613083,9.36416984763072,6662891.8553602025
2005-4,7523047.230126054,415886.8632257737,9.366275253984936,6665156.441873794
2005-5,7530916.580512677,416122.3596254165,9.36838066033915,6667421.028387386
2005-6,7538785.930899302,416357.85602505936,9.370486066693367,6669685.614900979
2005-7,7546655.281285925,416593.35242470226,9.372591473047581,6671950.201414571
2005-8,7554524.631672549,416828.8488243451,9.374696879401798,6674214.787928163
2005-9,7562393.982059173,417064.34522398794,9.376802285756014,6676479.374441756
2005-10,7570263.332445797,417299.8416236308,9.378907692110229,6678743.960955348
2005-11,7578132.682832421,417535.3380232736,9.381013098464445,6681008.54746894
2005-12,7586002.033219044,417770.83442291646,9.38311850481866,6683273.133982533
2006-1,7593871.383605668,418006.3308225593,9.385223911172876,6685537.720496125
2006-2,7601322.231280357,418176.04916141916,9.387751073948474,6687801.850448097
2006-3,7608773.078955044,418345.76750027895,9.390278236724072,6690065.98040007
2006-4,7616223.926629732,418515.48583913874,9.392805399499672,6692330.110352043
2006-5,7623674.77430442,418685.2041779986,9.39533256227527,6694594.240304016
2006-6,7631125.621979108,418854.92251685844,9.397859725050868,6696858.370255988
2006-7,7638576.469653796,419024.64085571823,9.400386887826468,6699122.500207961
2006-8,7646027.317328484,419194.359194578,9.402914050602066,6701386.630159933
2006-9,7653478.165003172,419364.07753343787,9.405441213377664,6703650.760111906
2006-10,7660929.0126778595,419533.7958722977,9.407968376153262,6705914.890063878
2006-11,7668379.860352548,419703.5142111575,9.41049553892886,6708179.020015852
2006-12,7675830.708027235,419873.2325500173,9.41302270170446,6710443.149967824
2007-1,7683281.555701924,420042.95088887715,9.415549864480058,6712707.279919797
2007-2,7689267.609673838,420230.22182062117,9.41630031274098,6713678.847117461
2007-3,7695253.663645753,420417.4927523652,9.4170507610019,6714650.414315127
2007-4,7701239.717617666,420604.7636841092,9.417801209262821,6715621.9815127915
2007-5,7707225.771589581,420792.0346158533,9.418551657523743,6716593.548710456
2007-6,7713211.8255614955,420979.3055475973,9.419302105784663,6717565.115908122
2007-7,7719197.87953341,421166.5764793413,9.420052554045585,6718536.683105786
2007-8,7725183.933505325,421353.8474110853,9.420803002306506,6719508.250303451
2007-9,7731169.987477239,421541.11834282934,9.421553450567426,6720479.817501117
2007-10,7737156.041449154,421728.3892745734,9.422303898828348,6721451.384698781
2007-11,7743142.095421067,421915.66020631744,9.42305434708927,6722422.951896446
2007-12,7749128.149392982,422102.93113806145,9.42380479535019,6723394.519094111
2008-1,7755114.203364897,422290.20206980547,9.424555243611112,6724366.086291776
2008-2,7759285.182879,422447.15216283494,9.423262493426707,6724177.624646551
2008-3,7763456.162393102,422604.1022558644,9.4219697432423,6723989.163001326
2008-4,7767627.141907206,422761.05234889383,9.420676993057896,6723800.701356101
2008-5,7771798.121421309,422918.0024419233,9.41938424287349,6723612.239710876
2008-6,7775969.100935413,423074.9525349528,9.418091492689085,6723423.778065651
2008-7,7780140.080449516,423231.9026279822,9.416798742504678,6723235.316420426
2008-8,7784311.059963618,423388.8527210117,9.415505992320274,6723046.854775201
2008-9,7788482.039477722,423545.80281404115,9.414213242135869,6722858.393129976
2008-10,7792653.018991825,423702.7529070706,9.412920491951462,6722669.9314847505
2008-11,7796823.998505928,423859.7030001001,9.411627741767058,6722481.469839525
2008-12,7800994.978020031,424016.6530931295,9.410334991582651,6722293.0081943
2009-1,7805165.957534134,424173.603186159,9.409042241398247,6722104.546549075
2009-2,7820717.775605654,423561.6092471796,9.40782070601459,6725452.393493312
2009-3,7836269.593677174,422949.6153082002,9.406599170630933,6728800.240437549
2009-4,7851821.411748694,422337.6213692208,9.405377635247277,6732148.087381786
2009-5,7867373.229820214,421725.6274302414,9.40415609986362,6735495.934326023
2009-6,7882925.047891734,421113.633491262,9.402934564479963,6738843.781270259
2009-7,7898476.865963254,420501.63955228264,9.401713029096307,6742191.628214496
2009-8,7914028.684034775,419889.64561330323,9.400491493712648,6745539.475158733
2009-9,7929580.502106295,419277.65167432383,9.399269958328992,6748887.3221029695
2009-10,7945132.320177815,418665.65773534443,9.398048422945335,6752235.169047207
2009-11,7960684.138249335,418053.663796365,9.396826887561678,6755583.015991444
2009-12,7976235.956320855,417441.6698573856,9.395605352178022,6758930.86293568
2010-1,7991787.774392375,416829.6759184062,9.394383816794365,6762278.709879917
2010-2,8006157.096663113,416343.6925319601,9.393760630782744,6765040.589235511
2010-3,8020526.418933852,415857.70914551395,9.393137444771122,6767802.468591105
2010-4,8034895.74120459,415371.72575906786,9.392514258759501,6770564.347946699
2010-5,8049265.063475328,414885.7423726217,9.39189107274788,6773326.227302292
2010-6,8063634.385746066,414399.7589861756,9.391267886736259,6776088.106657886
2010-7,8078003.708016804,413913.7755997295,9.390644700724636,6778849.9860134795
2010-8,8092373.030287542,413427.79221328336,9.390021514713014,6781611.865369074
2010-9,8106742.352558281,412941.8088268372,9.389398328701393,6784373.744724668
2010-10,8121111.674829019,412455.8254403911,9.388775142689772,6787135.624080261
2010-11,8135480.997099757,411969.84205394494,9.38815195667815,6789897.503435856
2010-12,8149850.319370496,411483.85866749886,9.38752877066653,6792659.382791449
2011-1,8164219.641641234,410997.8752810527,9.386905584654908,6795421.262147043
2011-2,8177670.258358659,410693.63151383656,9.386615134647608,6798110.0021655345
2011-3,8191120.8750760835,410389.3877466204,9.386324684640307,6800798.742184026
2011-4,8204571.491793508,410085.14397940424,9.386034234633009,6803487.482202518
2011-5,8218022.108510933,409780.9002121881,9.385743784625708,6806176.222221009
2011-6,8231472.725228358,409476.6564449719,9.385453334618408,6808864.962239501
2011-7,8244923.341945782,409172.4126777558,9.385162884611107,6811553.702257993
2011-8,8258373.958663207,408868.16891053965,9.384872434603807,6814242.442276483
2011-9,8271824.575380632,408563.9251433235,9.384581984596506,6816931.182294975
2011-10,8285275.192098057,408259.6813761073,9.384291534589206,6819619.922313467
2011-11,8298725.808815481,407955.43760889117,9.384001084581907,6822308.662331958
2011-12,8312176.425532905,407651.193841675,9.383710634574607,6824997.40235045
2012-1,8325627.042250331,407346.95007445884,9.383420184567306,6827686.142368942
2012-2,8337051.5974308895,407042.0732494414,9.382426337520041,6829504.594408755
2012-3,8348476.152611449,406737.196424424,9.381432490472777,6831323.046448568
2012-4,8359900.707792008,406432.31959940656,9.380438643425512,6833141.4984883815
2012-5,8371325.262972568,406127.4427743892,9.379444796378246,6834959.950528195
2012-6,8382749.818153127,405822.5659493717,9.378450949330983,6836778.402568009
2012-7,8394174.373333687,405517.6891243543,9.377457102283717,6838596.854607822
2012-8,8405598.928514246,405212.8122993369,9.376463255236452,6840415.306647635
2012-9,8417023.483694805,404907.93547431944,9.375469408189188,6842233.758687449
2012-10,8428448.038875364,404603.05864930205,9.374475561141923,6844052.210727262
2012-11,8439872.594055925,404298.1818242846,9.373481714094657,6845870.662767075
2012-12,8451297.149236483,403993.3049992672,9.372487867047393,6847689.114806889
2013-1,8462721.704417042,403688.42817424977,9.371494020000128,6849507.566846702
2013-2,8470902.924993979,403439.7359253734,9.36914180704693,6849753.747177871
2013-3,8479084.145570915,403191.043676497,9.36678959409373,6849999.927509041
2013-4,8487265.366147853,402942.3514276206,9.364437381140531,6850246.107840209
2013-5,8495446.58672479,402693.65917874424,9.362085168187331,6850492.288171378
2013-6,8503627.807301726,402444.96692986786,9.359732955234133,6850738.468502548
2013-7,8511809.027878663,402196.2746809914,9.357380742280935,6850984.648833716
2013-8,8519990.248455599,401947.58243211504,9.355028529327734,6851230.829164885
2013-9,8528171.469032535,401698.89018323866,9.352676316374536,6851477.009496055
2013-10,8536352.689609472,401450.1979343623,9.350324103421336,6851723.189827223
2013-11,8544533.91018641,401201.5056854859,9.347971890468138,6851969.370158392
2013-12,8552715.130763346,400952.8134366095,9.345619677514938,6852215.550489562
2014-1,8560896.351340283,400704.12118773314,9.34326746456174,6852461.73082073
2014-2,8563914.625104902,399973.9708035867,9.338370501078536,6850236.58874673
2014-3,8566932.898869522,399243.8204194403,9.333473537595331,6848011.446672729
2014-4,8569951.172634143,398513.67003529385,9.328576574112128,6845786.304598728
2014-5,8572969.446398763,397783.5196511474,9.323679610628925,6843561.162524728
2014-6,8575987.720163383,397053.369267001,9.31878264714572,6841336.020450728
2014-7,8579005.993928004,396323.21888285456,9.313885683662518,6839110.878376727
2014-8,8582024.267692624,395593.06849870813,9.308988720179315,6836885.736302726
2014-9,8585042.541457243,394862.9181145617,9.30409175669611,6834660.594228726
2014-10,8588060.815221863,394132.7677304153,9.299194793212907,6832435.452154726
2014-11,8591079.088986482,393402.61734626885,9.294297829729704,6830210.310080725
2014-12,8594097.362751104,392672.4669621224,9.289400866246499,6827985.168006724
2015-1,8597115.636515724,391942.316577976,9.284503902763296,6825760.025932724
2015-2,8599093.926625276,391701.21440905804,9.281394645451003,6824438.943107181
2015-3,8601072.21673483,391460.1122401401,9.27828538813871,6823117.860281639
2015-4,8603050.506844383,391219.0100712221,9.275176130826416,6821796.777456095
2015-5,8605028.796953935,390977.90790230414,9.272066873514124,6820475.694630553
2015-6,8607007.08706349,390736.8057333862,9.268957616201831,6819154.611805011
2015-7,8608985.377173042,390495.70356446825,9.265848358889539,6817833.528979468
2015-8,8610963.667282594,390254.6013955503,9.262739101577246,6816512.446153926
2015-9,8612941.957392149,390013.49922663235,9.259629844264953,6815191.363328383
2015-10,8614920.247501701,389772.3970577144,9.25652058695266,6813870.280502841
2015-11,8616898.537611254,389531.2948887964,9.253411329640366,6812549.1976772975
2015-12,8618876.827720808,389290.19271987845,9.250302072328074,6811228.114851755
2016-1,8620855.11783036,389049.0905509605,9.247192815015781,6809907.032026213
2016-2,8621788.191856408,389049.3395957395,9.246215870341322,6809768.2784393765
2016-3,8622721.265882455,389049.5886405184,9.245238925666861,6809629.52485254
2016-4,8623654.339908503,389049.83768529736,9.244261980992402,6809490.771265705
2016-5,8624587.41393455,389050.08673007635,9.243285036317943,6809352.017678869
2016-6,8625520.487960598,389050.33577485534,9.242308091643483,6809213.264092033
