,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2003-1,25905282.52092277,1303625.4085053522,7.576442899418728,23598877.767557368
2003-2,25936854.251181744,1305019.9209963558,7.578654493282365,23608605.374373455
2003-3,25968425.981440715,1306414.4334873594,7.580866087146003,23618332.981189545
2003-4,25999997.71169969,1307808.945978363,7.583077681009641,23628060.588005632
2003-5,26031569.441958662,1309203.4584693667,7.585289274873278,23637788.194821723
2003-6,26063141.172217637,1310597.9709603703,7.587500868736916,23647515.80163781
2003-7,26094712.90247661,1311992.4834513739,7.589712462600554,23657243.408453897
2003-8,26126284.632735584,1313386.9959423773,7.591924056464191,23666971.015269987
2003-9,26157856.36299456,1314781.5084333809,7.594135650327829,23676698.622086074
2003-10,26189428.09325353,1316176.0209243845,7.596347244191466,23686426.228902165
2003-11,26220999.823512506,1317570.533415388,7.598558838055103,23696153.83571825
2003-12,26252571.553771477,1318965.0459063917,7.6007704319187415,23705881.442534342
2004-1,26284143.284030452,1320359.5583973953,7.602982025782379,23715609.04935043
2004-2,26313783.67061336,1321696.45338974,7.605139734527735,23724347.57242418
2004-3,26343424.057196267,1323033.3483820849,7.607297443273091,23733086.09549793
2004-4,26373064.443779178,1324370.2433744296,7.609455152018446,23741824.61857168
2004-5,26402704.830362085,1325707.1383667744,7.6116128607638025,23750563.141645428
2004-6,26432345.216944993,1327044.0333591192,7.613770569509159,23759301.66471918
2004-7,26461985.6035279,1328380.9283514642,7.615928278254515,23768040.187792927
2004-8,26491625.990110807,1329717.823343809,7.618085986999871,23776778.71086668
2004-9,26521266.376693714,1331054.7183361538,7.620243695745227,23785517.23394043
2004-10,26550906.76327662,1332391.6133284986,7.622401404490583,23794255.757014178
2004-11,26580547.149859533,1333728.5083208433,7.6245591132359385,23802994.28008793
2004-12,26610187.53644244,1335065.403313188,7.626716821981295,23811732.803161677
2005-1,26639827.923025347,1336402.298305533,7.628874530726651,23820471.32623543
2005-2,26667447.214352015,1337338.275680708,7.6309139207299985,23828403.651147854
2005-3,26695066.505678687,1338274.2530558833,7.632953310733347,23836335.97606028
2005-4,26722685.797005355,1339210.2304310584,7.634992700736695,23844268.300972708
2005-5,26750305.088332023,1340146.2078062338,7.637032090740043,23852200.625885133
2005-6,26777924.379658695,1341082.185181409,7.639071480743391,23860132.950797558
2005-7,26805543.670985363,1342018.162556584,7.641110870746739,23868065.275709983
2005-8,26833162.96231203,1342954.1399317593,7.643150260750087,23875997.600622408
2005-9,26860782.253638703,1343890.1173069344,7.645189650753435,23883929.925534833
2005-10,26888401.54496537,1344826.0946821098,7.647229040756783,23891862.25044726
2005-11,26916020.83629204,1345762.0720572849,7.649268430760131,23899794.575359687
2005-12,26943640.12761871,1346698.0494324602,7.6513078207634795,23907726.900272112
2006-1,26971259.41894538,1347634.0268076353,7.653347210766827,23915659.225184537
2006-2,26996014.922456015,1348666.2914920966,7.654943377630132,23921774.101682216
