,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2003-1,47544687.674064346,2519796.2103436003,12.490621318989646,43185181.42088147
2003-2,47601898.65275156,2521320.868973269,12.49216413615344,43201536.00382865
2003-3,47659109.63143877,2522845.527602938,12.493706953317233,43217890.586775824
2003-4,47716320.61012598,2524370.1862326073,12.495249770481026,43234245.169723004
2003-5,47773531.58881319,2525894.844862276,12.49679258764482,43250599.75267018
2003-6,47830742.567500405,2527419.503491945,12.498335404808612,43266954.335617356
2003-7,47887953.546187624,2528944.1621216144,12.499878221972406,43283308.91856453
2003-8,47945164.524874836,2530468.8207512833,12.501421039136199,43299663.50151171
2003-9,48002375.50356205,2531993.479380952,12.502963856299992,43316018.08445889
2003-10,48059586.48224926,2533518.138010621,12.504506673463785,43332372.66740606
2003-11,48116797.46093647,2535042.79664029,12.506049490627579,43348727.25035324
2003-12,48174008.43962368,2536567.4552699593,12.507592307791372,43365081.83330041
2004-1,48231219.418310896,2538092.113899628,12.509135124955165,43381436.41624759
2004-2,48281638.858814865,2538272.0313466378,12.50931604264761,43391036.479510486
2004-3,48332058.29931884,2538451.948793647,12.509496960340055,43400636.54277338
2004-4,48382477.73982281,2538631.8662406565,12.509677878032502,43410236.60603627
2004-5,48432897.18032679,2538811.7836876656,12.509858795724947,43419836.66929916
2004-6,48483316.62083076,2538991.701134675,12.510039713417392,43429436.73256206
2004-7,48533736.06133473,2539171.6185816843,12.510220631109839,43439036.795824945
2004-8,48584155.50183871,2539351.536028694,12.510401548802284,43448636.85908784
2004-9,48634574.942342676,2539531.4534757035,12.510582466494728,43458236.922350734
2004-10,48684994.38284665,2539711.3709227126,12.510763384187173,43467836.98561363
2004-11,48735413.82335062,2539891.288369722,12.510944301879618,43477437.048876524
2004-12,48785833.2638546,2540071.2058167313,12.511125219572065,43487037.11213941
2005-1,48836252.70435857,2540251.123263741,12.51130613726451,43496637.175402306
2005-2,48881800.878686756,2541705.3258962627,12.511353194720135,43503490.96266485
2005-3,48927349.053014934,2543159.5285287844,12.511400252175758,43510344.74992739
2005-4,48972897.22734312,2544613.731161306,12.511447309631382,43517198.53718993
2005-5,49018445.401671305,2546067.933793828,12.511494367087005,43524052.32445247
2005-6,49063993.57599948,2547522.1364263496,12.51154142454263,43530906.11171501
2005-7,49109541.75032767,2548976.3390588714,12.511588481998253,43537759.89897755
2005-8,49155089.924655855,2550430.541691393,12.511635539453877,43544613.68624009
2005-9,49200638.09898403,2551884.744323915,12.511682596909502,43551467.473502636
2005-10,49246186.27331222,2553338.9469564366,12.511729654365125,43558321.26076517
2005-11,49291734.447640404,2554793.1495889584,12.51177671182075,43565175.04802772
2005-12,49337282.62196858,2556247.35222148,12.511823769276372,43572028.83529025
2006-1,49382830.79629677,2557701.554854002,12.511870826731997,43578882.6225528
2006-2,49418184.08704109,2559041.3665855504,12.509630862875706,43576184.80057915
2006-3,49453537.37778541,2560381.178317099,12.507390899019418,43573486.97860551
2006-4,49488890.66852972,2561720.990048647,12.505150935163128,43570789.156631865
2006-5,49524243.95927404,2563060.8017801954,12.50291097130684,43568091.33465822
2006-6,49559597.25001836,2564400.613511744,12.50067100745055,43565393.512684576
2006-7,49594950.54076268,2565740.4252432925,12.498431043594259,43562695.69071093
2006-8,49630303.831507,2567080.236974841,12.49619107973797,43559997.86873728
2006-9,49665657.12225132,2568420.0487063895,12.49395111588168,43557300.046763636
2006-10,49701010.41299564,2569759.860437938,12.491711152025392,43554602.22478999
