Ano,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado
2003,131734360.90646061,8384592.526234203,8.566149432120241,121635930.94573908
2004,133678466.24944456,8472829.286900245,8.602875644870773,122301593.00737737
2005,135449489.90349618,8522904.573621493,8.631971544277897,122820643.46199405
2006,137042306.40879896,8592311.690290246,8.653844753053633,123216699.50211878
2007,138525568.43575794,8640797.710759075,8.676548205973464,123599055.50441343
2008,139694933.7327967,8691699.110178197,8.687931468328028,123717808.16208583
2009,140617622.62286186,8722094.358594969,8.695650737202449,123769771.41639408
2010,143929993.69374347,8745548.148234911,8.730895135423449,124434813.41039947
2011,146977108.68634188,8709534.648836933,8.75931257842579,124955303.72896454
2012,149836566.46552247,8659813.58364263,8.775083392803147,125464577.1337295
2013,152381918.22077274,8603518.303584129,8.785884168445207,125888551.97837625
2014,154397672.8275414,8508097.6977839,8.799996847811155,126107820.46385272
2015,155837365.7879423,8390263.358097244,8.806885485835783,126174272.65888977
2016,156553462.1991237,8301516.357913042,8.804783705377156,126056628.42358169
2017,156691887.7755935,8249496.249909755,8.807486594148811,125960603.22965151
2018,156328653.63921773,8235327.4257883495,8.809150352036553,125793486.69812413
2019,155149837.28878814,8243898.160123884,8.785944653133907,125461659.17303301
2020,153364686.05843967,8267781.361259838,8.765136175168848,125130290.8347574
2021,150662983.09875217,8324427.436770635,8.746212433578226,124808157.32688881
2022,147382161.26929915,8390698.717493225,8.722775500163868,124397646.90229145
