,Ceará - PIB - Estadual,Ceará - PIB - Construção Civil,Ceará - PIB - Per Capita,Ceará - PIB - Preços de Mercado
2003-1,69653520.24417323,4525723.594445789,7.532751262130655,62938208.50048655
2003-2,69743541.64072639,4530358.8290783595,7.535807885983135,62971782.35180053
2003-3,69833563.03727955,4534994.06371093,7.538864509835614,63005356.20311452
2003-4,69923584.43383269,4539629.2983435,7.541921133688094,63038930.054428495
2003-5,70013605.83038585,4544264.5329760695,7.544977757540574,63072503.90574248
2003-6,70103627.22693901,4548899.76760864,7.5480343813930535,63106077.75705646
2003-7,70193648.62349215,4553535.00224121,7.551091005245533,63139651.60837044
2003-8,70283670.02004531,4558170.23687378,7.554147629098012,63173225.459684424
2003-9,70373691.41659847,4562805.471506351,7.557204252950492,63206799.3109984
2003-10,70463712.81315163,4567440.70613892,7.560260876802972,63240373.16231239
2003-11,70553734.20970479,4572075.94077149,7.563317500655451,63273947.01362637
2003-12,70643755.60625793,4576711.175404061,7.566374124507931,63307520.86494035
2004-1,70733777.00281109,4581346.410036631,7.569430748360411,63341094.71625433
2004-2,70818281.77679591,4585401.2647099765,7.572350308699578,63370880.697526135
2004-3,70902786.55078073,4589456.119383321,7.575269869038745,63400666.67879793
2004-4,70987291.32476553,4593510.974056667,7.578189429377913,63430452.660069734
2004-5,71071796.09875035,4597565.828730011,7.58110898971708,63460238.64134153
2004-6,71156300.87273517,4601620.683403357,7.584028550056248,63490024.62261333
2004-7,71240805.64671999,4605675.5380767025,7.586948110395415,63519810.60388513
2004-8,71325310.42070481,4609730.392750047,7.589867670734583,63549596.58515693
2004-9,71409815.19468963,4613785.247423393,7.592787231073751,63579382.566428736
2004-10,71494319.96867445,4617840.102096737,7.595706791412918,63609168.54770053
2004-11,71578824.74265926,4621894.956770083,7.598626351752086,63638954.528972335
2004-12,71663329.51664408,4625949.811443428,7.601545912091253,63668740.51024413
2005-1,71747834.2906289,4630004.666116773,7.60446547243042,63698526.491515934
2005-2,71826013.19751397,4634578.838070489,7.607079180192549,63724346.2615109
2005-3,71904192.10439904,4639153.010024205,7.609692887954677,63750166.03150587
2005-4,71982371.01128411,4643727.18197792,7.612306595716805,63775985.801500835
2005-5,72060549.9181692,4648301.353931637,7.614920303478933,63801805.5714958
2005-6,72138728.82505427,4652875.525885352,7.617534011241061,63827625.34149077
2005-7,72216907.73193935,4657449.697839068,7.620147719003189,63853445.111485735
2005-8,72295086.63882442,4662023.869792784,7.622761426765317,63879264.881480694
2005-9,72373265.54570949,4666598.041746499,7.625375134527445,63905084.65147566
2005-10,72451444.45259458,4671172.213700215,7.627988842289573,63930904.42147063
2005-11,72529623.35947965,4675746.385653931,7.630602550051702,63956724.191465594
2005-12,72607802.26636472,4680320.557607647,7.63321625781383,63982543.96146056
2006-1,72685981.1732498,4684894.729561362,7.635829965575958,64008363.73145553
2006-2,72756714.65331918,4689062.785120041,7.638038746413406,64029285.62015579
2006-3,72827448.13338858,4693230.84067872,7.640247527250852,64050207.50885606
2006-4,72898181.61345798,4697398.896237398,7.6424563080883,64071129.39755632
2006-5,72968915.09352736,4701566.951796076,7.644665088925747,64092051.28625659
2006-6,73039648.57359675,4705735.007354755,7.646873869763194,64112973.17495685
2006-7,73110382.05366614,4709903.062913433,7.649082650600642,64133895.06365712
2006-8,73181115.53373554,4714071.118472111,7.651291431438088,64154816.95235738
2006-9,73251849.01380493,4718239.17403079,7.653500212275536,64175738.84105764
2006-10,73322582.49387431,4722407.229589469,7.655708993112983,64196660.72975791
2006-11,73393315.97394371,4726575.2851481475,7.65791777395043,64217582.618458174
2006-12,73464049.45401311,4730743.340706825,7.660126554787877,64238504.50715844
2007-1,73534782.9340825,4734911.396265504,7.6623353356253245,64259426.395858705
2007-2,73598916.63530986,4738796.926604407,7.66437484481288,64277415.77035027
2007-3,73663050.33653721,4742682.456943311,7.666414354000436,64295405.14484184
2007-4,73727184.03776458,4746567.987282215,7.668453863187991,64313394.51933341
2007-5,73791317.73899195,4750453.517621118,7.670493372375547,64331383.89382498
2007-6,73855451.4402193,4754339.047960021,7.672532881563102,64349373.268316545
2007-7,73919585.14144666,4758224.5782989245,7.674572390750658,64367362.64280811
2007-8,73983718.84267403,4762110.108637828,7.676611899938213,64385352.01729968
2007-9,74047852.54390138,4765995.638976731,7.678651409125768,64403341.39179125
2007-10,74111986.24512875,4769881.169315634,7.680690918313324,64421330.76628282
2007-11,74176119.94635612,4773766.699654538,7.682730427500879,64439320.140774384
2007-12,74240253.64758347,4777652.229993442,7.684769936688435,64457309.51526596
2008-1,74304387.34881084,4781537.760332345,7.686809445875991,64475298.88975752
2008-2,74351905.6504017,4785368.0889935605,7.687773274924622,64482386.07963906
2008-3,74399423.95199254,4789198.417654777,7.688737103973254,64489473.269520596
2008-4,74446942.2535834,4793028.746315992,7.689700933021886,64496560.45940214
2008-5,74494460.55517425,4796859.074977209,7.690664762070517,64503647.64928368
2008-6,74541978.8567651,4800689.403638424,7.691628591119148,64510734.83916522
2008-7,74589497.15835595,4804519.732299641,7.69259242016778,64517822.02904676
2008-8,74637015.45994681,4808350.060960856,7.693556249216412,64524909.21892829
2008-9,74684533.76153767,4812180.389622072,7.694520078265043,64531996.40880983
2008-10,74732052.06312852,4816010.718283288,7.695483907313674,64539083.598691374
2008-11,74779570.36471938,4819841.046944504,7.696447736362306,64546170.78857291
2008-12,74827088.66631022,4823671.37560572,7.697411565410938,64553257.97845445
2009-1,74874606.96790108,4827501.704266936,7.698375394459569,64560345.16833599
2009-2,75037460.46753593,4829526.760264987,7.702183391125765,64605622.25109727
2009-3,75200313.96717077,4831551.816263039,7.705991387791962,64650899.33385854
2009-4,75363167.46680562,4833576.872261089,7.709799384458158,64696176.41661982
2009-5,75526020.96644047,4835601.928259141,7.713607381124355,64741453.499381095
2009-6,75688874.46607532,4837626.984257192,7.717415377790551,64786730.582142375
2009-7,75851727.96571016,4839652.040255243,7.721223374456747,64832007.664903656
2009-8,76014581.46534501,4841677.0962532945,7.7250313711229435,64877284.74766493
2009-9,76177434.96497986,4843702.152251346,7.728839367789139,64922561.83042621
2009-10,76340288.4646147,4845727.208249398,7.732647364455336,64967838.91318748
2009-11,76503141.96424955,4847752.264247449,7.736455361121532,65013115.99594876
2009-12,76665995.4638844,4849777.3202455,7.740263357787729,65058393.078710034
2010-1,76828848.96351925,4851802.376243551,7.744071354453925,65103670.161471315
2010-2,76975498.40762672,4851558.523439638,7.746552643899614,65137010.80179787
2010-3,77122147.85173419,4851314.670635724,7.749033933345302,65170351.44212442
2010-4,77268797.29584166,4851070.8178318115,7.751515222790991,65203692.08245097
2010-5,77415446.73994912,4850826.965027898,7.75399651223668,65237032.722777516
2010-6,77562096.1840566,4850583.112223985,7.756477801682369,65270373.36310407
2010-7,77708745.62816407,4850339.259420071,7.758959091128057,65303714.00343062
2010-8,77855395.07227154,4850095.406616158,7.761440380573746,65337054.64375717
2010-9,78002044.51637901,4849851.553812245,7.763921670019435,65370395.284083724
2010-10,78148693.96048647,4849607.701008331,7.766402959465124,65403735.92441027
2010-11,78295343.40459394,4849363.848204418,7.768884248910813,65437076.56473682
2010-12,78441992.84870142,4849119.995400504,7.771365538356501,65470417.20506337
2011-1,78588642.29280889,4848876.142596591,7.77384682780219,65503757.845389925
2011-2,78719121.70441994,4847284.373173631,7.7753082058584795,65528919.55412377
2011-3,78849601.11603099,4845692.603750671,7.776769583914769,65554081.26285761
2011-4,78980080.52764204,4844100.834327711,7.778230961971057,65579242.97159145
2011-5,79110559.93925309,4842509.06490475,7.7796923400273466,65604404.68032529
2011-6,79241039.35086414,4840917.295481791,7.781153718083636,65629566.389059134
2011-7,79371518.76247519,4839325.52605883,7.782615096139924,65654728.09779297
2011-8,79501998.17408626,4837733.75663587,7.784076474196214,65679889.80652681
2011-9,79632477.58569731,4836141.98721291,7.785537852252503,65705051.51526065
2011-10,79762956.99730836,4834550.21778995,7.786999230308792,65730213.22399449
2011-11,79893436.40891941,4832958.448366989,7.788460608365082,65755374.932728335
2011-12,80023915.82053046,4831366.67894403,7.78992198642137,65780536.64146218
2012-1,80154395.23214151,4829774.909521069,7.791383364477659,65805698.35019602
2012-2,80274986.28741857,4826739.427761132,7.79301942084029,65830652.536621995
2012-3,80395577.34269565,4823703.9460011935,7.7946554772029195,65855606.72304797
2012-4,80516168.39797272,4820668.464241256,7.79629153356555,65880560.909473956
2012-5,80636759.45324978,4817632.9824813185,7.797927589928181,65905515.09589993
2012-6,80757350.50852686,4814597.50072138,7.79956364629081,65930469.28232591
2012-7,80877941.56380393,4811562.018961443,7.801199702653441,65955423.46875189
2012-8,80998532.61908099,4808526.537201505,7.802835759016071,65980377.65517787
2012-9,81119123.67435807,4805491.055441567,7.804471815378701,66005331.841603845
2012-10,81239714.72963513,4802455.573681629,7.8061078717413315,66030286.02802982
2012-11,81360305.7849122,4799420.091921692,7.807743928103962,66055240.2144558
2012-12,81480896.84018928,4796384.610161753,7.809379984466592,66080194.40088178
2013-1,81601487.89546634,4793349.128401816,7.811016040829222,66105148.58730776
2013-2,81697524.40809706,4790310.663010342,7.811882324540658,66119472.875210226
2013-3,81793560.92072776,4787272.197618869,7.812748608252094,66133797.1631127
2013-4,81889597.43335848,4784233.732227395,7.81361489196353,66148121.451015174
2013-5,81985633.94598919,4781195.266835921,7.814481175674966,66162445.73891764
2013-6,82081670.45861991,4778156.8014444485,7.815347459386402,66176770.02682011
2013-7,82177706.97125062,4775118.336052975,7.816213743097838,66191094.31472258
2013-8,82273743.48388132,4772079.870661501,7.817080026809274,66205418.60262506
2013-9,82369779.99651204,4769041.405270028,7.81794631052071,66219742.890527524
2013-10,82465816.50914276,4766002.939878554,7.818812594232146,66234067.17842999
2013-11,82561853.02177346,4762964.47448708,7.8196788779435815,66248391.466332465
2013-12,82657889.53440417,4759926.009095607,7.8205451616550175,66262715.75423494
2014-1,82753926.04703489,4756887.5437041335,7.821411445366453,66277040.04213741
2014-2,82807920.36052862,4752616.540224588,7.8202821232274,66271884.72466649
2014-3,82861914.67402235,4748345.536745042,7.819152801088345,66266729.40719557
2014-4,82915908.98751608,4744074.533265496,7.818023478949291,66261574.08972465
2014-5,82969903.3010098,4739803.529785949,7.816894156810236,66256418.77225373
2014-6,83023897.61450353,4735532.526306403,7.8157648346711825,66251263.454782814
2014-7,83077891.92799726,4731261.522826857,7.814635512532128,66246108.13731189
2014-8,83131886.24149099,4726990.519347311,7.813506190393074,66240952.819840975
2014-9,83185880.55498472,4722719.515867765,7.81237686825402,66235797.50237006
2014-10,83239874.86847845,4718448.512388218,7.8112475461149655,66230642.18489914
2014-11,83293869.18197218,4714177.508908672,7.810118223975912,66225486.86742822
2014-12,83347863.4954659,4709906.505429126,7.808988901836857,66220331.5499573
2015-1,83401857.80895963,4705635.50194958,7.807859579697803,66215176.23248638
2015-2,83440747.13731433,4699152.235627341,7.807403932443245,66213854.89909843
2015-3,83479636.46566905,4692668.969305103,7.806948285188688,66212533.565710485
2015-4,83518525.79402375,4686185.702982863,7.80649263793413,66211212.23232253
2015-5,83557415.12237845,4679702.436660624,7.806036990679573,66209890.89893458
2015-6,83596304.45073317,4673219.170338386,7.805581343425015,66208569.56554663
2015-7,83635193.77908787,4666735.904016146,7.805125696170457,66207248.23215868
2015-8,83674083.10744257,4660252.637693907,7.8046700489158995,66205926.898770735
2015-9,83712972.43579729,4653769.371371669,7.8042144016613415,66204605.565382786
2015-10,83751861.76415199,4647286.105049429,7.803758754406784,66203284.23199484
2015-11,83790751.09250669,4640802.83872719,7.803303107152226,66201962.89860688
2015-12,83829640.42086141,4634319.572404952,7.802847459897669,66200641.56521893
2016-1,83868529.74921611,4627836.3060827125,7.802391812643111,66199320.231830984
2016-2,83880855.35716076,4623313.926582795,7.802184916617195,66197910.62255627
2016-3,83893180.96510541,4618791.547082876,7.801978020591278,66196501.013281554
2016-4,83905506.57305005,4614269.167582958,7.801771124565362,66195091.40400684
2016-5,83917832.1809947,4609746.78808304,7.801564228539446,66193681.79473212
2016-6,83930157.78893936,4605224.408583121,7.801357332513529,66192272.18545741
2016-7,83942483.39688401,4600702.0290832035,7.801150436487613,66190862.57618269
2016-8,83954809.00482866,4596179.649583286,7.800943540461697,66189452.96690798
2016-9,83967134.61277331,4591657.270083367,7.80073664443578,66188043.35763326
2016-10,83979460.22071797,4587134.890583449,7.800529748409864,66186633.74835855
2016-11,83991785.8286626,4582612.511083531,7.800322852383948,66185224.13908383
2016-12,84004111.43660726,4578090.131583612,7.800115956358031,66183814.52980912
2017-1,84016437.04455191,4573567.752083695,7.799909060332115,66182404.9205344
2017-2,83994830.28853793,4573989.5688993195,7.798791514006974,66170344.25764988
2017-3,83973223.53252396,4574411.385714945,7.797673967681835,66158283.59476536
2017-4,83951616.77650999,4574833.20253057,7.796556421356694,66146222.93188083
2017-5,83930010.02049601,4575255.019346195,7.795438875031554,66134162.26899631
2017-6,83908403.26448204,4575676.836161821,7.794321328706414,66122101.606111795
2017-7,83886796.50846806,4576098.652977446,7.793203782381274,66110040.94322727
2017-8,83865189.75245407,4576520.469793071,7.792086236056133,66097980.28034274
2017-9,83843582.9964401,4576942.286608697,7.7909686897309935,66085919.617458224
2017-10,83821976.24042612,4577364.103424322,7.789851143405853,66073858.954573706
2017-11,83800369.48441215,4577785.920239947,7.788733597080713,66061798.29168918
2017-12,83778762.72839817,4578207.737055573,7.787616050755573,66049737.628804654
2018-1,83757155.9723842,4578629.553871198,7.7864985044304325,66037676.965920135
2018-2,83700438.27179077,4578487.548923015,7.784612930058052,66018684.47341777
2018-3,83643720.57119733,4578345.543974832,7.7827273556856715,65999691.9809154
2018-4,83587002.87060389,4578203.53902665,7.780841781313291,65980699.48841303
2018-5,83530285.17001046,4578061.534078467,7.778956206940911,65961706.99591066
2018-6,83473567.46941704,4577919.529130284,7.77707063256853,65942714.50340829
2018-7,83416849.7688236,4577777.524182102,7.77518505819615,65923722.01090592
2018-8,83360132.06823015,4577635.519233919,7.773299483823769,65904729.51840356
2018-9,83303414.36763673,4577493.514285736,7.771413909451389,65885737.02590119
2018-10,83246696.6670433,4577351.509337553,7.769528335079008,65866744.53339882
2018-11,83189978.96644986,4577209.50438937,7.767642760706628,65847752.04089645
2018-12,83133261.26585642,4577067.499441188,7.765757186334247,65828759.548394084
2019-1,83076543.56526299,4576925.494493005,7.763871611961867,65809767.055891715
2019-2,82982891.24504365,4578604.498799257,7.761655305663005,65784976.181851506
2019-3,82889238.92482431,4580283.50310551,7.759438999364143,65760185.3078113
2019-4,82795586.60460499,4581962.507411762,7.757222693065281,65735394.43377109
2019-5,82701934.28438565,4583641.511718014,7.75500638676642,65710603.55973087
2019-6,82608281.96416631,4585320.516024267,7.752790080467557,65685812.685690664
2019-7,82514629.64394698,4586999.520330519,7.7505737741686955,65661021.811650455
2019-8,82420977.32372764,4588678.5246367715,7.748357467869834,65636230.937610246
2019-9,82327325.0035083,4590357.528943025,7.746141161570971,65611440.06357004
2019-10,82233672.68328896,4592036.533249277,7.74392485527211,65586649.18952982
2019-11,82140020.36306964,4593715.537555529,7.741708548973248,65561858.31548961
2019-12,82046368.0428503,4595394.541861782,7.739492242674386,65537067.441449404
2020-1,81952715.72263096,4597073.546168034,7.737275936375524,65512276.567409195
2020-2,81826754.63499328,4598571.024139598,7.736030212794404,65492584.70018026
2020-3,81700793.5473556,4600068.502111161,7.734784489213284,65472892.83295133
2020-4,81574832.45971793,4601565.980082725,7.733538765632164,65453200.9657224
2020-5,81448871.37208024,4603063.458054288,7.732293042051044,65433509.098493464
2020-6,81322910.28444256,4604560.936025852,7.7310473184699235,65413817.23126453
2020-7,81196949.19680488,4606058.413997415,7.729801594888803,65394125.36403561
2020-8,81070988.1091672,4607555.8919689795,7.728555871307684,65374433.49680667
2020-9,80945027.02152953,4609053.369940544,7.7273101477265635,65354741.62957774
2020-10,80819065.93389183,4610550.847912107,7.726064424145443,65335049.76234881
2020-11,80693104.84625416,4612048.325883671,7.724818700564324,65315357.895119876
2020-12,80567143.75861648,4613545.803855234,7.7235729769832036,65295666.02789094
2021-1,80441182.6709788,4615043.281826798,7.722327253402083,65275974.16066201
2021-2,80288483.78874764,4617036.968924987,7.720804380429616,65251453.63926747
2021-3,80135784.90651648,4619030.656023176,7.719281507457149,65226933.11787292
2021-4,79983086.02428532,4621024.343121367,7.7177586344846825,65202412.59647837
2021-5,79830387.14205416,4623018.030219556,7.716235761512215,65177892.07508383
2021-6,79677688.259823,4625011.717317745,7.714712888539748,65153371.553689286
2021-7,79524989.37759183,4627005.404415935,7.713190015567282,65128851.032294735
2021-8,79372290.49536067,4628999.091514125,7.7116671425948145,65104330.51090019
2021-9,79219591.61312951,4630992.778612314,7.710144269622347,65079809.98950565
2021-10,79066892.73089835,4632986.465710503,7.70862139664988,65055289.468111105
2021-11,78914193.84866719,4634980.152808692,7.707098523677413,65030768.94671656
2021-12,78761494.96643603,4636973.8399068825,7.705575650704946,65006248.42532201
2022-1,78608796.08420487,4638967.527005072,7.704052777732479,64981727.90392747
