Ano,Ceará - PIB - Estadual,Ceará - PIB - Construção Civil,Ceará - PIB - Per Capita,Ceará - PIB - Preços de Mercado
2003,69653520.24417323,4525723.594445789,7.532751262130655,62938208.50048655
2004,70733777.00281109,4581346.410036631,7.569430748360411,63341094.71625433
2005,71747834.2906289,4630004.666116773,7.60446547243042,63698526.491515934
2006,72685981.1732498,4684894.729561362,7.635829965575958,64008363.73145553
2007,73534782.9340825,4734911.396265504,7.6623353356253245,64259426.395858705
2008,74304387.34881084,4781537.760332345,7.686809445875991,64475298.88975752
2009,74874606.96790108,4827501.704266936,7.698375394459569,64560345.16833599
2010,76828848.96351925,4851802.376243551,7.744071354453925,65103670.161471315
2011,78588642.29280889,4848876.142596591,7.77384682780219,65503757.845389925
2012,80154395.23214151,4829774.909521069,7.791383364477659,65805698.35019602
2013,81601487.89546634,4793349.128401816,7.811016040829222,66105148.58730776
2014,82753926.04703489,4756887.5437041335,7.821411445366453,66277040.04213741
2015,83401857.80895963,4705635.50194958,7.807859579697803,66215176.23248638
2016,83868529.74921611,4627836.3060827125,7.802391812643111,66199320.231830984
2017,84016437.04455191,4573567.752083695,7.799909060332115,66182404.9205344
2018,83757155.9723842,4578629.553871198,7.7864985044304325,66037676.965920135
2019,83076543.56526299,4576925.494493005,7.763871611961867,65809767.055891715
2020,81952715.72263096,4597073.546168034,7.737275936375524,65512276.567409195
2021,80441182.6709788,4615043.281826798,7.722327253402083,65275974.16066201
2022,78608796.08420487,4638967.527005072,7.704052777732479,64981727.90392747
