Ano,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
1985,0.006495394,1348087.77050167,45.3536263621,62115419.5929449
1986,0.018676894,1774685.63819275,46.9690541287,66181886.6272074
1987,0.056863386,1460502.27711392,46.7542411571,67698364.5342813
1988,0.419464079,1576022.05600947,47.3131550059,70310423.6938966
1989,6.552041576,1696028.59062455,45.6608739725,71980669.286898
1990,186.0507524,1897959.54181624,46.1145198188,74373866.4798679
1991,1396.036917,1635340.43941296,45.743612208,75402123.593674
1992,12978.01217,1751964.5361716,44.7633556276,76365613.2504268
1993,272431.2859,2404822.92152644,45.6183027996,79848954.2896181
1994,6778008.796,2778105.17138844,45.7808384624,82144878.9190351
1995,31133118.64,2471476.54055922,46.2715859389,85039169.9713885
1996,38656726.6,2510820.63114057,46.5509286184,87569046.6158674
1997,43800561.47,2675372.12464471,47.2331793556,90891846.1638886
1998,47286595.8,2668760.9276547,47.1868020461,92986264.9253229
1999,48619189.39,2359435.1032875,47.1897013949,95830769.2459623
2000,46474890.26,2342225.63395415,47.5907176968,99000923.6237622
2001,51523398.38,2203354.8724093,47.99712472,102237091.460922
2002,46975920.5907628,4945861.30821012,41.5885382042,89242307.2315067
2003,50271761.7581366,2399512.30664222,38.2266162502,83708223.7719595
2004,58023790.9644242,3598908.00006294,39.2915870626,89665326.9646328
2005,64870903.7912185,4203643.6134993,39.994752679,93312077.4334628
2006,73350720.0186617,2967220.37059212,41.453266924,98815634.4411022
2007,81526036.80191,2962632.67349101,42.4868041194,103185024.496082
2008,94442970.2816569,3208678.82931679,42.9723366607,109887097.44287
2009,106718193.042643,4804555.14626128,44.3853209899,115707427.508671
2010,121620222.894696,5863709.95100767,46.7397248866,121620222.894696
2011,131630929.966516,5570686.4109511,46.560192589,121522009.537016
2012,138261822.698534,5372360.63938803,44.6476959122,118250851.349623
2013,150802935.465945,5042445.31809744,43.0048949036,119973378.611272
2014,171201766.019646,4923969.49765285,44.2761927822,126292172.558483
2015,186294051.31834,3763432.0225932,43.8306816713,127758985.855848
2016,206394425.434707,3604624.79140452,43.9784494044,130933343.222004
2017,215601787.690288,2762567.37212602,43.4204256418,131930665.481975
2018,226124917.32321,2852399.65824483,45.0507028744,132419638.481306
2019,242927103.829427,2753014.05478637,45.8426503491,136493237.12408
2020,240381106.228136,3228059.19218285,41.3492141647,126852210.852902
2021,,,,
2022,,,,
