Ano,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado
2003,93718223.18774895,5518324.893522981,14.031270282917939,84182480.30624565
2004,95130364.79828045,5577901.2753857095,14.06973951121841,84642566.21088131
2005,96435514.20419507,5616938.162235405,14.103821946816263,85018274.13995665
2006,97715335.47397727,5664472.210228287,14.152999335327216,85446119.75577748
2007,98858780.42530163,5710316.222501491,14.189754510359512,85770932.91051473
2008,99794850.58272003,5727076.237518004,14.203137945058446,85920119.53912981
2009,100513833.46615586,5757644.710033267,14.197250221131036,85962096.59236938
2010,103081294.815272,5806965.710197036,14.241312566408716,86634795.50225297
2011,105453543.67809251,5798734.081514193,14.27882503162139,87187907.38466236
2012,107578430.25143822,5775231.268375107,14.289292121494098,87620669.09342483
2013,109251871.42525434,5758465.636990808,14.261467467854205,87799677.96497177
2014,110594235.09130923,5711943.895756988,14.23829501192009,87879155.56551099
2015,111511276.57923052,5628819.631850911,14.206629336994652,87848486.90689376
2016,112097730.33603002,5573900.728818152,14.184179020611912,87819493.69838423
2017,112322840.78529982,5555871.1312874025,14.177721010059235,87834115.09351136
2018,112075221.60243411,5557505.0708998,14.162196404779477,87721417.68860725
2019,111526220.46325718,5575030.932615519,14.16210930415441,87649067.75562468
2020,110308681.58839859,5582060.00918942,14.153729488000417,87430503.41471475
2021,108189695.30852777,5596944.836266091,14.151592107982822,87076190.64476842
2022,105619554.88813421,5612096.8916552495,14.145782857460524,86623413.74689457
