,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado
2003-1,43153217.09346157,2636001.048208724,6.034056925877654,38724951.52385314
2003-2,43208322.12828915,2636851.1320070955,6.036083425850632,38744054.009436
2003-3,43263427.16311672,2637701.215805467,6.038109925823608,38763156.49501886
2003-4,43318532.197944306,2638551.2996038394,6.040136425796586,38782258.98060173
2003-5,43373637.23277188,2639401.383402211,6.0421629257695635,38801361.46618459
2003-6,43428742.267599456,2640251.467200583,6.044189425742541,38820463.951767445
2003-7,43483847.30242704,2641101.550998955,6.046215925715519,38839566.43735031
2003-8,43538952.33725461,2641951.6347973268,6.048242425688495,38858668.922933176
2003-9,43594057.37208219,2642801.7185956985,6.050268925661473,38877771.408516034
2003-10,43649162.406909764,2643651.80239407,6.05229542563445,38896873.89409889
2003-11,43704267.44173734,2644501.886192442,6.054321925607427,38915976.37968176
2003-12,43759372.47656492,2645351.969990814,6.0563484255804045,38935078.865264624
2004-1,43814477.5113925,2646202.053789186,6.058374925553382,38954181.35084748
2004-2,43866485.76361905,2648095.398651338,6.060349421533543,38971495.462832324
2004-3,43918494.0158456,2649988.7435134905,6.062323917513704,38988809.574817166
2004-4,43970502.26807215,2651882.088375643,6.064298413493865,39006123.68680201
2004-5,44022510.520298705,2653775.433237795,6.0662729094740255,39023437.79878685
2004-6,44074518.77252526,2655668.778099947,6.068247405454187,39040751.91077169
2004-7,44126527.02475181,2657562.1229620995,6.070221901434348,39058066.02275653
2004-8,44178535.27697836,2659455.467824252,6.072196397414508,39075380.134741366
2004-9,44230543.52920491,2661348.812686404,6.07417089339467,39092694.24672621
2004-10,44282551.78143147,2663242.157548556,6.0761453893748305,39110008.35871105
2004-11,44334560.03365801,2665135.5024107085,6.078119885354991,39127322.47069589
2004-12,44386568.28588457,2667028.847272861,6.080094381335153,39144636.58268073
2005-1,44438576.53811112,2668922.192135013,6.082068877315313,39161950.69466557
2005-2,44486750.203889914,2671416.6807786473,6.083792628767321,39176947.40006623
2005-3,44534923.86966871,2673911.169422282,6.085516380219328,39191944.10546689
2005-4,44583097.53544749,2676405.658065916,6.087240131671335,39206940.81086754
2005-5,44631271.20122629,2678900.14670955,6.088963883123342,39221937.51626819
2005-6,44679444.86700508,2681394.635353185,6.09068763457535,39236934.22166885
2005-7,44727618.532783866,2683889.123996819,6.092411386027357,39251930.9270695
2005-8,44775792.19856266,2686383.612640453,6.094135137479364,39266927.63247016
2005-9,44823965.86434145,2688878.1012840876,6.095858888931372,39281924.337870814
2005-10,44872139.530120246,2691372.589927722,6.097582640383379,39296921.04327147
2005-11,44920313.19589904,2693867.078571356,6.099306391835386,39311917.74867213
2005-12,44968486.861677825,2696361.5672149905,6.101030143287393,39326914.45407278
2006-1,45016660.52745662,2698856.0558586246,6.102753894739401,39341911.159473434
2006-2,45057003.69327578,2696594.808996075,6.103420846015803,39349542.95769026
2006-3,45097346.85909493,2694333.562133525,6.104087797292205,39357174.75590709
2006-4,45137690.02491409,2692072.315270975,6.104754748568607,39364806.55412392
2006-5,45178033.190733254,2689811.0684084254,6.105421699845009,39372438.35234075
2006-6,45218376.35655241,2687549.8215458756,6.106088651121412,39380070.15055758
2006-7,45258719.52237157,2685288.5746833263,6.106755602397813,39387701.94877441
2006-8,45299062.68819073,2683027.3278207765,6.1074225536742155,39395333.74699124
2006-9,45339405.85400988,2680766.0809582267,6.108089504950618,39402965.54520807
2006-10,45379749.01982904,2678504.834095677,6.10875645622702,39410597.343424894
2006-11,45420092.1856482,2676243.587233127,6.109423407503423,39418229.14164172
2006-12,45460435.351467356,2673982.3403705773,6.110090358779824,39425860.939858556
2007-1,45500778.51728652,2671721.0935080275,6.1107573100562265,39433492.73807538
2007-2,45540784.407918975,2673339.016075691,6.112302311069727,39444312.375093475
2007-3,45580790.29855143,2674956.9386433545,6.1138473120832275,39455132.01211157
2007-4,45620796.18918389,2676574.8612110177,6.115392313096728,39465951.64912966
