Ano,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado
1985,0.003529938,803995.237958356,3.8246218743,16906893.9803239
1986,0.010243301,964913.893194221,4.5038034957,20300646.547625
1987,0.028887456,1061193.52733918,4.5473143725,20886310.5701615
1988,0.226972341,1243731.33586816,4.8688950137,22771821.9788432
1989,3.307274326,1111849.03453761,4.702632293,22929696.470923
1990,92.15262193,905256.721697957,4.5723258956,22660643.7487705
1991,490.4672007,689790.797832122,4.6903436841,23612714.4676312
1992,5166.841776,903484.519209716,4.5068794504,22982187.2735605
1993,109844.6715,1146488.66443444,4.7160590429,24386340.4456379
1994,2861414.609,1118960.48066649,4.7580191893,24940337.5694508
1995,6390133.836,826757.234655424,4.7677659129,25325943.4305665
1996,8482394.18,1062638.62687182,4.9082911538,26415181.1920923
1997,9249485.071,1355228.66337577,4.9854113982,27177257.3234759
1998,9380513.109,1460113.45396242,4.6791766448,25840266.3867855
1999,10308256.16,1318073.76436764,4.7300162652,26577015.3906575
2000,11908911.65,1340867.03607255,4.8679328291,27738099.4878783
2001,13419658.02,1259820.0306155,4.8849245308,28224839.9227137
2002,14566203.2724056,2598597.61249412,4.7683982729,27672083.2989533
2003,18025321.2120869,2248362.83615115,5.1099729382,30014218.0980679
2004,20098714.4960845,1782836.79664775,5.1580047586,31058946.2857601
2005,22471384.9429822,1531435.37063779,5.2960382152,32323453.0319671
2006,26620176.9139206,3729984.62518131,5.7986241127,35861811.1725994
2007,27258092.3888863,1933948.40265348,5.4062368479,34499738.2578252
2008,33832972.2697518,2725505.3475187,6.2430259343,39365631.0205042
2009,36958045.6765007,3450742.45195729,6.2934315082,40071146.9061991
2010,41111063.645553,3715268.56292705,6.225294035,41111063.645553
2011,45886793.2586545,3819269.91332022,6.3744098404,42362804.3152151
2012,52984064.4962197,4229202.67627697,6.7490962458,45315551.4107637
2013,60028885.5689579,4175609.35012108,7.028952229,47756817.1582685
2014,68566330.6816724,4760524.69801486,7.3829935472,50580032.3646081
2015,69855530.3951119,4022870.66108951,6.9386873707,47906369.8306253
2016,75908366.7799735,3177980.34757245,6.9247644758,48155061.4561935
2017,79222988.728956,2682723.47585119,6.9274729719,48477991.4696088
2018,86982647.2272315,2284672.74359107,7.3276022152,50937379.3756375
2019,84289359.6061653,2164385.76397803,6.7788318892,47359587.9850419
2020,94628219.2311381,2503890.45079405,7.1063111118,49936532.0631759
2021,,,,
2022,,,,
