,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2003-1,45629451.73015587,2151916.7490467816,16.20317859675067,39575454.63772257
2003-2,45687062.683157764,2153542.42981092,16.206131093408896,39591552.76691136
2003-3,45744673.636159666,2155168.1105750576,16.209083590067124,39607650.89610015
2003-4,45802284.58916156,2156793.791339196,16.212036086725348,39623749.02528894
2003-5,45859895.542163454,2158419.472103334,16.214988583383573,39639847.15447773
2003-6,45917506.495165356,2160045.152867472,16.217941080041797,39655945.28366652
2003-7,45975117.44816725,2161670.83363161,16.22089357670002,39672043.41285531
2003-8,46032728.40116914,2163296.5143957483,16.22384607335825,39688141.54204411
2003-9,46090339.354171045,2164922.195159886,16.226798570016474,39704239.6712329
2003-10,46147950.30717294,2166547.8759240243,16.229751066674698,39720337.80042169
2003-11,46205561.26017483,2168173.5566881625,16.232703563332926,39736435.92961048
2003-12,46263172.213176735,2169799.2374523003,16.23565605999115,39752534.058799274
2004-1,46320783.16617863,2171424.9182164385,16.238608556649375,39768632.187988065
2004-2,46377677.8994653,2172767.193140152,16.243263336617684,39786790.0351558
2004-3,46434572.63275197,2174109.468063866,16.247918116585996,39804947.88232355
2004-4,46491467.36603865,2175451.742987579,16.252572896554305,39823105.729491286
2004-5,46548362.09932532,2176794.017911293,16.257227676522614,39841263.576659024
2004-6,46605256.83261199,2178136.2928350065,16.261882456490927,39859421.42382677
2004-7,46662151.56589867,2179478.5677587204,16.266537236459236,39877579.27099451
2004-8,46719046.29918534,2180820.842682434,16.271192016427545,39895737.118162245
2004-9,46775941.032472014,2182163.117606147,16.275846796395857,39913894.96532999
2004-10,46832835.765758686,2183505.392529861,16.280501576364166,39932052.81249773
2004-11,46889730.49904536,2184847.6674535745,16.285156356332475,39950210.659665465
2004-12,46946625.232332036,2186189.9423772884,16.289811136300788,39968368.50683321
2005-1,47003519.96561871,2187532.217301002,16.294465916269097,39986526.35400095
2005-2,47061875.45095291,2189445.128363326,16.301790985016837,40009886.17135156
2005-3,47120230.93628712,2191358.039425651,16.309116053764576,40033245.98870218
2005-4,47178586.42162132,2193270.9504879755,16.316441122512316,40056605.80605279
2005-5,47236941.90695553,2195183.8615503,16.323766191260052,40079965.6234034
2005-6,47295297.392289735,2197096.772612625,16.331091260007792,40103325.44075401
2005-7,47353652.877623945,2199009.683674949,16.33841632875553,40126685.25810462
2005-8,47412008.36295815,2200922.5947372736,16.34574139750327,40150045.07545524
2005-9,47470363.84829235,2202835.5057995985,16.35306646625101,40173404.89280585
2005-10,47528719.33362656,2204748.416861923,16.360391534998747,40196764.71015646
2005-11,47587074.81896076,2206661.3279242474,16.367716603746487,40220124.52750708
