,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2003-1,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205
2003-2,60927684.677836455,2672687.8562078546,16.83596698577614,51216138.624452904
2003-3,61009725.58978851,2674787.8702297453,16.840601831531448,51242821.79238376
2003-4,61091766.501740575,2676887.8842516365,16.845236677286756,51269504.96031462
2003-5,61173807.41369263,2678987.898273527,16.849871523042065,51296188.128245465
2003-6,61255848.32564469,2681087.912295418,16.854506368797374,51322871.29617632
2003-7,61337889.23759674,2683187.9263173086,16.859141214552686,51349554.46410718
2003-8,61419930.1495488,2685287.9403391993,16.863776060307995,51376237.632038034
2003-9,61501971.061500855,2687387.95436109,16.868410906063303,51402920.79996889
2003-10,61584011.97345291,2689487.9683829807,16.873045751818612,51429603.96789974
2003-11,61666052.885404974,2691587.982404872,16.87768059757392,51456287.135830596
2003-12,61748093.79735703,2693687.9964267625,16.88231544332923,51482970.30376145
2004-1,61830134.709309086,2695788.0104486533,16.886950289084538,51509653.47169231
2004-2,61901512.79769086,2696869.8809734993,16.88788761107617,51523381.57444141
2004-3,61972890.88607263,2697951.751498345,16.888824933067802,51537109.67719052
2004-4,62044268.9744544,2699033.622023191,16.889762255059438,51550837.77993962
2004-5,62115647.06283617,2700115.492548037,16.89069957705107,51564565.88268872
2004-6,62187025.151217945,2701197.3630728824,16.8916368990427,51578293.98543783
2004-7,62258403.23959972,2702279.2335977284,16.892574221034334,51592022.088186935
2004-8,62329781.32798149,2703361.1041225744,16.893511543025966,51605750.19093604
2004-9,62401159.41636326,2704442.97464742,16.894448865017598,51619478.293685146
2004-10,62472537.50474503,2705524.845172266,16.89538618700923,51633206.39643425
2004-11,62543915.5931268,2706606.715697112,16.896323509000865,51646934.49918335
2004-12,62615293.68150857,2707688.5862219576,16.897260830992497,51660662.60193246
2005-1,62686671.769890346,2708770.4567468036,16.89819815298413,51674390.70468156
2005-2,62758278.6811048,2710963.8519478473,16.901459275128612,51692971.363897465
2005-3,62829885.592319265,2713157.247148891,16.904720397273096,51711552.02311337
2005-4,62901492.50353372,2715350.6423499347,16.90798151941758,51730132.682329275
2005-5,62973099.41474818,2717544.0375509784,16.911242641562062,51748713.34154518
2005-6,63044706.32596264,2719737.432752022,16.914503763706545,51767294.000761084
2005-7,63116313.2371771,2721930.8279530657,16.917764885851028,51785874.65997699
2005-8,63187920.14839155,2724124.22315411,16.921026007995508,51804455.3191929
2005-9,63259527.059606016,2726317.6183551536,16.92428713013999,51823035.978408806
2005-10,63331133.97082047,2728511.0135561973,16.927548252284474,51841616.63762471
