,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2003-1,293775203.7644595,17250773.822793443,14.096054158781323,275911748.70698357
2003-2,294147980.8001445,17269592.65609134,14.102603076736544,276064795.0573721
2003-3,294520757.8358295,17288411.489389233,14.109151994691768,276217841.4077607
2003-4,294893534.8715145,17307230.32268713,14.11570091264699,276370887.75814927
2003-5,295266311.9071995,17326049.155985028,14.122249830602211,276523934.1085378
2003-6,295639088.9428845,17344867.98928292,14.128798748557434,276676980.4589263
2003-7,296011865.9785695,17363686.822580818,14.135347666512656,276830026.8093149
2003-8,296384643.01425457,17382505.655878715,14.141896584467878,276983073.1597035
2003-9,296757420.0499396,17401324.48917661,14.148445502423101,277136119.510092
2003-10,297130197.0856246,17420143.322474506,14.154994420378323,277289165.86048055
2003-11,297502974.1213096,17438962.155772403,14.161543338333544,277442212.21086913
2003-12,297875751.1569946,17457780.989070296,14.168092256288768,277595258.5612577
2004-1,298248528.1926796,17476599.822368193,14.17464117424399,277748304.91164625
2004-2,298575535.0132668,17495129.96878153,14.179117527539919,277852009.83589906
2004-3,298902541.833854,17513660.11519487,14.183593880835849,277955714.7601519
2004-4,299229548.65444124,17532190.261608206,14.188070234131779,278059419.68440473
2004-5,299556555.4750285,17550720.408021543,14.192546587427708,278163124.6086576
2004-6,299883562.29561573,17569250.55443488,14.197022940723638,278266829.5329104
2004-7,300210569.11620295,17587780.70084822,14.20149929401957,278370534.4571632
2004-8,300537575.93679017,17606310.84726156,14.2059756473155,278474239.3814161
2004-9,300864582.7573774,17624840.993674897,14.21045200061143,278577944.3056689
2004-10,301191589.57796466,17643371.140088234,14.214928353907359,278681649.22992176
2004-11,301518596.3985519,17661901.28650157,14.219404707203289,278785354.15417457
2004-12,301845603.2191391,17680431.43291491,14.223881060499219,278889059.07842743
2005-1,302172610.0397263,17698961.579328246,14.228357413795148,278992764.00268024
2005-2,302481092.913293,17717216.656849656,14.233077391390532,279095133.30425435
2005-3,302789575.78685975,17735471.734371066,14.237797368985916,279197502.6058284
2005-4,303098058.66042644,17753726.811892472,14.242517346581302,279299871.9074025
2005-5,303406541.5339932,17771981.889413882,14.247237324176686,279402241.2089766
2005-6,303715024.4075599,17790236.966935292,14.25195730177207,279504610.5105507
2005-7,304023507.2811266,17808492.044456698,14.256677279367453,279606979.8121248
2005-8,304331990.1546933,17826747.121978108,14.261397256962837,279709349.1136989
2005-9,304640473.02826,17845002.199499518,14.266117234558221,279811718.41527295
2005-10,304948955.90182674,17863257.277020928,14.270837212153605,279914087.71684706
2005-11,305257438.7753934,17881512.354542337,14.27555718974899,280016457.0184212
2005-12,305565921.6489602,17899767.432063743,14.280277167344375,280118826.3199952
2006-1,305874404.52252686,17918022.509585153,14.284997144939759,280221195.62156934
2006-2,306141880.6337145,17937050.857975777,14.288432122442916,280292402.0579944
2006-3,306409356.7449022,17956079.206366405,14.291867099946073,280363608.4944195
2006-4,306676832.85608983,17975107.55475703,14.29530207744923,280434814.9308446
2006-5,306944308.9672775,17994135.903147656,14.298737054952388,280506021.3672697
2006-6,307211785.07846516,18013164.25153828,14.302172032455545,280577227.8036948
2006-7,307479261.1896528,18032192.599928908,14.305607009958702,280648434.2401199
2006-8,307746737.3008405,18051220.948319532,14.30904198746186,280719640.67654496
2006-9,308014213.41202813,18070249.296710156,14.312476964965017,280790847.11297005
2006-10,308281689.52321583,18089277.645100784,14.315911942468174,280862053.54939514
2006-11,308549165.63440347,18108305.993491407,14.319346919971332,280933259.98582023
2006-12,308816641.74559116,18127334.341882035,14.322781897474488,281004466.4222453
2007-1,309084117.8567788,18146362.69027266,14.326216874977646,281075672.8586704
2007-2,309306805.1128719,18160090.20487853,14.328266178646896,281116024.21274817
2007-3,309529492.36896497,18173817.719484407,14.330315482316145,281156375.566826
2007-4,309752179.62505805,18187545.23409028,14.332364785985394,281196726.9209038
2007-5,309974866.88115114,18201272.748696152,14.334414089654643,281237078.27498156
2007-6,310197554.1372442,18215000.26330203,14.336463393323893,281277429.6290593
2007-7,310420241.3933373,18228727.7779079,14.338512696993142,281317780.98313713
2007-8,310642928.6494304,18242455.292513773,14.340562000662391,281358132.33721495
2007-9,310865615.9055235,18256182.80711965,14.34261130433164,281398483.6912927
2007-10,311088303.16161656,18269910.32172552,14.34466060800089,281438835.04537046
2007-11,311310990.41770965,18283637.836331394,14.346709911670139,281479186.3994483
2007-12,311533677.67380273,18297365.35093727,14.348759215339388,281519537.7535261
2008-1,311756364.9298958,18311092.865543142,14.350808519008638,281559889.10760385
2008-2,311915110.2315776,18327748.66316032,14.351510304941552,281566572.8438052
2008-3,312073855.53325933,18344404.4607775,14.352212090874465,281573256.58000654
2008-4,312232600.8349411,18361060.25839468,14.352913876807378,281579940.3162079
2008-5,312391346.13662285,18377716.05601186,14.353615662740292,281586624.05240923
2008-6,312550091.4383046,18394371.853629038,14.354317448673207,281593307.7886106
2008-7,312708836.73998636,18411027.65124622,14.35501923460612,281599991.524812
2008-8,312867582.0416681,18427683.4488634,14.355721020539033,281606675.2610133
2008-9,313026327.3433499,18444339.246480577,14.356422806471947,281613358.9972147
2008-10,313185072.64503163,18460995.044097755,14.357124592404862,281620042.733416
2008-11,313343817.9467134,18477650.841714934,14.357826378337775,281626726.46961737
2008-12,313502563.24839514,18494306.639332116,14.358528164270687,281633410.2058187
2009-1,313661308.5500769,18510962.436949294,14.359229950203602,281640093.94202006
2009-2,314324636.73640686,18512890.642456662,14.36431580360215,281793594.1399811
2009-3,314987964.9227368,18514818.847964033,14.369401657000697,281947094.3379422
2009-4,315651293.1090668,18516747.0534714,14.374487510399245,282100594.5359032
2009-5,316314621.29539675,18518675.258978773,14.379573363797792,282254094.73386425
2009-6,316977949.4817267,18520603.46448614,14.38465921719634,282407594.93182534
2009-7,317641277.66805667,18522531.669993512,14.389745070594888,282561095.1297864
2009-8,318304605.8543866,18524459.87550088,14.394830923993434,282714595.3277474
2009-9,318967934.0407166,18526388.081008248,14.399916777391981,282868095.5257085
2009-10,319631262.22704655,18528316.28651562,14.405002630790529,283021595.7236695
2009-11,320294590.4133765,18530244.492022987,14.410088484189076,283175095.92163056
2009-12,320957918.5997065,18532172.69753036,14.415174337587624,283328596.11959165
2010-1,321621246.78603643,18534100.903037727,14.420260190986172,283482096.3175527
2010-2,322185769.06893575,18530957.72490617,14.421797486506776,283558993.91709006
2010-3,322750291.35183513,18527814.546774615,14.42333478202738,283635891.51662743
2010-4,323314813.63473445,18524671.368643057,14.424872077547985,283712789.11616474
2010-5,323879335.91763383,18521528.190511502,14.42640937306859,283789686.7157021
2010-6,324443858.20053315,18518385.012379944,14.427946668589195,283866584.3152395
2010-7,325008380.48343253,18515241.834248386,14.4294839641098,283943481.9147768
2010-8,325572902.76633185,18512098.656116832,14.431021259630404,284020379.5143142
2010-9,326137425.0492312,18508955.477985274,14.432558555151008,284097277.11385155
2010-10,326701947.33213055,18505812.29985372,14.434095850671614,284174174.7133889
2010-11,327266469.6150299,18502669.12172216,14.435633146192218,284251072.3129263
2010-12,327830991.89792925,18499525.943590607,14.437170441712823,284327969.9124636
2011-1,328395514.1808286,18496382.76545905,14.438707737233427,284404867.512001
2011-2,328871739.6874795,18487733.554509327,14.437147536617323,284433833.4223299
2011-3,329347965.19413036,18479084.343559604,14.43558733600122,284462799.33265877
2011-4,329824190.7007812,18470435.13260988,14.434027135385115,284491765.2429877
2011-5,330300416.20743215,18461785.921660155,14.43246693476901,284520731.1533166
2011-6,330776641.7140831,18453136.710710432,14.430906734152908,284549697.0636455
2011-7,331252867.22073394,18444487.49976071,14.429346533536803,284578662.9739744
2011-8,331729092.7273848,18435838.288810987,14.427786332920698,284607628.88430333
2011-9,332205318.23403573,18427189.077861264,14.426226132304595,284636594.7946322
2011-10,332681543.74068666,18418539.866911538,14.42466593168849,284665560.7049611
2011-11,333157769.2473375,18409890.655961815,14.423105731072386,284694526.61529005
2011-12,333633994.7539884,18401241.445012093,14.421545530456283,284723492.5256189
2012-1,334110220.2606393,18392592.23406237,14.419985329840179,284752458.43594784
2012-2,334502758.07823217,18377091.756028537,14.417243178896332,284752293.98274803
2012-3,334895295.895825,18361591.277994704,14.414501027952486,284752129.5295483
2012-4,335287833.71341795,18346090.799960867,14.411758877008639,284751965.0763485
2012-5,335680371.5310108,18330590.321927033,14.409016726064793,284751800.6231487
2012-6,336072909.34860367,18315089.8438932,14.406274575120946,284751636.16994894
2012-7,336465447.1661966,18299589.365859367,14.4035324241771,284751471.71674913
2012-8,336857984.98378944,18284088.887825534,14.400790273233254,284751307.2635493
2012-9,337250522.8013823,18268588.4097917,14.398048122289406,284751142.8103496
2012-10,337643060.61897516,18253087.931757867,14.395305971345561,284750978.3571498
2012-11,338035598.436568,18237587.45372403,14.392563820401714,284750813.90395
2012-12,338428136.25416094,18222086.975690197,14.389821669457868,284750649.45075023
2013-1,338820674.0717538,18206586.497656364,14.387079518514021,284750484.9975504
2013-2,339106217.67279357,18187689.82945427,14.384064816199487,284712459.10304224
2013-3,339391761.27383333,18168793.16125218,14.381050113884953,284674433.20853406
2013-4,339677304.8748731,18149896.493050084,14.37803541157042,284636407.3140259
2013-5,339962848.47591287,18130999.824847993,14.375020709255883,284598381.4195177
2013-6,340248392.07695264,18112103.156645898,14.37200600694135,284560355.5250095
2013-7,340533935.6779924,18093206.488443807,14.368991304626816,284522329.6305013
2013-8,340819479.2790322,18074309.820241712,14.365976602312282,284484303.7359931
2013-9,341105022.88007194,18055413.152039617,14.362961899997748,284446277.8414849
2013-10,341390566.4811117,18036516.483837526,14.359947197683212,284408251.9469767
2013-11,341676110.0821515,18017619.81563543,14.356932495368678,284370226.05246854
2013-12,341961653.68319124,17998723.14743334,14.353917793054144,284332200.15796036
2014-1,342247197.284231,17979826.479231246,14.35090309073961,284294174.2634522
2014-2,342454090.15223575,17960617.606002823,14.348386750391656,284256954.2182994
2014-3,342660983.0202405,17941408.7327744,14.345870410043702,284219734.1731466
2014-4,342867875.8882452,17922199.85954598,14.34335406969575,284182514.1279938
2014-5,343074768.75624996,17902990.986317556,14.340837729347795,284145294.082841
2014-6,343281661.6242547,17883782.113089133,14.33832138899984,284108074.0376882
2014-7,343488554.49225944,17864573.239860713,14.335805048651887,284070853.9925354
2014-8,343695447.3602642,17845364.36663229,14.333288708303932,284033633.9473826
2014-9,343902340.2282689,17826155.493403867,14.330772367955978,283996413.90222985
2014-10,344109233.09627366,17806946.620175444,14.328256027608024,283959193.857077
2014-11,344316125.9642784,17787737.74694702,14.325739687260072,283921973.8119242
2014-12,344523018.83228314,17768528.8737186,14.323223346912117,283884753.76677144
2015-1,344729911.7002879,17749320.000490177,14.320707006564163,283847533.72161865
2015-2,344908316.3180367,17739457.620241467,14.32075148353989,283853896.06280667
2015-3,345086720.9357854,17729595.239992753,14.320795960515616,283860258.4039947
2015-4,345265125.5535342,17719732.859744042,14.320840437491341,283866620.74518275
2015-5,345443530.17128295,17709870.47949533,14.320884914467069,283872983.08637077
2015-6,345621934.78903174,17700008.099246617,14.320929391442796,283879345.4275588
2015-7,345800339.4067805,17690145.718997907,14.320973868418521,283885707.76874685
2015-8,345978744.0245293,17680283.338749196,14.321018345394247,283892070.10993487
2015-9,346157148.6422781,17670420.958500482,14.321062822369974,283898432.4511229
2015-10,346335553.2600268,17660558.57825177,14.321107299345702,283904794.7923109
2015-11,346513957.8777756,17650696.19800306,14.321151776321427,283911157.1334989
2015-12,346692362.49552435,17640833.817754347,14.321196253297153,283917519.474687
2016-1,346870767.11327314,17630971.437505636,14.32124073027288,283923881.815875
2016-2,346967062.6852042,17628115.44250964,14.322733105964616,283950351.65633225
2016-3,347063358.2571353,17625259.44751364,14.324225481656352,283976821.49678946
2016-4,347159653.82906634,17622403.452517644,14.32571785734809,284003291.3372467
2016-5,347255949.4009974,17619547.457521647,14.327210233039827,284029761.1777039
2016-6,347352244.97292846,17616691.46252565,14.328702608731563,284056231.0181612
2016-7,347448540.5448595,17613835.467529655,14.3301949844233,284082700.8586184
2016-8,347544836.1167906,17610979.472533654,14.331687360115037,284109170.69907564
2016-9,347641131.68872166,17608123.477537658,14.333179735806773,284135640.5395329
2016-10,347737427.2606527,17605267.48254166,14.33467211149851,284162110.3799901
2016-11,347833722.8325838,17602411.48754566,14.336164487190246,284188580.22044736
2016-12,347930018.40451485,17599555.492549665,14.337656862881984,284215050.06090456
2017-1,348026313.9764459,17596699.49755367,14.33914923857372,284241519.9013618
2017-2,348012150.6485423,17601849.29772406,14.340056251951149,284245167.4571347
2017-3,347997987.3206387,17606999.097894453,14.340963265328575,284248815.0129076
2017-4,347983823.9927351,17612148.898064844,14.341870278706004,284252462.5686806
2017-5,347969660.6648315,17617298.69823524,14.342777292083431,284256110.1244535
2017-6,347955497.3369279,17622448.49840563,14.34368430546086,284259757.6802264
2017-7,347941334.00902426,17627598.298576023,14.344591318838287,284263405.23599935
2017-8,347927170.6811207,17632748.098746415,14.345498332215715,284267052.79177225
2017-9,347913007.35321707,17637897.898916807,14.346405345593144,284270700.34754515
2017-10,347898844.0253135,17643047.699087203,14.347312358970571,284274347.90331805
2017-11,347884680.69740987,17648197.499257594,14.348219372348,284277995.45909095
2017-12,347870517.3695063,17653347.299427986,14.349126385725427,284281643.0148639
2018-1,347856354.0416027,17658497.099598378,14.350033399102855,284285290.5706368
2018-2,347693302.5170495,17664170.105247606,14.349208605675615,284260580.70301366
2018-3,347530250.9924964,17669843.110896833,14.348383812248375,284235870.83539045
2018-4,347367199.4679432,17675516.11654606,14.347559018821137,284211160.9677673
2018-5,347204147.9433901,17681189.12219529,14.346734225393897,284186451.10014415
2018-6,347041096.4188369,17686862.127844516,14.345909431966657,284161741.232521
2018-7,346878044.8942838,17692535.133493744,14.345084638539417,284137031.36489785
2018-8,346714993.3697306,17698208.139142975,14.344259845112177,284112321.49727464
2018-9,346551941.8451774,17703881.144792203,14.343435051684937,284087611.6296515
2018-10,346388890.3206243,17709554.15044143,14.342610258257697,284062901.76202834
2018-11,346225838.7960711,17715227.15609066,14.341785464830458,284038191.8944051
2018-12,346062787.271518,17720900.161739886,14.340960671403218,284013482.026782
2019-1,345899735.7469648,17726573.167389113,14.340135877975978,283988772.1591588
2019-2,345570372.8878732,17729778.60762516,14.338446257007723,283935006.45038295
2019-3,345241010.0287816,17732984.047861207,14.336756636039468,283881240.74160707
2019-4,344911647.16968995,17736189.488097254,14.33506701507121,283827475.03283113
2019-5,344582284.3105983,17739394.9283333,14.333377394102955,283773709.32405525
2019-6,344252921.45150673,17742600.368569348,14.3316877731347,283719943.6152794
2019-7,343923558.5924151,17745805.80880539,14.329998152166443,283666177.90650344
2019-8,343594195.73332345,17749011.249041438,14.328308531198187,283612412.19772756
2019-9,343264832.8742319,17752216.689277485,14.326618910229932,283558646.4889517
2019-10,342935470.01514024,17755422.129513532,14.324929289261677,283504880.7801758
2019-11,342606107.1560486,17758627.56974958,14.323239668293422,283451115.0713999
2019-12,342276744.296957,17761833.009985626,14.321550047325164,283397349.362624
2020-1,341947381.4378654,17765038.450221673,14.31986042635691,283343583.6538481
2020-2,341436993.46246994,17766313.159325723,14.318719317789913,283287845.2305606
2020-3,340926605.4870745,17767587.868429773,14.317578209222916,283232106.8072731
2020-4,340416217.51167905,17768862.577533826,14.316437100655918,283176368.3839856
2020-5,339905829.5362837,17770137.286637876,14.315295992088922,283120629.96069807
2020-6,339395441.56088823,17771411.995741926,14.314154883521926,283064891.53741056
2020-7,338885053.5854928,17772686.704845976,14.313013774954928,283009153.114123
2020-8,338374665.61009735,17773961.413950026,14.31187266638793,282953414.6908355
2020-9,337864277.6347019,17775236.123054076,14.310731557820935,282897676.26754797
2020-10,337353889.6593065,17776510.832158126,14.309590449253939,282841937.84426045
2020-11,336843501.6839111,17777785.54126218,14.308449340686941,282786199.42097294
2020-12,336333113.70851564,17779060.25036623,14.307308232119944,282730460.99768543
2021-1,335822725.7331202,17780334.95947028,14.306167123552948,282674722.5743979
2021-2,335203619.87356526,17782693.358975064,14.304759009792866,282604711.2262347
2021-3,334584514.0140103,17785051.758479845,14.303350896032784,282534699.8780714
2021-4,333965408.1544553,17787410.15798463,14.301942782272704,282464688.52990824
2021-5,333346302.29490036,17789768.55748941,14.300534668512622,282394677.181745
2021-6,332727196.4353454,17792126.956994195,14.29912655475254,282324665.83358175
2021-7,332108090.5757904,17794485.35649898,14.297718440992458,282254654.48541856
2021-8,331488984.71623546,17796843.75600376,14.296310327232376,282184643.1372553
2021-9,330869878.8566805,17799202.155508544,14.294902213472295,282114631.78909206
2021-10,330250772.99712557,17801560.555013325,14.293494099712213,282044620.4409288
2021-11,329631667.1375706,17803918.95451811,14.292085985952133,281974609.09276557
2021-12,329012561.2780156,17806277.35402289,14.29067787219205,281904597.7446024
2022-1,328393455.41846067,17808635.753527675,14.289269758431969,281834586.39643914
