,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
2003-1,77760914.28509438,4250430.443856791,9.22037367936359,68512688.76315014
2003-2,77871814.07814074,4255475.613307242,9.225492897721185,68563647.58004242
2003-3,77982713.8711871,4260520.782757694,9.230612116078781,68614606.3969347
2003-4,78093613.66423346,4265565.9522081455,9.235731334436377,68665565.21382698
2003-5,78204513.45727982,4270611.121658597,9.240850552793972,68716524.03071925
2003-6,78315413.25032619,4275656.291109049,9.245969771151568,68767482.84761153
2003-7,78426313.04337254,4280701.4605595,9.251088989509164,68818441.66450381
2003-8,78537212.8364189,4285746.630009953,9.256208207866758,68869400.4813961
2003-9,78648112.62946527,4290791.799460405,9.261327426224353,68920359.29828838
2003-10,78759012.42251162,4295836.968910856,9.266446644581949,68971318.11518064
2003-11,78869912.21555798,4300882.138361308,9.271565862939545,69022276.93207292
2003-12,78980812.00860435,4305927.307811759,9.27668508129714,69073235.7489652
2004-1,79091711.8016507,4310972.477262211,9.281804299654736,69124194.56585748
2004-2,79190762.84888156,4314122.166853284,9.28537634361933,69160817.56247368
2004-3,79289813.89611243,4317271.856444357,9.288948387583924,69197440.55908987
2004-4,79388864.94334328,4320421.54603543,9.292520431548517,69234063.55570607
2004-5,79487915.99057415,4323571.235626504,9.296092475513111,69270686.55232227
2004-6,79586967.037805,4326720.925217576,9.299664519477705,69307309.54893845
2004-7,79686018.08503586,4329870.61480865,9.303236563442299,69343932.54555465
2004-8,79785069.13226673,4333020.304399723,9.306808607406893,69380555.54217085
2004-9,79884120.17949758,4336169.993990796,9.310380651371487,69417178.53878704
2004-10,79983171.22672845,4339319.683581869,9.31395269533608,69453801.53540324
2004-11,80082222.27395931,4342469.373172943,9.317524739300675,69490424.53201944
2004-12,80181273.32119018,4345619.062764015,9.321096783265268,69527047.52863562
2005-1,80280324.36842103,4348768.7523550885,9.324668827229862,69563670.52525182
2005-2,80376265.66058558,4352206.817049332,9.328586002207778,69600987.07536355
2005-3,80472206.95275015,4355644.8817435745,9.332503177185695,69638303.62547526
2005-4,80568148.2449147,4359082.946437818,9.33642035216361,69675620.17558698
2005-5,80664089.53707926,4362521.0111320615,9.340337527141527,69712936.7256987
2005-6,80760030.82924381,4365959.075826305,9.344254702119443,69750253.27581042
2005-7,80855972.12140837,4369397.140520548,9.34817187709736,69787569.82592213
2005-8,80951913.41357292,4372835.205214791,9.352089052075277,69824886.37603386
2005-9,81047854.70573747,4376273.2699090345,9.356006227053193,69862202.92614558
2005-10,81143795.99790204,4379711.334603278,9.359923402031109,69899519.4762573
2005-11,81239737.29006658,4383149.3992975205,9.363840577009025,69936836.02636902
2005-12,81335678.58223115,4386587.463991764,9.367757751986941,69974152.57648073
2006-1,81431619.8743957,4390025.5286860075,9.371674926964857,70011469.12659246
2006-2,81519676.60746151,4393908.878896828,9.375076437965438,70043055.6764366
2006-3,81607733.34052731,4397792.229107648,9.378477948966019,70074642.22628075
2006-4,81695790.07359311,4401675.579318468,9.3818794599666,70106228.7761249
