,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2003-1,202714699.84994662,10606121.842161782,17.589536438314145,185178799.44847873
2003-2,202947665.4142885,10615969.641362855,17.592547588314833,185232581.42679504
2003-3,203180630.97863036,10625817.440563928,17.59555873831552,185286363.4051113
2003-4,203413596.54297224,10635665.239765001,17.598569888316213,185340145.38342762
2003-5,203646562.1073141,10645513.038966075,17.6015810383169,185393927.36174393
2003-6,203879527.67165598,10655360.838167148,17.60459218831759,185447709.3400602
2003-7,204112493.23599786,10665208.63736822,17.607603338318278,185501491.3183765
2003-8,204345458.80033976,10675056.436569294,17.610614488318966,185555273.29669282
2003-9,204578424.36468163,10684904.235770367,17.613625638319654,185609055.2750091
2003-10,204811389.9290235,10694752.03497144,17.616636788320342,185662837.2533254
2003-11,205044355.49336538,10704599.834172513,17.619647938321034,185716619.2316417
2003-12,205277321.05770725,10714447.633373586,17.622659088321722,185770401.209958
2004-1,205510286.62204912,10724295.43257466,17.62567023832241,185824183.1882743
2004-2,205724769.178733,10734030.447113454,17.62831045660645,185866691.01920497
2004-3,205939251.73541686,10743765.46165225,17.630950674890492,185909198.85013568
2004-4,206153734.29210073,10753500.476191044,17.63359089317453,185951706.68106636
2004-5,206368216.8487846,10763235.490729837,17.63623111145857,185994214.51199707
2004-6,206582699.40546846,10772970.505268632,17.638871329742614,186036722.34292775
2004-7,206797181.96215233,10782705.519807426,17.641511548026653,186079230.17385846
2004-8,207011664.5188362,10792440.534346221,17.644151766310692,186121738.00478914
2004-9,207226147.07552007,10802175.548885016,17.646791984594735,186164245.83571982
2004-10,207440629.63220394,10811910.563423809,17.649432202878774,186206753.66665053
2004-11,207655112.1888878,10821645.577962603,17.652072421162813,186249261.4975812
2004-12,207869594.74557167,10831380.592501398,17.654712639446856,186291769.32851192
2005-1,208084077.30225554,10841115.607040193,17.657352857730896,186334277.1594426
2005-2,208297820.81510973,10851846.42433142,17.662071971612324,186393969.5195058
2005-3,208511564.3279639,10862577.241622645,17.66679108549375,186453661.879569
2005-4,208725307.84081808,10873308.058913872,17.671510199375177,186513354.2396322
2005-5,208939051.35367227,10884038.876205098,17.676229313256606,186573046.59969538
2005-6,209152794.86652642,10894769.693496324,17.68094842713803,186632738.95975858
2005-7,209366538.3793806,10905500.51078755,17.68566754101946,186692431.31982177
2005-8,209580281.8922348,10916231.328078778,17.690386654900887,186752123.67988497
2005-9,209794025.40508896,10926962.145370005,17.695105768782312,186811816.03994817
2005-10,210007768.91794315,10937692.962661231,17.69982488266374,186871508.40001136
2005-11,210221512.43079734,10948423.779952457,17.70454399654517,186931200.76007456
2005-12,210435255.9436515,10959154.597243683,17.709263110426594,186990893.12013775
2006-1,210648999.4565057,10969885.41453491,17.713982224308022,187050585.48020095
2006-2,210848999.67661154,10982471.80386901,17.718855773893786,187107894.75087872
2006-3,211048999.89671737,10995058.193203114,17.72372932347955,187165204.0215565
2006-4,211249000.11682323,11007644.582537215,17.728602873065313,187222513.29223427
2006-5,211449000.33692908,11020230.971871316,17.733476422651076,187279822.56291205
2006-6,211649000.5570349,11032817.361205418,17.73834997223684,187337131.83358982
2006-7,211849000.77714077,11045403.750539519,17.7432235218226,187394441.1042676
2006-8,212049000.99724662,11057990.139873622,17.748097071408363,187451750.37494537
2006-9,212249001.21735245,11070576.529207723,17.752970620994127,187509059.64562315
2006-10,212449001.4374583,11083162.918541824,17.75784417057989,187566368.91630092
2006-11,212649001.65756416,11095749.307875928,17.762717720165654,187623678.1869787
2006-12,212849001.87767,11108335.697210029,17.767591269751417,187680987.45765647
2007-1,213049002.09777585,11120922.08654413,17.77246481933718,187738296.72833425
2007-2,213200502.91509667,11129874.545382198,17.773171764796693,187750416.56422064
2007-3,213352003.73241746,11138827.004220266,17.773878710256202,187762536.40010703
2007-4,213503504.5497383,11147779.463058334,17.774585655715715,187774656.2359934
2007-5,213655005.3670591,11156731.921896402,17.775292601175227,187786776.07187977
2007-6,213806506.18437994,11165684.38073447,17.775999546634736,187798895.90776616
2007-7,213958007.00170076,11174636.839572538,17.77670649209425,187811015.74365252
2007-8,214109507.81902155,11183589.298410604,17.77741343755376,187823135.5795389
2007-9,214261008.63634238,11192541.757248672,17.77812038301327,187835255.4154253
2007-10,214412509.4536632,11201494.21608674,17.778827328472783,187847375.2513117
2007-11,214564010.270984,11210446.674924808,17.779534273932295,187859495.08719808
2007-12,214715511.08830482,11219399.133762876,17.780241219391804,187871614.92308444
2008-1,214867011.90562564,11228351.592600944,17.780948164851317,187883734.75897083
2008-2,214988595.38903034,11236937.924836824,17.78152959598959,187888972.15527123
2008-3,215110178.87243503,11245524.257072706,17.782111027127858,187894209.55157164
2008-4,215231762.35583976,11254110.589308586,17.782692458266126,187899446.94787204
2008-5,215353345.83924446,11262696.921544466,17.7832738894044,187904684.34417245
2008-6,215474929.32264915,11271283.253780348,17.78385532054267,187909921.74047285
2008-7,215596512.80605388,11279869.586016228,17.78443675168094,187915159.1367733
2008-8,215718096.28945857,11288455.918252109,17.785018182819208,187920396.5330737
2008-9,215839679.77286327,11297042.25048799,17.78559961395748,187925633.9293741
2008-10,215961263.25626796,11305628.58272387,17.786181045095752,187930871.3256745
2008-11,216082846.73967266,11314214.914959751,17.78676247623402,187936108.7219749
2008-12,216204430.2230774,11322801.247195633,17.78734390737229,187941346.1182753
2009-1,216326013.70648208,11331387.579431513,17.78792533851056,187946583.51457572
2009-2,216787774.96955067,11335752.913501367,17.796098193918258,188066986.05085313
2009-3,217249536.23261926,11340118.24757122,17.804271049325955,188187388.58713058
2009-4,217711297.49568784,11344483.581641074,17.812443904733648,188307791.12340802
2009-5,218173058.75875646,11348848.91571093,17.820616760141345,188428193.65968543
2009-6,218634820.02182505,11353214.249780783,17.82878961554904,188548596.19596285
2009-7,219096581.28489363,11357579.583850637,17.83696247095674,188668998.7322403
2009-8,219558342.54796222,11361944.91792049,17.845135326364435,188789401.26851773
2009-9,220020103.8110308,11366310.251990344,17.85330818177213,188909803.80479515
2009-10,220481865.07409942,11370675.5860602,17.86148103717983,189030206.34107256
