Ano,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2008,214867011.90562564,11228351.592600944,17.780948164851317,187883734.75897083
2009,216326013.70648208,11331387.579431513,17.78792533851056,187946583.51457572
2010,221867148.86330518,11383771.58826976,17.885999603402915,189391413.94990486
2011,227056122.78758374,11385629.422915474,17.96728139975532,190636359.78104967
2012,231717518.80989543,11339145.610854072,18.01163568720999,191609101.14926162
2013,235826916.875404,11227418.721343923,18.040420192293745,192391706.35842136
2014,238653190.16595814,11152832.399210567,18.028051741470804,192477161.4292595
2015,241011146.07196587,11076859.551921524,18.0312699680029,192664815.58610743
2016,242434056.06099683,11013167.719868604,18.026716840513647,192691425.03747395
2017,242809992.2166834,10974425.088010183,18.022550246539215,192640575.23885068
2018,242335525.50877902,10978903.989619972,18.011593552422294,192427262.4027033
2019,240818538.91835043,10996421.914401019,17.986196805359967,192080819.62925968
2020,237872206.13995412,11020143.054357521,17.94401617163399,191446092.14180797
2021,233375613.03983587,11010481.766881905,17.909608480519122,190748351.90272447
2022,227930596.31416127,11006284.762307987,17.86592287055209,189871510.3422959
