Ano,Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
2003,82373814.66627769,5574893.494196955,8.646979080769697,75710612.08201192
2004,83660327.43040591,5640541.090985226,8.694752259163636,76235666.0163163
2005,84840329.09672928,5649536.467451517,8.733905830031098,76663190.59355809
2006,85944874.1815596,5677153.418559471,8.770881024513496,77057960.13733606
2007,86963791.13833153,5727692.602726186,8.804783933027009,77411555.76227796
2008,87856573.05100968,5769034.952635015,8.8344323363093,77682157.69513686
2009,88602156.78735705,5810149.3561840635,8.858244764833229,77903837.32680643
2010,90965261.12160322,5826469.262745963,8.909890356219025,78565121.68340674
2011,93018265.90401833,5792701.2501468025,8.937705877502246,78973432.71747497
2012,94842664.43499874,5717658.789069481,8.949260384099695,79269008.85795419
2013,96273859.77827625,5616791.797474629,8.939247663039144,79353982.46154746
2014,97336471.2872728,5498392.756728611,8.923226816922407,79295484.6066749
2015,97971546.80651258,5411869.962371622,8.896326232177124,79107501.17917758
2016,98490093.13329789,5357988.314887719,8.887508377316637,79055368.67406453
2017,98592943.95919713,5346246.998414343,8.88097875959812,78989208.65354753
2018,98118729.47859369,5353095.930209252,8.85819415291144,78730307.34663258
2019,97312609.48218264,5380332.111189747,8.835747014902552,78485059.58059466
2020,95898380.6600066,5418958.712434097,8.804547388200085,78117518.64668195
2021,94323183.0351473,5466622.334357633,8.803751991382804,77985363.78602375
2022,92402451.79425667,5522972.632077565,8.801472907359122,77808111.52093555
