Ano,Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
1985,0.012459969,3943688.3070913,5.6943341077,37528229.9147537
1986,0.035999888,5232372.62793637,6.1885479132,41352353.6743019
1987,0.111684991,4536130.83921697,7.0537259152,47770618.1196858
1988,0.767055875,4276670.86608061,6.8421852331,46943158.6612042
1989,10.75133568,5502320.90645023,6.2710216878,44339754.2544538
1990,307.093528,4070799.01450353,7.1120177709,50886814.3035233
1991,1742.172821,4779362.22294913,7.6022948865,55022225.0270075
1992,17090.33945,5387845.75928278,8.1343409574,59493707.5224424
1993,363539.7189,7177702.28382721,7.6374671584,56460884.8268376
1994,9038806.661,7099239.38742737,7.7735075062,58072337.63318
1995,16211814.71,6205759.4005354,7.9136046648,59729782.990915
1996,19997450.7,6358291.76978082,7.8568263036,59904874.9890418
1997,21989185.26,8175114.95220467,8.0221129848,61779455.3021031
1998,23270814.37,8298033.50745609,7.913072864,61538923.1377635
1999,24878853.99,7399709.97097192,7.857967819,61940667.0726144
2000,26959112.38,7489531.94352956,8.1086793007,64621925.0784965
2001,30245003.46,7061120.18994166,8.1521478663,65681553.7289993
2002,31157933.7170278,6375647.15097919,7.3215326382,59192153.3097255
2003,33486329.6294046,3080284.81624268,6.8315983018,55758562.5784463
2004,38820264.1101186,5298716.78526618,7.2069165662,59989732.081128
2005,42867615.873177,4600092.32534922,7.3288484397,61661947.929995
2006,47226029.8242262,3756664.42022434,7.482570501,63621326.389544
2007,53038078.4565618,4156683.30619068,7.6781446083,67128682.3136394
2008,59524391.06981,4206687.61777116,7.9295600524,69258331.6916936
2009,67890075.1913686,5420887.84108602,8.3548861601,73608685.92129
2010,82952491.61382,7149704.34155221,9.2316546672,82952491.61382
2011,93644413.1639467,8376554.80861333,9.7522478582,86452760.5517349
2012,108607671.72406,8874519.0276754,10.4006636286,92888618.0856542
2013,120895706.834561,8988015.51458599,10.4446699803,96180265.746986
2014,133320671.024656,7544699.23043295,10.6004449687,98348034.4982334
2015,134499615.190496,6204428.53555288,9.8702048125,92238771.5181327
2016,144025380.49972,4778597.55854777,9.7092614292,91367412.3607339
2017,156332011.085802,4239067.86081611,10.1014576591,95662408.3670085
2018,159521602.590386,3788455.41057079,9.9554779287,93416476.1452823
2019,168953198.279145,3660861.96141704,10.0591496482,94929584.1923818
2020,164769109.169615,3613778.69162758,9.1409479228,86950784.5537263
2021,,,,
2022,,,,
