,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado
2003-1,21360630.684192922,1358044.2713284844,6.061140951799438,18681487.00784765
2003-2,21391024.460593555,1359835.0997859696,6.065064519547902,18695064.532363348
2003-3,21421418.236994192,1361625.9282434548,6.068988087296366,18708642.056879044
2003-4,21451812.013394825,1363416.75670094,6.072911655044829,18722219.58139474
2003-5,21482205.78979546,1365207.5851584254,6.076835222793293,18735797.105910435
2003-6,21512599.56619609,1366998.4136159106,6.080758790541757,18749374.63042613
2003-7,21542993.342596725,1368789.2420733958,6.084682358290221,18762952.154941827
2003-8,21573387.11899736,1370580.070530881,6.088605926038685,18776529.679457527
2003-9,21603780.895397995,1372370.8989883661,6.092529493787149,18790107.203973223
2003-10,21634174.671798628,1374161.7274458515,6.0964530615356125,18803684.72848892
2003-11,21664568.448199265,1375952.5559033367,6.100376629284076,18817262.253004614
2003-12,21694962.224599898,1377743.384360822,6.10430019703254,18830839.77752031
2004-1,21725356.00100053,1379534.212818307,6.108223764781004,18844417.302036006
2004-2,21754623.83493575,1380884.6003969966,6.112081355902014,18857346.76466569
2004-3,21783891.66887097,1382234.987975686,6.115938947023025,18870276.227295373
2004-4,21813159.502806187,1383585.3755543754,6.119796538144037,18883205.689925056
2004-5,21842427.336741406,1384935.7631330648,6.123654129265048,18896135.15255474
2004-6,21871695.170676626,1386286.1507117543,6.1275117203860585,18909064.615184423
2004-7,21900963.004611842,1387636.5382904438,6.131369311507069,18921994.07781411
2004-8,21930230.838547062,1388986.9258691333,6.13522690262808,18934923.540443793
2004-9,21959498.672482282,1390337.3134478228,6.139084493749091,18947853.003073476
2004-10,21988766.5064175,1391687.7010265123,6.142942084870102,18960782.46570316
2004-11,22018034.34035272,1393038.0886052016,6.146799675991113,18973711.928332843
2004-12,22047302.174287938,1394388.476183891,6.150657267112124,18986641.390962526
2005-1,22076570.008223157,1395738.8637625806,6.154514858233135,18999570.85359221
2005-2,22104147.84641577,1396885.8637907088,6.1580442668939535,19011265.950702444
2005-3,22131725.68460838,1398032.863818837,6.161573675554772,19022961.04781268
2005-4,22159303.522800997,1399179.8638469654,6.165103084215589,19034656.144922916
2005-5,22186881.36099361,1400326.8638750936,6.168632492876408,19046351.24203315
2005-6,22214459.19918622,1401473.863903222,6.172161901537226,19058046.339143388
2005-7,22242037.037378833,1402620.8639313502,6.175691310198045,19069741.436253622
2005-8,22269614.875571445,1403767.8639594784,6.179220718858863,19081436.533363856
2005-9,22297192.713764057,1404914.8639876067,6.1827501275196814,19093131.630474094
2005-10,22324770.55195667,1406061.864015735,6.1862795361805,19104826.72758433
2005-11,22352348.390149284,1407208.8640438633,6.189808944841317,19116521.824694563
2005-12,22379926.228341896,1408355.8640719915,6.193338353502136,19128216.9218048
2006-1,22407504.066534508,1409502.8641001198,6.196867762162954,19139912.018915035
2006-2,22430553.775156684,1407904.0824317825,6.198881752784364,19146738.53551965
2006-3,22453603.483778864,1406305.300763445,6.200895743405774,19153565.05212426
2006-4,22476653.19240104,1404706.5190951077,6.202909734027184,19160391.56872888
2006-5,22499702.901023217,1403107.7374267702,6.204923724648594,19167218.085333493
2006-6,22522752.609645396,1401508.9557584329,6.206937715270004,19174044.601938106
2006-7,22545802.318267573,1399910.1740900953,6.208951705891414,19180871.118542723
2006-8,22568852.02688975,1398311.392421758,6.210965696512824,19187697.635147337
2006-9,22591901.73551193,1396712.6107534207,6.212979687134234,19194524.15175195
2006-10,22614951.444134105,1395113.8290850832,6.214993677755644,19201350.668356564
2006-11,22638001.15275628,1393515.047416746,6.217007668377054,19208177.184961177
2006-12,22661050.86137846,1391916.2657484084,6.219021658998464,19215003.701565795
2007-1,22684100.570000637,1390317.484080071,6.221035649619874,19221830.21817041
2007-2,22707222.35419526,1391154.2536366575,6.2237554158124615,19230286.10402596
2007-3,22730344.138389878,1391991.0231932441,6.226475182005049,19238741.989881516
2007-4,22753465.9225845,1392827.7927498305,6.229194948197636,19247197.875737067
2007-5,22776587.706779122,1393664.5623064172,6.231914714390223,19255653.761592623
2007-6,22799709.49097374,1394501.3318630036,6.234634480582811,19264109.647448175
2007-7,22822831.275168363,1395338.10141959,6.237354246775398,19272565.53330373
2007-8,22845953.059362985,1396174.8709761766,6.240074012967986,19281021.419159282
2007-9,22869074.843557604,1397011.640532763,6.242793779160573,19289477.305014834
2007-10,22892196.627752226,1397848.4100893496,6.245513545353161,19297933.19087039
2007-11,22915318.411946848,1398685.179645936,6.248233311545747,19306389.07672594
2007-12,22938440.196141466,1399521.9492025226,6.250953077738335,19314844.962581497
2008-1,22961561.98033609,1400358.718759109,6.253672843930922,19323300.84843705
2008-2,22980511.98976304,1401862.2377923185,6.255645010901824,19329136.71478616
2008-3,22999461.999189995,1403365.7568255279,6.257617177872724,19334972.581135273
2008-4,23018412.008616947,1404869.2758587375,6.259589344843626,19340808.447484385
2008-5,23037362.0180439,1406372.794891947,6.261561511814527,19346644.313833497
2008-6,23056312.027470853,1407876.3139251564,6.2635336787854285,19352480.18018261
2008-7,23075262.03689781,1409379.8329583658,6.26550584575633,19358316.046531722
2008-8,23094212.04632476,1410883.3519915752,6.2674780127272305,19364151.912880838
2008-9,23113162.05575171,1412386.8710247846,6.269450179698132,19369987.77922995
2008-10,23132112.065178666,1413890.390057994,6.271422346669033,19375823.645579062
2008-11,23151062.074605618,1415393.9090912037,6.273394513639934,19381659.511928175
2008-12,23170012.084032573,1416897.4281244131,6.275366680610835,19387495.378277287
2009-1,23188962.093459524,1418400.9471576225,6.277338847581737,19393331.2446264
2009-2,23244403.36398215,1420311.9939192499,6.2822809317576995,19411083.098365974
2009-3,23299844.634504773,1422223.040680877,6.287223015933662,19428834.952105552
2009-4,23355285.905027397,1424134.0874425042,6.292165100109625,19446586.805845127
2009-5,23410727.17555002,1426045.1342041316,6.297107184285588,19464338.6595847
2009-6,23466168.446072645,1427956.1809657589,6.302049268461551,19482090.513324276
2009-7,23521609.71659527,1429867.2277273862,6.306991352637514,19499842.36706385
2009-8,23577050.987117898,1431778.2744890132,6.311933436813476,19517594.22080343
