,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado
2003-1,358342991.36765146,18135342.363087524,22.143720290058155,347284638.94006354
2003-2,358744115.32596684,18141076.667382248,22.14922772432561,347405632.09867275
2003-3,359145239.28428227,18146810.97167697,22.15473515859306,347526625.2572819
2003-4,359546363.2425977,18152545.275971696,22.160242592860513,347647618.4158911
2003-5,359947487.2009131,18158279.580266416,22.165750027127963,347768611.5745003
2003-6,360348611.15922844,18164013.88456114,22.171257461395417,347889604.73310953
2003-7,360749735.1175439,18169748.188855864,22.17676489566287,348010597.89171875
2003-8,361150859.0758593,18175482.493150588,22.18227232993032,348131591.0503279
2003-9,361551983.0341747,18181216.797445312,22.187779764197774,348252584.2089371
2003-10,361953106.99249005,18186951.101740032,22.193287198465224,348373577.3675463
2003-11,362354230.9508055,18192685.406034756,22.198794632732678,348494570.5261555
2003-12,362755354.9091209,18198419.71032948,22.20430206700013,348615563.6847647
2004-1,363156478.8674363,18204154.014624204,22.209809501267582,348736556.8433739
2004-2,363514658.37355393,18206904.47934482,22.21397460719339,348824145.59373134
2004-3,363872837.8796716,18209654.94406543,22.218139713119193,348911734.34408885
2004-4,364231017.3857892,18212405.408786044,22.222304819045,348999323.0944463
2004-5,364589196.89190686,18215155.873506658,22.226469924970807,349086911.8448038
2004-6,364947376.3980245,18217906.33822727,22.23063503089661,349174500.59516126
2004-7,365305555.90414214,18220656.802947883,22.234800136822418,349262089.3455187
2004-8,365663735.41025984,18223407.267668497,22.238965242748225,349349678.0958762
2004-9,366021914.9163775,18226157.732389107,22.24313034867403,349437266.84623367
2004-10,366380094.4224951,18228908.19710972,22.247295454599836,349524855.5965912
2004-11,366738273.92861277,18231658.661830336,22.251460560525643,349612444.3469486
2004-12,367096453.4347304,18234409.126550946,22.255625666451447,349700033.09730613
2005-1,367454632.94084805,18237159.59127156,22.259790772377254,349787621.8476636
2005-2,367762562.17067367,18243468.346279897,22.262050621958124,349838518.0525191
2005-3,368070491.4004993,18249777.101288233,22.264310471538998,349889414.2573746
2005-4,368378420.6303249,18256085.85629657,22.26657032111987,349940310.4622301
2005-5,368686349.8601505,18262394.61130491,22.26883017070074,349991206.6670855
2005-6,368994279.08997613,18268703.366313245,22.271090020281612,350042102.87194103
2005-7,369302208.3198018,18275012.12132158,22.273349869862482,350092999.07679653
2005-8,369610137.5496274,18281320.876329917,22.275609719443352,350143895.28165203
2005-9,369918066.77945304,18287629.631338254,22.277869569024226,350194791.48650753
2005-10,370225996.00927866,18293938.386346593,22.280129418605096,350245687.691363
2005-11,370533925.2391043,18300247.14135493,22.282389268185966,350296583.8962185
2005-12,370841854.4689299,18306555.896363266,22.28464911776684,350347480.101074
2006-1,371149783.6987555,18312864.651371602,22.28690896734771,350398376.3059295
2006-2,371407510.2719281,18321006.689051583,22.287634086794963,350417501.94526565
2006-3,371665236.8451007,18329148.72673157,22.288359206242216,350436627.5846018
2006-4,371922963.41827327,18337290.76441155,22.289084325689473,350455753.223938
2006-5,372180689.9914459,18345432.80209153,22.289809445136726,350474878.86327416
2006-6,372438416.56461847,18353574.839771517,22.29053456458398,350494004.5026103
2006-7,372696143.13779104,18361716.877451498,22.291259684031232,350513130.14194655
2006-8,372953869.71096367,18369858.91513148,22.291984803478485,350532255.7812827
2006-9,373211596.28413624,18378000.952811465,22.292709922925738,350551381.4206189
2006-10,373469322.85730886,18386142.990491446,22.29343504237299,350570507.05995506
2006-11,373727049.43048143,18394285.028171428,22.294160161820248,350589632.6992912
2006-12,373984776.00365406,18402427.065851413,22.2948852812675,350608758.3386274
2007-1,374242502.57682663,18410569.103531394,22.295610400714754,350627883.97796357
2007-2,374464684.6929349,18416990.704374105,22.29639469953847,350639269.7327538
2007-3,374686866.8090431,18423412.305216815,22.297178998362188,350650655.4875441
2007-4,374909048.92515135,18429833.906059526,22.297963297185902,350662041.24233437
2007-5,375131231.0412596,18436255.506902236,22.29874759600962,350673426.9971247
2007-6,375353413.1573678,18442677.107744947,22.299531894833336,350684812.7519149
2007-7,375575595.273476,18449098.708587658,22.300316193657054,350696198.50670516
2007-8,375797777.38958424,18455520.30943037,22.30110049248077,350707584.2614955
2007-9,376019959.5056925,18461941.91027308,22.301884791304488,350718970.0162857
2007-10,376242141.6218007,18468363.51111579,22.302669090128205,350730355.771076
2007-11,376464323.73790896,18474785.1119585,22.30345338895192,350741741.52586627
2007-12,376686505.8540172,18481206.71280121,22.304237687775636,350753127.2806566
2008-1,376908687.97012544,18487628.31364392,22.305021986599353,350764513.0354468
2008-2,377033968.93966556,18494555.9096576,22.302529453020185,350717782.06484497
2008-3,377159249.9092056,18501483.505671278,22.300036919441016,350671051.09424305
2008-4,377284530.87874573,18508411.101684958,22.297544385861848,350624320.1236412
