Ano,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado
2008,376908687.97012544,18487628.31364392,22.305021986599353,350764513.0354468
2009,378412059.60460657,18570759.465808067,22.275111583649334,350203741.3882243
2010,386845816.2172179,18574789.222003594,22.28629731726119,351221029.43345445
2011,394290094.9316423,18489676.273639012,22.267032802480017,351684923.04141444
2012,400285987.70081335,18386310.972565655,22.20415495603591,351389387.70276195
2013,404727754.5157352,18208617.997158635,22.108996475573417,350451492.76502115
2014,407640408.2114642,17912998.234388612,21.995673445645153,349070584.8811718
2015,408835820.86976206,17600070.413292862,21.869609853750596,347361767.54732764
2016,410307927.7602457,17407783.389790136,21.823613136303177,346856900.05873597
2017,411838084.9588817,17292656.08509719,21.853350912009457,347489758.8124075
2018,412201434.4937643,17307241.359367505,21.887873335058302,348084351.05950993
2019,409552342.1283271,17358832.361399222,21.884365028696923,347776908.48902434
2020,404817158.84634835,17476069.736531094,21.879279422039318,347261018.17711717
2021,399187422.8236863,17633014.655447267,21.939011331776012,347638209.3916043
2022,392277312.38612175,17819518.62516891,22.007300021703287,348006755.2534407
